Freq		I
--------------------------------------------  

 20.040001       22.958902    

   24.000000       26.428080    

   28.000000       30.219782    

   32.000000       35.444447    

   36.000000       41.082619    

   36.000000       41.751823    

   40.000000       47.942028    

   42.000000       51.764706    

   44.000000       55.062214    

   46.000000       60.530506    

   48.000000       63.684212    

   50.000000       66.405228    

   52.000000       69.224487    

   54.000000       70.828026    

   56.000000       71.139236    

   57.000000       71.201012    

   58.000000       70.474983    

   56.000000       71.246048    

   59.000000       69.580688    

   60.000000       68.921501    

   61.000000       67.507965    

   62.000000       66.530609    

   63.000000       64.900833    

   64.000000       63.703705    

   65.000000       61.920612    

   66.000000       60.582523    

   67.000000       59.051331    

   68.000000       57.514637    

   69.000000       55.994747    

   70.000000       54.157894    

   71.000000       52.689854    

   72.000000       52.271790    

   74.000000       48.431511    

   76.000000       46.419018    

   80.000000       41.577461    

   86.000000       35.991707    

   88.000000       34.293705    

   92.800003       31.633026    

   96.000000       29.691469    

   100.00000       27.848101    

   104.00000       25.924597    

   108.00000       24.357141    

   112.00000       23.131674    

   116.00000       21.946901    

   120.00000       20.900263    

   140.00000       16.923077    

   160.00000       14.268398    

   200.00000       10.973751    





 ########################


Freq		Vr/Vi
------------------------------------------


   1501.0000      0.28698629    

   1600.0000      0.33035100    

   1700.0000      0.37774727    

   1800.0000      0.44305557    

   1900.0000      0.51353276    

   1900.0000      0.52189779    

   2000.0000      0.59927535    

   2050.0000      0.64705884    

   2100.0000      0.68827766    

   2150.0000      0.75663131    

   2200.0000      0.79605263    

   2250.0000      0.83006537    

   2300.0000      0.86530614    

   2350.0000      0.88535035    

   2400.0000      0.88924050    

   2425.0000      0.89001262    

   2450.0000      0.88093728    

   2400.0000      0.89057559    

   2475.0000      0.86975861    

   2500.0000      0.86151880    

   2525.0000      0.84384960    

   2550.0000      0.83163267    

   2575.0000      0.81126040    

   2600.0000      0.79629630    

   2625.0000      0.77400768    

   2650.0000      0.75728154    

   2675.0000      0.73814166    

   2700.0000      0.71893299    

   2725.0000      0.69993436    

   2750.0000      0.67697370    

   2775.0000      0.65862316    

   2800.0000      0.65339738    

   2850.0000      0.60539389    

   2900.0000      0.58023775    

   3000.0000      0.51971829    

   3150.0000      0.44989634    

   3200.0000      0.42867133    

   3320.0000      0.39541283    

   3400.0000      0.37114337    

   3500.0000      0.34810126    

   3600.0000      0.32405746    

   3700.0000      0.30446428    

   3800.0000      0.28914592    

   3900.0000      0.27433628    

   4000.0000      0.26125330    

   4500.0000      0.21153846    

   5000.0000      0.17835498    

   6000.0000      0.13717189    

