# date r[0] j[0] r[1] j[1] r[2] j[2] r[3] j[3] r[4] j[4] r[5] j[5] r[6] j[6] r[7] j[7] r[8] j[8] r[9] j[9] 
0.000000 12.761085 11.249648 26.458924 25.062623 11.453824 9.948941 29.705595 28.245988 19.954553 18.454977 15.206165 13.773695 14.399167 12.872494 21.380443 19.838413 24.440505 22.945585 16.076580 14.684701 
1.000000 13.123483 11.625488 26.218937 24.820540 11.421733 9.917894 29.626396 28.171142 20.309102 18.820577 15.696744 14.275592 14.538083 13.019157 21.722442 20.188353 24.707876 23.224124 15.816370 14.416446 
2.000000 12.637770 11.124272 26.164579 24.768768 11.652572 10.158181 29.375682 27.916806 20.556555 19.074337 16.007408 14.597492 14.705381 13.188080 21.658708 20.120066 25.011692 23.531488 16.408785 15.026062 
3.000000 12.351713 10.821240 26.771816 25.387118 12.004345 10.523883 29.903659 28.462039 20.286691 18.791718 16.432437 15.035114 14.969855 13.462767 21.226190 19.677270 24.876991 23.392129 17.059324 15.691536 
4.000000 12.662181 11.144784 25.901078 24.499349 13.523030 12.089463 30.027692 28.589112 20.224616 18.725321 16.649623 15.255766 15.198723 13.698274 21.072148 19.508347 24.935311 23.459917 16.783521 15.406922 
5.000000 11.991449 10.449589 26.641089 25.254495 12.975756 11.525743 30.174193 28.747604 20.184678 18.690112 17.236453 15.855530 15.048645 13.544037 21.345361 19.796691 24.914515 23.441484 12.080718 10.555326 
6.000000 12.303513 10.778498 27.140321 25.763026 13.065425 11.616943 30.294123 28.871331 19.670876 18.151908 14.831798 13.382403 16.181825 14.718715 27.145087 25.783316 28.707816 27.336984 11.979887 10.444885 
7.000000 12.074924 10.543102 27.275956 25.907473 13.245314 11.805275 30.214856 28.789045 19.746366 18.235800 14.981032 13.532740 16.728180 15.282019 27.366453 26.012001 28.980000 27.614233 11.738737 10.187211 
8.000000 12.086343 10.559132 26.910883 25.532764 13.302528 11.867376 27.573777 26.054470 19.668732 18.160185 15.095765 13.651861 16.973073 15.533294 28.037666 26.699649 29.128158 27.760720 11.926150 10.386639 
9.000000 12.433599 10.916795 26.433223 25.048190 13.787150 12.364951 27.326001 25.801692 19.083359 17.557532 14.846735 13.397846 17.401908 15.972752 27.439404 26.084970 29.415309 28.060264 15.436462 14.020297 
10.000000 15.777544 14.368048 27.155095 25.786822 11.728443 10.238300 27.017183 25.483751 18.654435 17.106676 14.256902 12.791112 17.550366 16.125763 27.642370 26.292432 28.710255 27.342681 15.268231 13.849665 
11.000000 16.165454 14.766928 26.762005 25.389288 11.552524 10.052255 27.173787 25.650972 19.046775 17.508529 16.311908 14.907929 16.997859 15.555996 22.158224 20.638684 28.636224 27.272468 15.257394 13.836594 
12.000000 16.111100 14.712672 27.477781 26.122348 11.047874 9.530866 27.224542 25.706086 19.091290 17.560328 16.318245 14.917411 17.580699 16.158338 22.175620 20.666043 26.768683 25.353501 15.497712 14.080440 
