# date r[0] j[0] r[1] j[1] r[2] j[2] r[3] j[3] r[4] j[4] r[5] j[5] r[6] j[6] r[7] j[7] r[8] j[8] r[9] j[9] 
119.000000 12.242256 10.786175 23.432625 21.942021 10.431981 9.022984 20.138971 18.645884 14.099810 12.657674 17.526795 16.075295 9.296985 7.869615 12.899067 11.421213 13.376137 11.930199 22.553545 21.027390 
415.000000 17.902426 16.377768 24.554932 23.047703 19.527902 17.956571 15.470637 14.055105 21.079703 19.544198 16.596494 15.183151 16.288772 14.736818 18.464699 16.903814 9.884912 8.488840 24.980331 23.420334 
469.000000 15.206691 13.733840 22.590977 21.128073 5.687216 4.355571 15.342922 13.920705 15.079562 13.662724 18.795370 17.348033 13.566238 12.060007 8.702492 7.313994 14.655091 13.182715 24.163663 22.622785 
532.000000 19.586239 18.048037 24.096812 22.594759 14.605576 13.112939 14.745611 13.359250 16.054690 14.608125 19.548464 18.092904 7.887752 6.486167 14.051396 12.569767 16.960260 15.442076 18.444948 17.004581 
766.000000 16.102530 14.626169 19.581468 18.198067 10.965197 9.528343 19.960815 18.475041 16.489577 15.065967 11.445695 10.104651 10.868458 9.406553 13.338034 11.887341 11.093730 9.675765 21.401967 19.941079 
795.000000 14.151685 12.727916 23.444629 21.993366 7.533622 6.155435 18.050287 16.599885 19.245293 17.785102 27.078987 25.450401 2.725929 1.418169 9.003348 7.634064 9.285157 7.925982 19.625430 18.204913 
802.000000 15.185676 13.738402 22.684189 21.247671 7.937000 6.557790 21.963755 20.448706 19.012444 17.555934 28.227945 26.581383 8.853177 7.421325 8.875653 7.505894 8.178358 6.836064 20.472360 19.027046 
822.000000 11.957348 10.576628 27.290746 25.760448 5.279372 3.954067 23.239178 21.697590 22.101884 20.584447 21.350668 19.825549 11.205303 9.737884 15.973414 14.468779 17.089931 15.570345 22.129842 20.653174 
829.000000 13.483889 12.077317 27.515151 25.981487 5.195374 3.869580 23.643180 22.095526 23.213711 21.678124 21.729960 20.195891 10.534700 9.087507 15.143751 13.662433 15.160892 13.680435 22.305394 20.835434 
1153.000000 14.491454 13.090851 17.896180 16.528831 17.301441 15.800621 20.850578 19.374241 24.554872 23.011639 20.494947 19.008905 13.669065 12.176020 20.911030 19.336406 10.721861 9.306494 23.174487 21.707239 
1154.000000 14.856746 13.448558 18.312011 16.938926 17.120176 15.622586 20.559297 19.087076 23.908003 22.375321 20.695903 19.207781 14.413869 12.908549 21.249887 19.671045 10.510474 9.099384 22.913173 21.451934 
1179.000000 20.979128 19.465834 26.050543 24.534058 12.436977 11.023656 18.111820 16.682682 18.032092 16.597914 22.100779 20.581812 15.550500 14.040047 9.706603 8.351305 16.128634 14.610122 20.499131 19.078539 
1207.000000 19.602394 18.105942 22.703684 21.235921 16.726180 15.237017 18.321058 16.889834 14.821683 13.450689 16.238194 14.810113 8.227831 6.857412 19.177635 17.659373 19.634606 18.054443 21.615055 20.177326 
