# date r[0] j[0] r[1] j[1] r[2] j[2] r[3] j[3] r[4] j[4] r[5] j[5] r[6] j[6] r[7] j[7] r[8] j[8] r[9] j[9] r[10] j[10] r[11] j[11] r[12] j[12] r[13] j[13] r[14] j[14] r[15] j[15] r[16] j[16] r[17] j[17] r[18] j[18] r[19] j[19] r[20] j[20] r[21] j[21] r[22] j[22] r[23] j[23] r[24] j[24] r[25] j[25] r[26] j[26] r[27] j[27] r[28] j[28] r[29] j[29] r[30] j[30] r[31] j[31] r[32] j[32] r[33] j[33] r[34] j[34] r[35] j[35] r[36] j[36] r[37] j[37] r[38] j[38] r[39] j[39] r[40] j[40] r[41] j[41] r[42] j[42] r[43] j[43] r[44] j[44] r[45] j[45] r[46] j[46] r[47] j[47] r[48] j[48] r[49] j[49] 
2457258.500000 1.366098e-08 4.885089e-08 9.378089e-07 3.566133e-06 2.904421e-07 1.055810e-06 4.589392e-08 1.818850e-07 1.315845e-06 5.471403e-06 2.515159e-07 9.673977e-07 5.732329e-07 2.012824e-06 3.931151e-08 1.514949e-07 3.265795e-07 1.140957e-06 1.181936e-07 4.175449e-07 3.667640e-07 1.455705e-06 9.528617e-07 3.958922e-06 1.370363e-06 5.278226e-06 6.095289e-08 2.404375e-07 3.709977e-07 1.476499e-06 2.243191e-06 9.030290e-06 6.324866e-08 2.226273e-07 7.170254e-07 2.660591e-06 9.268899e-07 3.727278e-06 1.612375e-06 6.024721e-06 2.213914e-07 9.288682e-07 1.254097e-06 5.040175e-06 3.449360e-07 1.219902e-06 1.062370e-06 4.376191e-06 1.300345e-07 4.924110e-07 9.989806e-07 3.812384e-06 8.326096e-08 3.058675e-07 1.268826e-07 4.567171e-07 6.215971e-07 2.566757e-06 7.563949e-07 2.668980e-06 1.572546e-06 6.031538e-06 3.227319e-07 1.195459e-06 1.942794e-06 7.436890e-06 6.988889e-08 2.480092e-07 8.635797e-07 3.054750e-06 3.371177e-07 1.264115e-06 2.431456e-07 1.007069e-06 4.279778e-07 1.629210e-06 8.108927e-07 2.855647e-06 1.449412e-06 5.843594e-06 6.718328e-07 2.399651e-06 3.673317e-08 1.458418e-07 1.685093e-06 6.616743e-06 1.267774e-06 5.068488e-06 3.287593e-06 1.355232e-05 8.560554e-08 3.163424e-07 2.145938e-07 8.244336e-07 8.821050e-07 3.607321e-06 4.286582e-07 1.751505e-06 1.236829e-07 4.665134e-07 
2457259.500000 9.736513e-09 3.504288e-08 5.098886e-07 1.960782e-06 2.810616e-07 1.022182e-06 4.051530e-08 1.609623e-07 8.923261e-07 3.737661e-06 1.504427e-07 5.842248e-07 1.322787e-06 4.573925e-06 4.151134e-08 1.597852e-07 3.339763e-07 1.166387e-06 1.999824e-07 6.997306e-07 1.874916e-07 7.534832e-07 1.048107e-06 4.347752e-06 1.498356e-06 5.761279e-06 3.155388e-08 1.259935e-07 2.181640e-07 8.767888e-07 9.428547e-07 3.856525e-06 5.124344e-08 1.810424e-07 4.497699e-07 1.683548e-06 1.071924e-06 4.299197e-06 2.697077e-06 9.983346e-06 1.246569e-07 5.285212e-07 7.978941e-07 3.233838e-06 5.602853e-07 1.963450e-06 4.919020e-07 2.055715e-06 1.942630e-07 7.302281e-07 6.235578e-07 2.400796e-06 1.204376e-07 4.393714e-07 2.178484e-07 7.764673e-07 3.557526e-07 1.484065e-06 6.314764e-07 2.235403e-06 2.863469e-06 1.086354e-05 5.066207e-07 1.860716e-06 1.546451e-06 5.945232e-06 5.009236e-08 1.788770e-07 6.801434e-07 2.416159e-06 5.375878e-07 1.998334e-06 4.724368e-07 1.933020e-06 3.907064e-07 1.489889e-06 5.675121e-07 2.011562e-06 1.497229e-06 6.033551e-06 6.120797e-07 2.190199e-06 6.888571e-08 2.703325e-07 1.448289e-06 5.702917e-06 1.915718e-06 7.600216e-06 3.600968e-06 1.481899e-05 1.241513e-07 4.555595e-07 3.290119e-07 1.254117e-06 8.651180e-07 3.539427e-06 1.990864e-07 8.250941e-07 1.680616e-07 6.303016e-07 
2457260.500000 7.359117e-09 2.662324e-08 2.190033e-07 8.553608e-07 3.681436e-07 1.332222e-06 2.275467e-08 9.135629e-08 6.981689e-07 2.937766e-06 2.270094e-07 8.750180e-07 7.341868e-07 2.566732e-06 2.380980e-08 9.258099e-08 2.347882e-07 8.254212e-07 1.743832e-07 6.117696e-07 1.332505e-07 5.388556e-07 1.828415e-06 7.505483e-06 3.068792e-06 1.164250e-05 1.947487e-08 7.846787e-08 5.114961e-07 2.023543e-06 1.990113e-06 8.028370e-06 8.341895e-08 2.920536e-07 3.434046e-07 1.291954e-06 1.574972e-06 6.272654e-06 1.949867e-06 7.260544e-06 2.467744e-07 1.033139e-06 1.279466e-06 5.139623e-06 1.010495e-06 3.502909e-06 1.066317e-06 4.392839e-06 1.874866e-07 7.052060e-07 9.076406e-07 3.470759e-06 1.057163e-07 3.866258e-07 4.714761e-07 1.656864e-06 8.453741e-07 3.470965e-06 7.796220e-07 2.749054e-06 1.904004e-06 7.278809e-06 1.119070e-06 4.049592e-06 2.637921e-06 1.004088e-05 4.130437e-08 1.480036e-07 3.102093e-07 1.118099e-06 2.363362e-07 8.919212e-07 5.415772e-07 2.210572e-06 6.098165e-07 2.306539e-06 6.136799e-07 2.171861e-06 2.881470e-06 1.147057e-05 5.589208e-07 2.002985e-06 5.796987e-08 2.282174e-07 1.046064e-06 4.143792e-06 3.698249e-06 1.449685e-05 7.418507e-06 3.012324e-05 5.848499e-08 2.176000e-07 2.069529e-07 7.956636e-07 6.457225e-07 2.656349e-06 4.400959e-07 1.797156e-06 1.513406e-07 5.687265e-07 
2457261.500000 9.132644e-09 3.290397e-08 1.671338e-07 6.559701e-07 6.555958e-07 2.346792e-06 4.380728e-08 1.737866e-07 5.714614e-07 2.413905e-06 1.940798e-07 7.503266e-07 1.582084e-06 5.452654e-06 1.477441e-08 5.794898e-08 1.031265e-07 3.681224e-07 1.923393e-07 6.735981e-07 2.341055e-07 9.368306e-07 8.169179e-07 3.403471e-06 5.869749e-06 2.200300e-05 1.874064e-08 7.555218e-08 6.404936e-07 2.523266e-06 1.379698e-06 5.603931e-06 5.382182e-08 1.899943e-07 4.193453e-07 1.572078e-06 1.998924e-06 7.926168e-06 2.297714e-06 8.528967e-06 2.823111e-07 1.178963e-06 2.512434e-06 9.966037e-06 9.670918e-07 3.355393e-06 1.665044e-06 6.803531e-06 2.275018e-07 8.525215e-07 1.446539e-06 5.484491e-06 2.476185e-07 8.913318e-07 5.329706e-07 1.868495e-06 1.597331e-06 6.482248e-06 1.376724e-06 4.803763e-06 2.465824e-06 9.380797e-06 6.426369e-07 2.349852e-06 3.560315e-06 1.347825e-05 8.957130e-08 3.163265e-07 1.940961e-07 7.055823e-07 1.122077e-07 4.293089e-07 1.103766e-06 4.446581e-06 6.125507e-07 2.316483e-06 7.522122e-07 2.651810e-06 3.214829e-06 1.277154e-05 2.453601e-07 8.927980e-07 5.512269e-08 2.171732e-07 8.991524e-07 3.572254e-06 5.871625e-06 2.282032e-05 8.844279e-06 3.580235e-05 3.220837e-08 1.211839e-07 3.830291e-07 1.456177e-06 6.881217e-07 2.827888e-06 2.558266e-07 1.055247e-06 2.746439e-07 1.020919e-06 
2457262.500000 9.268944e-09 3.329428e-08 3.350242e-07 1.298084e-06 5.939136e-07 2.130173e-06 5.171478e-08 2.047871e-07 2.610271e-03 9.440830e-03 3.634352e-07 1.389042e-06 1.791207e-08 6.711535e-08 1.068545e-08 4.216751e-08 2.139907e-07 7.536172e-07 9.161428e-08 3.252818e-07 1.334182e-07 5.395789e-07 5.557660e-07 2.332040e-06 6.296801e-05 2.264383e-04 1.782354e-08 7.192702e-08 1.704923e-04 6.057750e-04 1.393324e-06 5.658397e-06 5.913271e-08 2.083509e-07 1.054856e-08 4.221964e-08 2.697265e-06 1.063420e-05 4.510003e-06 1.653210e-05 1.126618e-05 4.397006e-05 1.407605e-05 5.407656e-05 1.133795e-06 3.922174e-06 1.159527e-06 4.769853e-06 1.888471e-07 7.100593e-07 1.384551e-06 5.254580e-06 2.088827e-08 7.875931e-08 3.923665e-07 1.383565e-06 2.523956e-06 1.015488e-05 1.137834e-07 4.161543e-07 3.657124e-06 1.381344e-05 2.947990e-07 1.093647e-06 4.127943e-06 1.558548e-05 1.769970e-07 6.172884e-07 2.140963e-07 7.768286e-07 7.185706e-09 2.890220e-08 7.757445e-06 3.014000e-05 2.725269e-07 1.046343e-06 3.488867e-08 1.304136e-07 1.773540e-03 6.254692e-03 1.264922e-07 4.659468e-07 4.993963e-08 1.968970e-07 1.259119e-07 5.199273e-07 1.036768e-05 3.987318e-05 5.247750e-06 2.144985e-05 4.762769e-08 1.779286e-07 8.364097e-07 3.139312e-06 7.910055e-07 3.242415e-06 1.323327e-07 5.525230e-07 4.813498e-09 1.930814e-08 
2457263.500000 6.502880e-09 2.351584e-08 6.744894e-07 2.579379e-06 1.194506e-06 4.229405e-06 3.038684e-08 1.215380e-07 2.084286e-03 7.571080e-03 3.691265e-07 1.410185e-06 2.200860e-08 8.215623e-08 2.199288e-08 8.562509e-08 2.498101e-10 9.955082e-10 7.365318e-08 2.625881e-07 1.089802e-05 4.069853e-05 5.598221e-03 1.980176e-02 6.330857e-05 2.276605e-04 1.964237e-06 7.250091e-06 7.540548e-05 2.719982e-04 3.210335e-07 1.342035e-06 1.315254e-08 4.760873e-08 9.088958e-09 3.647728e-08 4.234744e-05 1.587389e-04 3.397200e-06 1.252084e-05 1.341420e-05 5.219116e-05 8.470173e-06 3.284644e-05 1.177256e-06 4.069885e-06 1.332721e-05 5.248214e-05 1.967893e-07 7.386585e-07 7.111443e-06 2.620631e-05 3.863946e-08 1.440439e-07 1.895840e-07 6.775631e-07 3.283946e-06 1.314721e-05 6.355879e-08 2.349522e-07 7.951067e-06 2.960251e-05 5.360567e-07 1.966926e-06 2.839854e-04 9.928629e-04 2.039781e-07 7.094692e-07 1.342832e-09 5.362182e-09 8.857012e-09 3.548084e-08 1.296899e-05 4.991206e-05 7.278184e-07 2.748916e-06 4.498150e-08 1.673772e-07 2.220774e-03 7.799226e-03 1.609796e-10 6.705109e-10 4.254316e-08 1.682493e-07 2.358618e-07 9.625459e-07 4.388166e-07 1.790278e-06 2.512153e-02 8.795133e-02 4.556924e-08 1.703640e-07 7.205415e-07 2.712245e-06 6.033392e-07 2.485798e-06 1.716086e-07 7.130796e-07 6.572858e-09 2.621725e-08 
2457264.500000 3.150980e-09 1.154779e-08 2.838042e-05 1.012144e-04 9.171355e-08 3.406120e-07 1.453732e-08 5.894788e-08 9.761747e-04 3.596269e-03 4.521684e-06 1.652391e-05 1.236230e-08 4.664519e-08 1.753799e-09 7.162210e-09 1.858114e-10 7.444160e-10 2.610651e-10 1.034047e-09 2.432198e-05 8.948334e-05 7.016000e-03 2.471443e-02 1.357739e-04 4.814321e-04 2.154278e-06 7.936984e-06 3.841017e-05 1.403205e-04 7.203978e-07 2.966994e-06 1.176397e-08 4.267694e-08 6.528830e-09 2.636069e-08 6.323319e-05 2.353125e-04 4.162642e-09 1.736895e-08 7.209393e-06 2.837147e-05 5.159844e-06 2.019057e-05 1.109804e-09 4.367417e-09 7.618844e-06 3.031524e-05 1.951850e-07 7.327547e-07 3.563411e-06 1.330163e-05 4.686514e-08 1.740774e-07 5.273455e-08 1.925677e-07 7.924833e-04 2.871232e-03 1.084960e-07 3.970904e-07 1.904056e-07 7.603443e-07 1.554954e-06 5.587264e-06 2.109901e-04 7.417094e-04 4.661401e-10 1.813152e-09 7.593976e-10 3.064899e-09 1.282824e-08 5.103355e-08 1.213657e-05 4.675845e-05 4.694191e-07 1.787181e-06 5.145568e-08 1.910103e-07 2.465271e-03 8.639623e-03 3.158132e-10 1.299075e-09 2.556693e-08 1.020610e-07 3.422656e-07 1.387116e-06 2.108534e-07 8.720773e-07 2.198078e-02 7.714224e-02 2.263789e-07 8.196783e-07 1.660496e-06 6.154968e-06 5.749622e-07 2.372989e-06 2.307381e-04 8.381590e-04 4.011058e-09 1.614535e-08 
2457265.500000 1.793315e-09 6.642143e-09 3.749650e-05 1.330581e-04 1.173439e-07 4.337452e-07 9.092586e-09 3.719638e-08 5.667050e-04 2.109033e-03 5.814119e-06 2.114694e-05 6.020409e-09 2.302210e-08 3.181091e-09 1.284988e-08 1.542827e-10 6.203050e-10 2.149618e-10 8.543807e-10 4.552907e-05 1.655559e-04 1.176558e-02 4.105345e-02 1.470829e-04 5.208476e-04 3.640891e-06 1.328511e-05 2.071980e-05 7.655515e-05 4.267300e-07 1.774924e-06 2.525896e-08 9.035521e-08 3.865016e-09 1.575597e-08 5.346590e-05 1.995964e-04 1.812277e-09 7.680027e-09 1.602265e-05 6.211945e-05 2.750823e-06 1.089089e-05 1.749746e-09 6.828527e-09 1.222072e-05 4.819733e-05 2.131600e-07 7.989034e-07 8.114567e-06 2.983186e-05 2.537581e-08 9.534519e-08 7.063383e-08 2.565473e-07 6.149821e-04 2.238432e-03 4.660952e-08 1.732632e-07 1.711900e-07 6.849283e-07 1.685144e-06 6.045228e-06 1.959954e-04 6.899362e-04 9.557532e-10 3.668327e-09 1.080535e-09 4.333182e-09 7.360378e-09 2.958919e-08 7.314486e-06 2.844970e-05 3.689199e-07 1.410945e-06 5.401932e-08 2.003234e-07 1.173183e-03 4.168433e-03 3.047170e-10 1.254133e-09 1.099099e-08 4.456058e-08 2.460047e-07 1.003030e-06 1.381637e-07 5.758266e-07 3.755940e-02 1.305273e-01 1.552802e-07 5.661673e-07 1.133948e-06 4.233158e-06 3.403243e-07 1.418031e-06 3.004504e-04 1.086048e-03 3.797700e-09 1.530099e-08 
2457266.500000 3.339010e-09 1.222499e-08 2.046050e-05 7.341323e-05 7.395888e-08 2.757070e-07 3.880993e-09 1.613178e-08 7.384383e-04 2.734997e-03 4.892016e-06 1.785045e-05 1.127389e-07 4.084930e-07 2.666834e-09 1.080975e-08 1.394001e-10 5.614418e-10 2.052860e-10 8.165409e-10 6.078044e-05 2.198475e-04 6.546481e-03 2.309552e-02 8.100673e-05 2.904313e-04 3.148278e-06 1.151888e-05 1.715508e-05 6.361654e-05 6.432640e-07 2.654857e-06 3.276146e-08 1.166082e-07 3.455658e-08 1.352123e-07 6.625187e-05 2.463348e-04 3.700034e-09 1.547465e-08 3.121696e-05 1.195330e-04 2.482059e-06 9.846902e-06 7.658129e-10 3.034219e-09 2.415619e-05 9.409147e-05 1.502421e-07 5.666775e-07 1.731718e-05 6.277385e-05 2.836474e-08 1.063699e-07 6.439465e-08 2.342548e-07 1.052041e-03 3.791548e-03 7.365906e-11 3.084136e-10 2.509943e-07 9.973040e-07 9.105533e-07 3.303452e-06 9.030678e-05 3.224930e-04 1.022075e-09 3.917909e-09 1.811748e-09 7.196022e-09 4.240387e-09 1.723773e-08 9.654492e-05 3.572814e-04 6.496249e-07 2.458136e-06 2.176544e-07 7.851687e-07 1.574337e-05 6.053124e-05 6.181436e-10 2.511427e-09 2.022393e-08 8.107718e-08 1.518774e-07 6.253476e-07 3.158713e-07 1.296296e-06 4.776464e-02 1.652580e-01 2.384393e-07 8.623341e-07 6.145624e-09 2.532241e-08 5.980413e-07 2.465972e-06 1.418502e-04 5.199527e-04 4.007263e-09 1.613079e-08 
2457267.500000 5.872066e-09 2.127540e-08 1.173342e-05 4.254380e-05 1.040376e-07 3.853835e-07 8.871989e-09 3.626482e-08 2.719999e-04 1.027403e-03 4.643032e-06 1.695577e-05 6.901454e-08 2.523281e-07 4.612149e-09 1.850794e-08 1.081539e-10 4.376045e-10 3.532666e-10 1.391099e-09 9.285959e-05 3.339942e-04 1.162816e-02 4.058941e-02 1.500478e-04 5.318139e-04 1.017623e-06 3.794541e-06 1.347432e-05 5.019324e-05 1.633993e-04 6.070916e-04 4.698121e-08 1.660910e-07 2.620276e-08 1.030460e-07 9.491434e-08 3.974863e-07 4.764887e-09 1.983263e-08 5.989024e-05 2.265345e-04 8.175341e-07 3.305392e-06 8.484656e-10 3.355007e-09 2.236178e-05 8.723898e-05 1.151138e-08 4.554956e-08 2.588152e-08 1.059881e-07 4.268678e-08 1.588629e-07 4.259960e-08 1.561890e-07 1.193095e-03 4.290108e-03 1.451380e-10 6.001264e-10 2.516977e-07 1.000206e-06 1.308195e-06 4.714522e-06 8.426086e-05 3.013263e-04 1.761171e-09 6.684534e-09 9.490824e-10 3.814346e-09 5.304621e-09 2.147847e-08 1.544001e-04 5.664523e-04 5.915930e-07 2.242087e-06 1.370086e-07 4.985455e-07 8.061139e-06 3.137589e-05 9.187837e-10 3.705619e-09 1.329992e-08 5.374335e-08 7.422913e-08 3.096756e-07 4.590123e-07 1.870723e-06 3.358980e-02 1.169725e-01 1.184985e-07 4.341050e-07 7.615205e-09 3.125059e-08 9.456649e-07 3.866646e-06 1.364151e-04 5.003842e-04 2.976178e-09 1.204431e-08 
