# date r[0] j[0] r[1] j[1] r[2] j[2] r[3] j[3] r[4] j[4] r[5] j[5] r[6] j[6] r[7] j[7] r[8] j[8] r[9] j[9] r[10] j[10] r[11] j[11] r[12] j[12] r[13] j[13] r[14] j[14] r[15] j[15] r[16] j[16] r[17] j[17] r[18] j[18] r[19] j[19] r[20] j[20] r[21] j[21] r[22] j[22] r[23] j[23] r[24] j[24] 
119.000000 3.319996e-08 1.340183e-07 9.109229e-07 3.388760e-06 6.207315e-07 2.446944e-06 3.180820e-08 1.168059e-07 7.841736e-07 3.016119e-06 2.030265e-07 7.891865e-07 2.271051e-06 9.351025e-06 6.444705e-08 2.401604e-07 5.164300e-07 1.995507e-06 1.477215e-07 5.454624e-07 2.808849e-07 1.059192e-06 7.435160e-07 3.062104e-06 9.281088e-07 3.302455e-06 7.970635e-08 3.340180e-07 2.925490e-07 1.154306e-06 1.941550e-06 7.371895e-06 5.883869e-08 2.087369e-07 5.299910e-07 1.916058e-06 7.554171e-07 2.970446e-06 1.290623e-06 4.673992e-06 4.679107e-08 1.764942e-07 7.767749e-07 2.827722e-06 3.413395e-07 1.219535e-06 8.634119e-07 3.502415e-06 8.537135e-08 3.227775e-07 
1214.000000 8.129660e-08 3.182354e-07 5.807666e-07 2.092883e-06 7.368700e-08 2.697186e-07 2.011868e-08 8.337158e-08 1.734311e-06 7.049304e-06 1.247185e-07 4.716476e-07 3.658468e-07 1.350151e-06 2.897778e-07 1.200246e-06 1.170347e-06 4.393497e-06 6.280767e-08 2.359577e-07 4.070736e-08 1.415847e-07 1.694922e-06 7.006081e-06 8.938388e-06 3.478280e-05 1.628597e-08 6.072733e-08 2.675525e-06 1.083560e-05 2.564506e-06 9.773677e-06 4.252649e-11 1.812403e-10 7.109678e-07 2.619819e-06 6.847761e-07 2.667955e-06 2.192018e-07 7.407960e-07 1.268770e-07 4.681515e-07 4.800317e-06 1.941814e-05 3.654629e-06 1.488021e-05 7.518838e-07 2.885430e-06 7.214433e-07 2.984832e-06 
1240.000000 6.992540e-08 2.794108e-07 1.451325e-06 5.881851e-06 8.906550e-08 3.238857e-07 8.966601e-09 3.390476e-08 6.214743e-07 2.210959e-06 1.337517e-07 5.165292e-07 2.136696e-07 7.424815e-07 8.126339e-08 2.929590e-07 1.338878e-06 5.097773e-06 4.427539e-08 1.555585e-07 8.249458e-08 3.057637e-07 1.577620e-06 6.568769e-06 6.828877e-06 2.550965e-05 2.390441e-08 9.965033e-08 2.253487e-06 9.008381e-06 2.645117e-06 1.039347e-05 1.713129e-10 6.423340e-10 8.995972e-07 3.362933e-06 7.253063e-07 2.867543e-06 8.444692e-07 3.432707e-06 2.526071e-07 1.030801e-06 2.831920e-06 1.076365e-05 1.315801e-06 4.709701e-06 3.238397e-07 1.142643e-06 2.052463e-07 7.371571e-07 
1251.000000 7.132979e-08 2.894710e-07 1.239693e-06 4.813361e-06 1.102325e-07 4.043697e-07 6.380889e-09 2.260324e-08 7.438523e-07 2.698108e-06 5.087377e-08 1.810917e-07 6.708217e-07 2.669952e-06 7.293544e-08 2.630543e-07 2.728862e-06 1.164647e-05 9.904797e-08 3.840516e-07 8.345208e-08 3.095349e-07 1.586259e-06 6.640652e-06 6.979838e-06 2.611903e-05 6.550738e-09 2.335070e-08 1.000941e-06 3.626600e-06 3.765396e-06 1.550992e-05 2.789631e-10 1.139683e-09 5.053385e-07 1.774249e-06 8.848515e-07 3.539546e-06 1.064057e-06 4.449968e-06 2.849570e-07 1.185139e-06 2.091769e-06 7.701240e-06 3.731263e-06 1.518031e-05 5.376604e-07 2.027969e-06 2.580750e-07 9.547617e-07 
1268.000000 8.924836e-08 3.743099e-07 6.102701e-07 2.172556e-06 9.332075e-08 3.368890e-07 3.182797e-08 1.321388e-07 9.154317e-07 3.460206e-06 1.241304e-07 5.130213e-07 3.700553e-07 1.361159e-06 2.119055e-07 8.749679e-07 6.811745e-07 2.390118e-06 1.427046e-07 5.806465e-07 1.295422e-07 5.019865e-07 8.748437e-07 3.363370e-06 1.110912e-05 4.315641e-05 2.507703e-08 9.875733e-08 1.129587e-06 4.139999e-06 2.295285e-06 8.902626e-06 1.331597e-10 5.400507e-10 8.187061e-07 3.030363e-06 2.462133e-07 8.556131e-07 2.431409e-07 8.324705e-07 2.382344e-07 9.417277e-07 3.487452e-06 1.365806e-05 1.727117e-06 6.267254e-06 5.023398e-07 1.893712e-06 3.401185e-07 1.254699e-06 
1269.000000 9.163706e-08 3.824952e-07 5.326205e-07 1.872761e-06 8.175954e-08 2.926196e-07 2.906440e-08 1.199738e-07 9.170280e-07 3.413589e-06 1.172751e-07 4.846039e-07 5.726251e-07 2.230457e-06 2.096441e-07 8.675425e-07 6.922054e-07 2.437488e-06 1.344384e-07 5.434923e-07 1.381115e-07 5.399139e-07 7.581013e-07 2.869244e-06 1.249925e-05 4.928601e-05 2.785994e-08 1.109566e-07 1.101054e-06 4.013405e-06 2.474847e-06 9.722958e-06 1.424718e-10 5.689057e-10 8.063787e-07 2.981706e-06 2.532817e-07 8.831863e-07 2.725960e-07 9.435943e-07 2.425939e-07 9.555777e-07 3.772449e-06 1.492664e-05 2.013423e-06 7.416785e-06 4.851779e-07 1.821604e-06 3.264836e-07 1.200703e-06 
1275.000000 4.580895e-08 1.710138e-07 1.062643e-06 4.025201e-06 1.484268e-07 5.707275e-07 1.909367e-08 7.341017e-08 1.952778e-06 8.138399e-06 3.053204e-08 1.075234e-07 2.807085e-07 9.999925e-07 2.415005e-07 9.744157e-07 1.419559e-06 5.377881e-06 9.179081e-08 3.486519e-07 1.776391e-07 7.390652e-07 6.020321e-07 2.225297e-06 1.607890e-05 6.573258e-05 3.585603e-08 1.518650e-07 3.321000e-06 1.404885e-05 2.734386e-06 1.083354e-05 6.520980e-11 2.682450e-10 1.508770e-06 6.048357e-06 5.007101e-07 1.872252e-06 6.468196e-07 2.477412e-06 1.097183e-07 3.888017e-07 1.432962e-06 5.074505e-06 1.731506e-06 6.266811e-06 3.864080e-07 1.419451e-06 6.968493e-07 2.816783e-06 
1278.000000 3.445917e-08 1.264393e-07 1.598618e-06 6.376215e-06 1.673233e-07 6.577263e-07 2.524398e-08 9.906244e-08 1.645993e-06 6.662265e-06 3.508573e-08 1.241088e-07 4.099985e-07 1.520317e-06 1.245609e-07 4.657092e-07 1.461149e-06 5.543743e-06 5.615659e-08 2.015550e-07 2.009551e-07 8.480551e-07 1.102009e-06 4.414730e-06 4.881405e-06 1.720760e-05 1.320792e-08 4.792081e-08 2.290852e-06 9.065957e-06 1.686909e-06 6.298140e-06 5.833793e-11 2.309191e-10 7.017638e-07 2.562163e-06 7.356258e-07 2.878162e-06 6.426573e-07 2.459982e-06 3.766490e-07 1.546312e-06 1.183123e-06 4.087619e-06 2.418214e-06 9.059517e-06 9.861296e-07 4.131487e-06 5.818943e-07 2.285180e-06 
1305.000000 5.943150e-08 2.391513e-07 9.575568e-07 3.611833e-06 8.295967e-08 2.960909e-07 7.606085e-09 2.792516e-08 1.340252e-06 5.373190e-06 1.032985e-07 4.268612e-07 8.009219e-07 3.222287e-06 1.044907e-07 3.804956e-07 1.771406e-06 6.850678e-06 1.792950e-07 7.085196e-07 1.330771e-07 5.101994e-07 1.409537e-06 5.802848e-06 7.084700e-06 2.612784e-05 2.280032e-08 9.196088e-08 2.092677e-06 8.314449e-06 8.144287e-07 2.852482e-06 4.047022e-11 1.660106e-10 1.761764e-06 7.282956e-06 2.596840e-07 9.146721e-07 7.254965e-07 2.801291e-06 3.784428e-07 1.539080e-06 4.380619e-06 1.737134e-05 1.042961e-06 3.575746e-06 8.315642e-07 3.348589e-06 3.020370e-07 1.061416e-06 
1326.000000 2.120882e-08 7.505632e-08 7.217427e-07 2.616970e-06 1.463824e-07 5.695529e-07 8.363869e-09 3.019861e-08 4.405297e-07 1.574104e-06 6.607498e-08 2.696876e-07 5.908808e-07 2.292181e-06 1.944438e-07 7.561165e-07 2.779923e-06 1.131312e-05 1.134774e-07 4.040236e-07 1.632562e-07 6.519635e-07 1.248703e-06 4.990919e-06 1.268444e-05 5.058065e-05 2.357394e-08 8.826015e-08 1.179650e-06 4.305615e-06 9.543005e-07 3.346612e-06 7.324087e-12 2.787676e-11 1.282520e-06 5.044906e-06 9.137521e-07 3.756925e-06 7.773908e-07 3.016647e-06 1.592746e-07 5.626521e-07 2.437790e-06 9.044650e-06 9.916413e-07 3.374201e-06 9.615207e-07 3.971284e-06 9.666176e-07 3.879816e-06 
