# date r[0] j[0] r[1] j[1] r[2] j[2] r[3] j[3] r[4] j[4] r[5] j[5] r[6] j[6] r[7] j[7] r[8] j[8] r[9] j[9] r[10] j[10] r[11] j[11] r[12] j[12] r[13] j[13] r[14] j[14] r[15] j[15] r[16] j[16] r[17] j[17] r[18] j[18] r[19] j[19] r[20] j[20] r[21] j[21] r[22] j[22] r[23] j[23] r[24] j[24] 
119.000000 2.047547e-09 7.680279e-09 2.080357e-06 7.772623e-06 2.342308e-10 9.674718e-10 5.515600e-09 2.256000e-08 8.047173e-03 2.831419e-02 3.654580e-09 1.526326e-08 1.348867e-07 4.874133e-07 7.387304e-08 2.847130e-07 1.395300e-11 5.836550e-11 3.533116e-09 1.324538e-08 3.700477e-07 1.474286e-06 2.331649e-02 8.162133e-02 4.705071e-07 1.831930e-06 3.861175e-07 1.467274e-06 4.772436e-06 1.807172e-05 6.007967e-03 2.120272e-02 2.785346e-09 1.028144e-08 1.949743e-06 7.109888e-06 1.547179e-03 5.413606e-03 8.422060e-09 3.437126e-08 2.151478e-05 8.276083e-05 2.348883e-06 9.240946e-06 5.073594e-08 1.893314e-07 8.691511e-03 3.060601e-02 5.521241e-09 2.232022e-08 
415.000000 1.762487e-12 7.408936e-12 1.075566e-07 4.226434e-07 4.182079e-08 1.584670e-07 5.213744e-09 2.104177e-08 6.330617e-04 2.345037e-03 3.604672e-07 1.393650e-06 1.345928e-08 5.087567e-08 1.681102e-08 6.557955e-08 9.276384e-08 3.270112e-07 5.676733e-10 2.180314e-09 2.026041e-07 8.296036e-07 8.832972e-04 3.231820e-03 1.246134e-08 5.254037e-08 1.044180e-09 4.414578e-09 7.075912e-09 2.948523e-08 3.740646e-04 1.371285e-03 2.752095e-08 9.717322e-08 7.193596e-06 2.601164e-05 1.203124e-07 5.005954e-07 2.317666e-09 9.557541e-09 9.598816e-07 3.882980e-06 2.590086e-04 9.366764e-04 2.964846e-09 1.152960e-08 1.693642e-03 6.132455e-03 2.898159e-06 1.023334e-05 
469.000000 2.308040e-09 8.511433e-09 1.066298e-08 4.369113e-08 3.740986e-10 1.547749e-09 1.927591e-06 6.911667e-06 6.855551e-06 2.745524e-05 4.227866e-07 1.625585e-06 3.589829e-07 1.276207e-06 3.336642e-09 1.335654e-08 2.750597e-09 1.042631e-08 1.632261e-09 6.194042e-09 6.014686e-06 2.304953e-05 2.900452e-04 1.078974e-03 7.381974e-06 2.752428e-05 3.419498e-06 1.247802e-05 3.743201e-06 1.398260e-05 3.692247e-04 1.344929e-03 2.619555e-10 1.008081e-09 2.782884e-05 9.788804e-05 3.960979e-05 1.483047e-04 9.528892e-07 3.511733e-06 1.842045e-04 6.755158e-04 1.213359e-04 4.440475e-04 7.015626e-10 2.788048e-09 8.549438e-06 3.407086e-05 1.965893e-06 7.025811e-06 
532.000000 2.729922e-12 1.136122e-11 1.792937e-05 6.417181e-05 2.829732e-09 1.129435e-08 8.535467e-07 3.107184e-06 4.580050e-03 1.626249e-02 6.549895e-09 2.739108e-08 5.350362e-10 2.152117e-09 1.041590e-08 4.085754e-08 6.446642e-11 2.611537e-10 7.383106e-08 2.602463e-07 1.966617e-06 7.664547e-06 6.414286e-06 2.557755e-05 3.917775e-06 1.480428e-05 1.140543e-09 4.769590e-09 7.473855e-07 2.865953e-06 2.949037e-05 1.123482e-04 5.988533e-10 2.272350e-09 1.927431e-09 8.109617e-09 3.089034e-05 1.151232e-04 3.657429e-06 1.325003e-05 1.139780e-03 4.058491e-03 3.349540e-07 1.378409e-06 6.704273e-10 2.666187e-09 2.026625e-03 7.274486e-03 8.160828e-06 2.836984e-05 
766.000000 6.453572e-09 2.346836e-08 9.013349e-06 3.236450e-05 4.539523e-06 1.592936e-05 6.558944e-09 2.610372e-08 2.494803e-05 9.642854e-05 1.940753e-08 7.704039e-08 1.749909e-09 6.742314e-09 1.130518e-06 4.074312e-06 2.215178e-08 7.995356e-08 8.211219e-11 3.288906e-10 3.017503e-08 1.245149e-07 6.390056e-04 2.349810e-03 4.694073e-06 1.774804e-05 1.830395e-07 6.905018e-07 4.383089e-08 1.762154e-07 4.594346e-07 1.872311e-06 8.950543e-11 3.469213e-10 5.661485e-09 2.337108e-08 7.074260e-07 2.778007e-06 8.839370e-06 3.174355e-05 3.615579e-07 1.479999e-06 3.229637e-03 1.124142e-02 7.157114e-08 2.583152e-07 3.468171e-06 1.380034e-05 2.061472e-08 7.906888e-08 
795.000000 6.190744e-11 2.458803e-10 2.880970e-05 1.008240e-04 4.900897e-09 1.954146e-08 3.637208e-09 1.464442e-08 1.599804e-05 6.209670e-05 3.746658e-05 1.298275e-04 9.315255e-11 3.784161e-10 1.132175e-08 4.403979e-08 6.911822e-10 2.669656e-09 8.702576e-08 3.051685e-07 8.004898e-07 3.103867e-06 7.975077e-06 3.192680e-05 3.342543e-07 1.329371e-06 1.622311e-10 6.945304e-10 1.074199e-05 3.882567e-05 2.005109e-04 7.325935e-04 8.419255e-12 3.385777e-11 2.225869e-09 9.335892e-09 8.931071e-06 3.349450e-05 1.467659e-06 5.439447e-06 5.991988e-04 2.132354e-03 1.452160e-04 5.369537e-04 3.408894e-10 1.346375e-09 2.776191e-05 1.058352e-04 1.793877e-10 7.521433e-10 
802.000000 4.505096e-10 1.723504e-09 1.333879e-07 5.163934e-07 1.770810e-08 6.899261e-08 2.252236e-07 8.383411e-07 9.261455e-07 3.787734e-06 9.229613e-06 3.270056e-05 5.629521e-08 2.026247e-07 2.611566e-08 9.990971e-08 2.091710e-07 7.303029e-07 4.027512e-09 1.492900e-08 8.508611e-05 3.031549e-04 1.149604e-03 4.195488e-03 3.666986e-05 1.337062e-04 6.238893e-09 2.497045e-08 3.916115e-06 1.443455e-05 2.914069e-06 1.150696e-05 3.472671e-12 1.413372e-11 2.463904e-08 9.879532e-08 4.207802e-08 1.745142e-07 1.551299e-05 5.498462e-05 2.793860e-07 1.142756e-06 3.885638e-05 1.463358e-04 1.338938e-09 5.167552e-09 2.543555e-03 8.914145e-03 2.351032e-07 8.624670e-07 
822.000000 5.845610e-08 2.044655e-07 1.253687e-08 5.048139e-08 4.279301e-07 1.568012e-06 3.795239e-08 1.453774e-07 7.225158e-07 2.971924e-06 1.683186e-05 5.911177e-05 9.098510e-11 3.702575e-10 3.816343e-07 1.395899e-06 6.320538e-08 2.244845e-07 6.169682e-09 2.268705e-08 1.759968e-06 6.739860e-06 5.573875e-04 2.054340e-03 9.637683e-05 3.441052e-04 3.263395e-08 1.265010e-07 9.917613e-07 3.778385e-06 3.142113e-06 1.240792e-05 5.093066e-11 1.968121e-10 4.886174e-06 1.771992e-05 1.070489e-08 4.542754e-08 6.563899e-08 2.592081e-07 9.304302e-07 3.709625e-06 1.236858e-04 4.558905e-04 5.384015e-08 1.936182e-07 1.318237e-06 5.271371e-06 1.547360e-08 5.957619e-08 
829.000000 3.935900e-11 1.573057e-10 7.301328e-06 2.618441e-05 1.120117e-09 4.586856e-09 2.105917e-07 7.795000e-07 4.405349e-07 1.824303e-06 6.138551e-09 2.497957e-08 1.273063e-08 4.706194e-08 1.063339e-07 3.978016e-07 4.111381e-09 1.536599e-08 7.493288e-09 2.750289e-08 2.367773e-04 8.287096e-04 2.937351e-06 1.189587e-05 3.445126e-05 1.252801e-04 1.066084e-07 4.039230e-07 1.376259e-09 5.910708e-09 1.546555e-03 5.462608e-03 9.264266e-10 3.400171e-09 1.114377e-07 4.344983e-07 2.773804e-05 1.017038e-04 6.907574e-07 2.600336e-06 9.769033e-04 3.414722e-03 4.712861e-06 1.849757e-05 1.010186e-09 3.907996e-09 5.728814e-05 2.137264e-04 1.514732e-10 6.339078e-10 
1153.000000 6.031427e-11 2.395834e-10 6.941601e-07 2.556819e-06 3.561157e-10 1.461005e-09 2.418881e-08 9.198504e-08 3.483194e-04 1.275961e-03 6.432102e-07 2.403001e-06 2.796159e-12 1.181941e-11 3.520753e-10 1.408399e-09 3.482648e-08 1.230695e-07 8.378885e-09 3.074552e-08 7.865717e-08 3.158957e-07 1.341073e-04 4.948341e-04 5.566025e-06 2.091088e-05 2.458382e-06 8.866502e-06 3.603496e-06 1.344910e-05 1.038718e-05 4.044156e-05 2.017777e-09 7.226156e-09 1.189468e-06 4.373727e-06 3.138264e-07 1.238527e-06 2.817195e-06 1.035916e-05 6.117771e-05 2.272910e-04 2.920541e-06 1.148170e-05 1.571837e-12 6.569811e-12 2.368489e-06 9.393099e-06 2.780281e-10 1.146564e-09 
1154.000000 7.210258e-11 2.854326e-10 8.451413e-07 3.102009e-06 1.908817e-10 7.917660e-10 2.492911e-08 9.475547e-08 2.394340e-04 8.832388e-04 5.208859e-07 1.953472e-06 3.609875e-12 1.521807e-11 6.202107e-10 2.455477e-09 6.526234e-08 2.279608e-07 8.642397e-09 3.169910e-08 1.118061e-07 4.460841e-07 2.088525e-04 7.650853e-04 3.651137e-06 1.382196e-05 1.709097e-06 6.204760e-06 3.896106e-06 1.451915e-05 4.545655e-06 1.797105e-05 1.606844e-09 5.779607e-09 6.302212e-07 2.345001e-06 2.391656e-07 9.485104e-07 1.594370e-06 5.924081e-06 8.130295e-07 3.264968e-06 1.400939e-06 5.583798e-06 1.476732e-12 6.173773e-12 1.275248e-06 5.116017e-06 1.473259e-10 6.148487e-10 
1179.000000 3.797099e-10 1.460075e-09 1.678267e-09 6.950055e-09 1.977377e-10 8.131740e-10 7.600119e-08 2.816544e-07 5.845429e-04 2.123288e-03 1.448079e-07 5.543474e-07 5.278755e-11 2.132348e-10 1.794023e-11 7.580778e-11 2.866836e-10 1.105840e-09 5.719092e-10 2.208513e-09 2.590013e-04 8.950474e-04 2.469196e-03 8.639056e-03 2.942997e-04 1.033323e-03 2.119199e-07 8.009199e-07 2.054277e-06 7.759879e-06 1.541485e-06 6.223163e-06 2.001359e-10 7.485693e-10 4.869561e-07 1.804431e-06 5.603374e-04 1.935007e-03 5.890877e-07 2.236392e-06 6.448778e-07 2.593095e-06 1.861253e-06 7.367296e-06 8.904347e-10 3.341694e-09 1.023065e-03 3.633710e-03 7.981233e-08 2.962173e-07 
1207.000000 1.004618e-11 4.122202e-11 8.565805e-07 3.163656e-06 3.369772e-08 1.251424e-07 8.073715e-10 3.261290e-09 6.019109e-06 2.390622e-05 2.089451e-08 8.279748e-08 1.154575e-10 4.603918e-10 5.159162e-10 2.047529e-09 5.714627e-10 2.172097e-09 4.146058e-11 1.680951e-10 1.269972e-04 4.430106e-04 1.487971e-03 5.260835e-03 1.309102e-08 5.549471e-08 8.979853e-08 3.435682e-07 1.168223e-06 4.476192e-06 7.323232e-07 2.997537e-06 1.432827e-10 5.392403e-10 1.256813e-05 4.376144e-05 4.198556e-08 1.735258e-07 2.132541e-08 8.555027e-08 1.295496e-05 4.937754e-05 1.028821e-07 4.305913e-07 3.451376e-12 1.429929e-11 1.624528e-04 6.015158e-04 3.037929e-09 1.204024e-08 
1866.000000 1.926953e-10 7.299851e-10 5.675630e-09 2.275262e-08 7.109298e-07 2.457805e-06 2.010965e-09 7.863105e-09 4.187692e-06 1.639878e-05 6.753293e-08 2.548846e-07 5.577158e-08 1.999729e-07 5.681253e-10 2.257777e-09 3.599620e-10 1.397802e-09 8.881498e-11 3.558453e-10 1.998385e-04 7.062568e-04 3.139701e-04 1.135947e-03 1.214335e-06 4.658145e-06 3.910689e-07 1.448460e-06 1.260478e-05 4.507220e-05 2.370805e-07 9.528230e-07 1.974485e-13 7.919074e-13 1.804975e-10 7.505411e-10 5.493208e-05 1.955331e-04 1.487575e-06 5.590220e-06 6.655662e-06 2.551576e-05 2.631845e-07 1.053657e-06 3.956077e-12 1.598794e-11 1.632043e-03 5.774112e-03 1.035058e-09 4.111869e-09 
