# date r[0] j[0] r[1] j[1] r[2] j[2] r[3] j[3] r[4] j[4] r[5] j[5] r[6] j[6] r[7] j[7] r[8] j[8] r[9] j[9] 
119.000000 1.247019e-14 2.320200e-14 3.456272e-14 6.006078e-14 2.797565e-14 4.833721e-14 1.720077e-14 2.981408e-14 3.100055e-14 5.471297e-14 2.447095e-14 4.549752e-14 3.865990e-14 6.989715e-14 1.615511e-14 2.818656e-14 3.109330e-14 5.906693e-14 2.605478e-14 4.699317e-14 
415.000000 1.164596e-14 1.922123e-14 2.839563e-14 5.308803e-14 2.754359e-14 5.313299e-14 1.718721e-14 3.207878e-14 3.416084e-14 6.083058e-14 1.963707e-14 3.765755e-14 3.667777e-14 7.063887e-14 1.597348e-14 2.870428e-14 3.380924e-14 5.940530e-14 2.746699e-14 5.041974e-14 
469.000000 1.388169e-14 2.434417e-14 3.079441e-14 5.356191e-14 2.797971e-14 5.156782e-14 2.060482e-14 3.577296e-14 3.625957e-14 6.340817e-14 1.915020e-14 3.615272e-14 3.600075e-14 6.209076e-14 1.757116e-14 3.143685e-14 3.227402e-14 5.625716e-14 2.815627e-14 4.913242e-14 
532.000000 1.118884e-14 2.076814e-14 3.096325e-14 5.453459e-14 2.633495e-14 4.692271e-14 1.787441e-14 3.154467e-14 3.542446e-14 6.387859e-14 1.928144e-14 3.435511e-14 3.593106e-14 6.183079e-14 1.609790e-14 2.983693e-14 3.071892e-14 5.558238e-14 2.943402e-14 5.241239e-14 
766.000000 6.432273e-15 1.171269e-14 2.987590e-14 5.329163e-14 3.009133e-14 5.191300e-14 1.901090e-14 3.367969e-14 3.706258e-14 6.976457e-14 1.962802e-14 3.470631e-14 3.429649e-14 6.032341e-14 1.327809e-14 2.505565e-14 3.092273e-14 5.527927e-14 3.127839e-14 5.675368e-14 
795.000000 6.190900e-15 1.074199e-14 3.111701e-14 5.697752e-14 2.954730e-14 5.375697e-14 2.096479e-14 3.525476e-14 3.767284e-14 6.952714e-14 1.837883e-14 3.398188e-14 3.595622e-14 6.724267e-14 1.369017e-14 2.344313e-14 3.353989e-14 5.796205e-14 3.130847e-14 5.783319e-14 
802.000000 5.890896e-15 1.018680e-14 3.057479e-14 5.527482e-14 2.976688e-14 5.485117e-14 2.023279e-14 3.375728e-14 3.762355e-14 6.819589e-14 1.857853e-14 3.406708e-14 3.578060e-14 6.600480e-14 1.385617e-14 2.315332e-14 3.376522e-14 5.744656e-14 3.328469e-14 6.026870e-14 
822.000000 4.255102e-15 8.010101e-15 3.134588e-14 5.623479e-14 2.776469e-14 5.305383e-14 1.975738e-14 3.781665e-14 3.655174e-14 6.929803e-14 1.954575e-14 3.409654e-14 3.618451e-14 6.268874e-14 1.131319e-14 1.977248e-14 3.349635e-14 5.671128e-14 3.408201e-14 6.059765e-14 
829.000000 5.032713e-15 9.463231e-15 3.067359e-14 5.527706e-14 2.764910e-14 5.188031e-14 1.952473e-14 3.761611e-14 3.687808e-14 6.947482e-14 1.929828e-14 3.289847e-14 3.602138e-14 6.375291e-14 1.152208e-14 2.016531e-14 3.297527e-14 5.832741e-14 3.426314e-14 6.130988e-14 
1153.000000 5.669602e-15 1.034456e-14 2.974817e-14 5.540443e-14 2.603883e-14 4.803228e-14 1.764872e-14 3.163343e-14 4.529644e-14 7.828946e-14 1.554434e-14 2.810030e-14 3.231268e-14 5.432766e-14 5.246082e-15 9.521001e-15 3.498619e-14 6.724920e-14 3.441206e-14 6.501267e-14 
1154.000000 5.581915e-15 1.022124e-14 2.966484e-14 5.480346e-14 2.584747e-14 4.771146e-14 1.738631e-14 3.117515e-14 4.514654e-14 7.810081e-14 1.556823e-14 2.816993e-14 3.206266e-14 5.381342e-14 5.350622e-15 9.649008e-15 3.486417e-14 6.639461e-14 3.419671e-14 6.510859e-14 
1179.000000 4.506805e-15 8.079799e-15 3.092325e-14 5.470443e-14 2.596958e-14 4.797922e-14 1.765033e-14 3.238538e-14 4.556286e-14 8.610709e-14 1.624119e-14 2.966685e-14 3.088053e-14 5.203003e-14 4.470304e-15 8.452201e-15 3.607473e-14 6.274026e-14 3.484469e-14 6.569373e-14 
1207.000000 5.467720e-15 1.016752e-14 3.146897e-14 5.446032e-14 2.413361e-14 4.586102e-14 1.897459e-14 3.469097e-14 4.470059e-14 8.452284e-14 1.575629e-14 2.766929e-14 3.266178e-14 5.460298e-14 5.493009e-15 1.019488e-14 3.530368e-14 6.482646e-14 3.405731e-14 6.473595e-14 
1866.000000 8.241219e-15 1.542106e-14 2.992108e-14 5.467181e-14 3.198216e-14 5.853102e-14 1.990622e-14 3.563556e-14 3.779458e-14 6.555772e-14 1.095695e-14 2.015707e-14 2.785610e-14 4.650952e-14 -4.536854e-15 -8.496401e-15 4.051925e-14 6.811245e-14 3.006282e-14 5.192448e-14 
1871.000000 8.930638e-15 1.688339e-14 2.954392e-14 5.353767e-14 3.190643e-14 5.736465e-14 1.949103e-14 3.505656e-14 3.767243e-14 6.467116e-14 1.072696e-14 1.967334e-14 2.771861e-14 4.522329e-14 -5.098400e-15 -9.418869e-15 4.102988e-14 6.973260e-14 2.933708e-14 5.385516e-14 
