# date r[0] j[0] r[1] j[1] r[2] j[2] r[3] j[3] r[4] j[4] r[5] j[5] r[6] j[6] r[7] j[7] r[8] j[8] r[9] j[9] 
0.000000 12.761085 11.249648 26.458924 25.062623 11.453824 9.948941 29.705595 28.245988 19.954553 18.454977 15.206165 13.773695 14.399167 12.872494 21.380443 19.838413 24.440505 22.945585 16.076580 14.684701 
1.000000 13.123483 11.625488 26.218937 24.820540 11.421733 9.917894 29.626396 28.171142 20.309102 18.820577 15.696744 14.275592 14.538083 13.019157 21.722442 20.188353 24.707876 23.224124 15.816370 14.416446 
2.000000 12.637770 11.124272 26.164579 24.768768 11.652572 10.158181 29.375682 27.916806 20.556555 19.074337 16.007408 14.597492 14.705381 13.188080 21.658708 20.120066 25.011692 23.531488 16.408785 15.026062 
3.000000 12.351713 10.821240 26.771816 25.387118 12.004345 10.523883 29.903659 28.462039 20.286691 18.791718 16.432437 15.035114 14.969855 13.462767 21.226190 19.677270 24.876991 23.392129 17.059324 15.691536 
4.000000 12.662181 11.144784 25.901078 24.499349 12.173879 10.697678 30.197724 28.757361 20.389741 18.897123 16.306943 14.905293 15.156445 13.652820 21.448530 19.906246 24.616283 23.116529 17.331741 15.973434 
5.000000 12.529232 11.003039 25.177652 23.761763 12.532752 11.069202 29.925505 28.469712 19.953811 18.444757 16.646620 15.256965 15.155046 13.656150 21.885815 20.356444 24.435802 22.931889 17.946202 16.603061 
6.000000 12.535992 11.012161 24.819227 23.391980 12.319548 10.848246 30.575063 29.129562 20.207999 18.704695 16.632117 15.241774 15.441506 13.951995 21.452231 19.909082 24.551471 23.049129 17.675977 16.328111 
7.000000 12.430466 10.902298 25.385373 23.974593 12.847165 11.391121 30.686114 29.235179 20.142944 18.630028 16.300224 14.903065 15.554696 14.073987 21.449915 19.915201 24.495075 22.989717 17.942309 16.602860 
8.000000 12.567684 11.040618 26.026131 24.632310 13.040459 11.591727 30.943620 29.497744 19.910373 18.380929 16.380692 14.988151 15.293448 13.803113 21.359733 19.829900 24.336794 22.821125 17.556860 16.206103 
9.000000 12.500972 10.970268 26.235982 24.846166 13.063640 11.614242 31.751678 30.320308 19.721542 18.184425 16.995258 15.616348 14.966009 13.459972 21.397809 19.873515 24.359817 22.836949 16.913825 15.548110 
10.000000 12.127517 10.585710 26.477388 25.095581 13.339912 11.896697 30.949380 29.503670 19.738884 18.195647 17.261428 15.887909 15.255676 13.757988 21.690555 20.171228 24.887977 23.376419 17.092332 15.732038 
11.000000 11.898388 10.347459 25.952072 24.555095 12.971625 11.520769 30.587885 29.141106 19.822885 18.281075 16.764603 15.377406 14.862351 13.353647 21.609977 20.088559 24.667437 23.139506 17.664673 16.315777 
12.000000 11.811629 10.250580 26.292185 24.905841 13.403391 11.962057 30.817936 29.380449 19.819023 18.281134 17.147951 15.774018 14.782965 13.274629 21.499929 19.982322 24.758121 23.227959 17.612187 16.263389 
