# date r[0] j[0] r[1] j[1] r[2] j[2] r[3] j[3] r[4] j[4] r[5] j[5] r[6] j[6] r[7] j[7] r[8] j[8] r[9] j[9] 
119.000000 14.513601 13.077827 21.005949 19.495557 12.626750 11.187640 27.666563 26.132504 21.178956 19.650134 15.236382 13.761466 17.712805 16.238993 30.836354 29.483103 26.046839 24.516982 15.244398 13.833152 
415.000000 11.193776 9.680676 26.217311 24.787859 10.158355 8.688482 21.800116 20.307258 21.881367 20.423596 16.514750 15.045374 19.655200 18.269389 27.609851 26.138234 31.253033 29.794802 19.451859 18.167684 
469.000000 16.273350 14.896526 28.230002 26.839527 13.438516 12.055639 18.798342 17.241660 20.611351 19.061396 16.829227 15.341781 17.683941 16.213129 26.944715 25.487409 30.733036 29.312357 16.797694 15.438497 
532.000000 14.764893 13.352839 23.011038 21.539616 12.186853 10.784527 20.930515 19.449489 19.140330 17.610054 20.056170 18.654475 16.470850 14.955118 22.061747 20.461038 25.392065 23.890125 15.095516 13.677530 
766.000000 13.901793 12.449639 21.346013 19.822153 9.644373 8.171530 19.460625 17.952029 22.137413 20.695107 20.801408 19.411873 21.093570 19.663693 21.570987 20.105926 24.081913 22.538649 10.430392 8.845119 
795.000000 13.305041 11.844483 21.559041 20.029462 7.142618 5.591972 20.702268 19.223812 20.082282 18.575256 18.521007 17.038918 20.708978 19.295762 29.234255 27.924753 31.661125 30.292632 14.288123 12.835337 
802.000000 12.940107 11.474700 21.240229 19.690221 10.483680 9.034817 22.077093 20.632511 21.352661 19.872349 18.202089 16.706244 19.826278 18.379735 27.993839 26.629633 30.742688 29.372056 14.011661 12.554580 
822.000000 12.533722 11.041761 21.293761 19.752801 9.932886 8.465706 22.238676 20.766295 21.207086 19.719567 19.918393 18.488800 18.976634 17.478642 25.987163 24.530171 25.941708 24.400447 15.218163 13.791783 
829.000000 12.295154 10.801954 21.011698 19.469136 10.034747 8.552753 22.080220 20.579600 20.518011 19.049657 21.317796 19.926723 18.777622 17.257124 27.367512 25.934568 25.934758 24.390582 15.790088 14.384002 
1153.000000 13.326519 11.948293 19.994407 18.543038 11.439295 10.042267 25.265454 23.768216 20.354854 18.854812 20.764076 19.262503 23.574299 22.209537 21.146787 19.624757 29.803781 28.368813 19.368719 18.035673 
1154.000000 13.683383 12.314342 19.559743 18.099128 12.000848 10.620032 25.447097 23.957347 22.695849 21.273724 21.053562 19.564148 18.503588 16.982037 21.575637 20.070763 30.218667 28.786714 19.797252 18.472689 
1179.000000 14.831588 13.499791 21.623579 20.213738 7.606146 6.096445 25.783757 24.341879 23.416183 21.952846 23.923686 22.514627 17.632315 16.092107 21.810107 20.354432 28.603023 27.161410 13.363138 11.864343 
1207.000000 8.682537 7.159398 17.143448 15.629057 7.160538 5.657031 24.215447 22.659656 19.560199 17.903991 20.690532 19.179030 19.336613 17.833990 25.372615 23.997011 25.827107 24.310495 16.785159 15.394648 
1866.000000 8.812287 7.343980 23.137300 21.665349 6.824851 5.329513 33.415315 31.815113 18.745690 17.237614 27.462949 26.069055 16.921288 15.399273 19.738802 18.278183 25.605834 24.288832 14.944093 13.428755 
1871.000000 8.399524 6.915596 23.778777 22.306226 8.063899 6.609883 39.179369 37.776639 18.274096 16.740849 28.084679 26.712707 17.148177 15.623562 18.271158 16.754162 26.618941 25.322026 15.523247 14.023313 
1878.000000 11.587203 10.186470 24.418394 22.962562 8.210713 6.760845 40.856902 39.483814 17.789164 16.258596 30.532799 29.203430 21.289261 19.891642 18.870855 17.377167 25.184698 23.870396 14.741250 13.195092 
1882.000000 11.825268 10.427782 23.851491 22.394986 9.083691 7.659367 43.161125 41.791783 17.438972 15.910099 25.850161 24.388181 20.661596 19.245652 19.585617 18.108791 23.483393 22.122275 14.942730 13.382459 
1884.000000 12.502317 11.123153 24.475443 23.040450 8.751912 7.316408 42.982732 41.611056 16.834741 15.286957 26.449009 24.997297 20.497169 19.079416 19.314858 17.823660 23.499840 22.138446 14.940984 13.383736 
1887.000000 12.347103 10.964355 23.447753 21.982695 10.393846 9.001924 43.910420 42.548759 17.115873 15.577686 26.778421 25.338120 19.708673 18.265169 19.419956 17.930886 23.060723 21.687216 14.662471 13.098838 
1890.000000 11.899512 10.501937 23.875842 22.431543 10.709970 9.323428 42.892431 41.519178 17.357806 15.822786 26.379312 24.933698 19.134094 17.677673 18.584894 17.074632 22.091824 20.698006 14.684433 13.130834 
1901.000000 10.631972 9.205264 21.236923 19.712436 13.336434 12.015414 43.422822 42.050166 17.555639 16.024332 29.076594 27.711527 18.000923 16.520901 20.943201 19.506819 20.734021 19.311246 13.915590 12.337535 
1907.000000 10.327988 8.902318 20.946534 19.399499 13.776559 12.462828 43.791337 42.423701 18.540590 17.051193 29.738128 28.379790 16.228916 14.673271 22.598181 21.204968 21.806467 20.423928 19.848178 18.477091 
1908.000000 9.979883 8.544247 21.325382 19.795041 14.000687 12.691591 45.957650 44.606090 19.099548 17.626224 25.928232 24.465063 16.285721 14.738237 22.075828 20.667382 21.822840 20.442762 19.963484 18.596329 
1909.000000 10.856687 9.447647 21.679976 20.165711 13.852246 12.539171 45.593423 44.234426 19.714083 18.256203 26.149711 24.701702 16.328438 14.781610 21.623885 20.207948 21.992149 20.612425 19.557850 18.177780 
1912.000000 9.548869 8.104731 22.135042 20.650090 15.667292 14.392951 44.728796 43.342543 19.868343 18.412210 25.458322 24.009431 15.905855 14.342312 21.188547 19.756680 22.403899 21.025456 19.691879 18.291133 
1913.000000 9.138035 7.678540 22.189737 20.702451 16.177972 14.916333 45.165712 43.796245 19.463445 17.998677 24.978029 23.516614 15.168796 13.590949 20.729375 19.285163 22.010727 20.622537 20.281032 18.894335 
1914.000000 9.179657 7.719338 21.531354 20.027203 16.197312 14.936703 46.037707 44.682224 19.591645 18.126387 25.174311 23.720696 15.464749 13.895797 21.161009 19.712276 22.572029 21.194256 19.587723 18.184101 
1915.000000 9.220020 7.763396 26.178802 24.813092 16.063194 14.797828 45.837195 44.489121 20.047699 18.596828 25.549221 24.112351 15.274166 13.701943 21.490850 20.053777 22.182390 20.795451 20.071686 18.683513 
1918.000000 9.025195 7.557285 26.867413 25.519479 16.502670 15.241769 45.512482 44.182101 21.478438 20.064754 25.136385 23.690424 14.976916 13.395317 21.517090 20.077976 21.769348 20.374857 20.869664 19.499606 
1920.000000 9.544516 8.096894 26.729442 25.381276 15.878092 14.605179 45.447243 44.109275 23.154349 21.773807 24.815472 23.365739 15.187158 13.606547 21.458868 20.008239 22.014589 20.622434 20.204228 18.820709 
1923.000000 10.270785 8.846696 28.376613 27.065251 9.652115 8.230765 46.004604 44.680212 23.289658 21.910421 25.710808 24.282978 15.795277 14.252407 21.571357 20.134076 22.257845 20.863426 20.027709 18.641513 
1925.000000 9.938414 8.502622 28.626816 27.321483 9.422263 7.994063 45.693050 44.369986 24.089930 22.730339 25.593864 24.160817 16.047436 14.522970 21.359830 19.923095 22.787489 21.411699 19.914718 18.518552 
1931.000000 11.497311 10.106001 28.122056 26.809663 8.931038 7.490571 42.394467 40.966769 23.374676 22.001359 25.920933 24.517371 20.427695 19.049591 20.361133 18.887467 20.879079 19.464539 19.015625 17.588740 
1940.000000 10.294914 8.874499 29.153169 27.862519 8.468031 7.015191 40.187929 38.727535 25.506241 24.176113 27.987102 26.631952 19.742958 18.333324 19.590608 18.110436 19.026033 17.576074 19.521774 18.133752 
1941.000000 10.206208 8.782157 29.179988 27.893597 8.020370 6.551640 40.723168 39.272723 25.422596 24.086791 28.325989 26.979953 20.244304 18.848305 19.434964 17.943556 18.552417 17.092200 19.900680 18.519530 
1944.000000 11.364595 9.972316 28.790845 27.496723 7.880949 6.405623 40.335360 38.890775 25.522631 24.185394 27.557374 26.189546 20.268528 18.870882 20.270522 18.805301 19.767871 18.334649 19.247853 17.850776 
1949.000000 11.280545 9.886113 29.318687 28.033123 7.968715 6.494141 39.855466 38.417881 26.072216 24.746337 26.727497 25.321576 20.879228 19.485005 21.181533 19.731949 20.957747 19.541820 18.838907 17.429754 
2219.000000 12.249595 10.812349 21.686628 20.164286 7.678025 6.170659 50.266869 48.848289 18.354273 16.882456 34.062362 32.684267 20.665148 19.218411 16.285081 14.765343 20.987522 19.544950 18.988446 17.605906 
