# date r[0] j[0] r[1] j[1] r[2] j[2] r[3] j[3] r[4] j[4] r[5] j[5] r[6] j[6] r[7] j[7] r[8] j[8] r[9] j[9] r[10] j[10] r[11] j[11] r[12] j[12] r[13] j[13] r[14] j[14] r[15] j[15] r[16] j[16] r[17] j[17] r[18] j[18] r[19] j[19] r[20] j[20] r[21] j[21] r[22] j[22] r[23] j[23] r[24] j[24] r[25] j[25] r[26] j[26] r[27] j[27] r[28] j[28] r[29] j[29] r[30] j[30] r[31] j[31] r[32] j[32] r[33] j[33] r[34] j[34] r[35] j[35] r[36] j[36] r[37] j[37] r[38] j[38] r[39] j[39] r[40] j[40] r[41] j[41] r[42] j[42] r[43] j[43] r[44] j[44] r[45] j[45] r[46] j[46] r[47] j[47] r[48] j[48] r[49] j[49] 
2457258.500000 1.366098e-08 4.885089e-08 9.378089e-07 3.566133e-06 2.904421e-07 1.055810e-06 4.589392e-08 1.818850e-07 1.315845e-06 5.471403e-06 2.515159e-07 9.673977e-07 5.732329e-07 2.012824e-06 3.931151e-08 1.514949e-07 3.265795e-07 1.140957e-06 1.181936e-07 4.175449e-07 3.667640e-07 1.455705e-06 9.528617e-07 3.958922e-06 1.370363e-06 5.278226e-06 6.095289e-08 2.404375e-07 3.709977e-07 1.476499e-06 2.243191e-06 9.030290e-06 6.324866e-08 2.226273e-07 7.170254e-07 2.660591e-06 9.268899e-07 3.727278e-06 1.612375e-06 6.024721e-06 2.213914e-07 9.288682e-07 1.254097e-06 5.040175e-06 3.449360e-07 1.219902e-06 1.062370e-06 4.376191e-06 1.300345e-07 4.924110e-07 9.989806e-07 3.812384e-06 8.326096e-08 3.058675e-07 1.268826e-07 4.567171e-07 6.215971e-07 2.566757e-06 7.563949e-07 2.668980e-06 1.572546e-06 6.031538e-06 3.227319e-07 1.195459e-06 1.942794e-06 7.436890e-06 6.988889e-08 2.480092e-07 8.635797e-07 3.054750e-06 3.371177e-07 1.264115e-06 2.431456e-07 1.007069e-06 4.279778e-07 1.629210e-06 8.108927e-07 2.855647e-06 1.449412e-06 5.843594e-06 6.718328e-07 2.399651e-06 3.673317e-08 1.458418e-07 1.685093e-06 6.616743e-06 1.267774e-06 5.068488e-06 3.287593e-06 1.355232e-05 8.560554e-08 3.163424e-07 2.145938e-07 8.244336e-07 8.821050e-07 3.607321e-06 4.286582e-07 1.751505e-06 1.236829e-07 4.665134e-07 
2457259.500000 1.497692e-08 5.390375e-08 1.083589e-06 4.180697e-06 2.802366e-07 1.011877e-06 4.628880e-08 1.835345e-07 1.263010e-06 5.237326e-06 2.772071e-07 1.079107e-06 6.144924e-07 2.173602e-06 4.365867e-08 1.694098e-07 3.562449e-07 1.252841e-06 1.034894e-07 3.600228e-07 3.812884e-07 1.514560e-06 8.825973e-07 3.616479e-06 1.384077e-06 5.329167e-06 6.485559e-08 2.573230e-07 3.932588e-07 1.586041e-06 2.467037e-06 1.005577e-05 5.655564e-08 1.967864e-07 8.165725e-07 3.077695e-06 8.986566e-07 3.607526e-06 1.602891e-06 5.992087e-06 2.284733e-07 9.567399e-07 1.328203e-06 5.390490e-06 3.116773e-07 1.092163e-06 1.034511e-06 4.214601e-06 1.358344e-07 5.162882e-07 8.496130e-07 3.191090e-06 9.148593e-08 3.385321e-07 1.216746e-07 4.368207e-07 6.500185e-07 2.699622e-06 8.266254e-07 2.948319e-06 1.723904e-06 6.681831e-06 2.772986e-07 1.013533e-06 2.035032e-06 7.822266e-06 6.194229e-08 2.178067e-07 8.145473e-07 2.871088e-06 3.931795e-07 1.495555e-06 2.311605e-07 9.504061e-07 4.107578e-07 1.552912e-06 9.006242e-07 3.200549e-06 1.380827e-06 5.528515e-06 5.655919e-07 1.988877e-06 3.864533e-08 1.558180e-07 1.780599e-06 7.063474e-06 1.212358e-06 4.831208e-06 3.121727e-06 1.273661e-05 8.041056e-08 2.939141e-07 2.113369e-07 8.056506e-07 8.028187e-07 3.241621e-06 4.283910e-07 1.757952e-06 1.362832e-07 5.189012e-07 
2457260.500000 1.666893e-08 6.048027e-08 1.130989e-06 4.382202e-06 2.788889e-07 1.010176e-06 4.275215e-08 1.685341e-07 1.199149e-06 4.912202e-06 2.855805e-07 1.112631e-06 6.338033e-07 2.248221e-06 4.467754e-08 1.744903e-07 3.116798e-07 1.084326e-06 1.161015e-07 4.085753e-07 3.964573e-07 1.577673e-06 8.687560e-07 3.538929e-06 1.363900e-06 5.256267e-06 6.441472e-08 2.562935e-07 3.885567e-07 1.563623e-06 2.375549e-06 9.642855e-06 5.496110e-08 1.909136e-07 7.912562e-07 2.971613e-06 8.102807e-07 3.209270e-06 1.487159e-06 5.515925e-06 2.388897e-07 1.005997e-06 1.386709e-06 5.669137e-06 3.644621e-07 1.295411e-06 1.114974e-06 4.606641e-06 1.319964e-07 5.010673e-07 8.878474e-07 3.351923e-06 9.324073e-08 3.461917e-07 1.142550e-07 4.056272e-07 6.421969e-07 2.653883e-06 8.344676e-07 2.978459e-06 1.558897e-06 5.949416e-06 2.838846e-07 1.042356e-06 2.255101e-06 8.784567e-06 7.006996e-08 2.501151e-07 8.948730e-07 3.189080e-06 3.947382e-07 1.499364e-06 2.188588e-07 8.862124e-07 4.221330e-07 1.606498e-06 8.931147e-07 3.167442e-06 1.459491e-06 5.890591e-06 6.199667e-07 2.193759e-06 3.918435e-08 1.592763e-07 1.564251e-06 6.107827e-06 1.106807e-06 4.351856e-06 3.290851e-06 1.360049e-05 8.901187e-08 3.279272e-07 1.846065e-07 6.927434e-07 8.107478e-07 3.275568e-06 4.154433e-07 1.707215e-06 1.251394e-07 4.721668e-07 
2457261.500000 1.699690e-08 6.192071e-08 1.199998e-06 4.680761e-06 2.618068e-07 9.416685e-07 4.352010e-08 1.708615e-07 1.173258e-06 4.777120e-06 2.484822e-07 9.559269e-07 6.914118e-07 2.474286e-06 3.860978e-08 1.486668e-07 2.705536e-07 9.310829e-07 1.109808e-07 3.880294e-07 3.795950e-07 1.509501e-06 8.692288e-07 3.543114e-06 1.246009e-06 4.748620e-06 6.699526e-08 2.694145e-07 4.013762e-07 1.619225e-06 2.323661e-06 9.381561e-06 6.136809e-08 2.165121e-07 6.916425e-07 2.556493e-06 7.480607e-07 2.918661e-06 1.473103e-06 5.461986e-06 2.491467e-07 1.057217e-06 1.412236e-06 5.780180e-06 3.131163e-07 1.099567e-06 1.091568e-06 4.465311e-06 1.338400e-07 5.099203e-07 8.083374e-07 3.015507e-06 1.061091e-07 3.997245e-07 1.251880e-07 4.492692e-07 6.398995e-07 2.624138e-06 8.036218e-07 2.861435e-06 1.750714e-06 6.766895e-06 2.995534e-07 1.109082e-06 2.253228e-06 8.763792e-06 7.190163e-08 2.580141e-07 7.995828e-07 2.823167e-06 3.874944e-07 1.474059e-06 1.951353e-07 7.820226e-07 4.180247e-07 1.587408e-06 9.252659e-07 3.301178e-06 1.542915e-06 6.294454e-06 7.019401e-07 2.521677e-06 3.349904e-08 1.343556e-07 1.661950e-06 6.545354e-06 1.075509e-06 4.195206e-06 3.412860e-06 1.422633e-05 9.548830e-08 3.545987e-07 1.968854e-07 7.431190e-07 7.523326e-07 2.994922e-06 3.857813e-07 1.571308e-06 1.310920e-07 4.970432e-07 
2457262.500000 2.189845e-08 8.191889e-08 1.275996e-06 5.032495e-06 2.654972e-07 9.544521e-07 2.003512e-08 7.155574e-08 9.178709e-07 3.598397e-06 2.634599e-07 1.027542e-06 5.946167e-07 2.095429e-06 5.333317e-08 2.150935e-07 1.282274e-06 5.374484e-06 2.311788e-07 8.769877e-07 1.657172e-07 5.970497e-07 1.027938e-06 4.298512e-06 6.814817e-07 2.433421e-06 4.674462e-08 1.797346e-07 2.360373e-07 8.824996e-07 2.132737e-06 8.507591e-06 1.880810e-07 7.565859e-07 7.995683e-07 3.000971e-06 5.324466e-07 1.988298e-06 1.664457e-06 6.261948e-06 1.135765e-07 4.288915e-07 4.638247e-07 1.650349e-06 7.303557e-07 2.813379e-06 4.784811e-07 1.747488e-06 1.143223e-07 4.285764e-07 6.554227e-07 2.388816e-06 5.221968e-08 1.822844e-07 2.014555e-07 7.612599e-07 2.305794e-07 8.249268e-07 9.226228e-07 3.323906e-06 1.263309e-06 4.704618e-06 6.060273e-07 2.468964e-06 1.563272e-06 5.801978e-06 6.014125e-08 2.116052e-07 2.316622e-06 9.334419e-06 6.939303e-07 2.882425e-06 6.940668e-08 2.462175e-07 4.532025e-07 1.735043e-06 1.458489e-06 5.463072e-06 9.008539e-07 3.411126e-06 2.221961e-06 9.313157e-06 2.328386e-08 8.962922e-08 1.569943e-06 6.120815e-06 6.058870e-07 2.207946e-06 1.711007e-06 6.439361e-06 2.029371e-07 8.306091e-07 1.227765e-07 4.404349e-07 5.510236e-07 2.099047e-06 3.885105e-07 1.579702e-06 8.234056e-08 2.959810e-07 
2457263.500000 2.093328e-08 7.745124e-08 1.196984e-06 4.697368e-06 2.274050e-07 8.070404e-07 1.728898e-08 6.081260e-08 9.971262e-07 3.953888e-06 2.746238e-07 1.077066e-06 6.421928e-07 2.277486e-06 4.675228e-08 1.867085e-07 1.266859e-06 5.283835e-06 2.021348e-07 7.580606e-07 1.578591e-07 5.637027e-07 1.032522e-06 4.329543e-06 5.755424e-07 2.024262e-06 5.113376e-08 1.982646e-07 2.137601e-07 7.884926e-07 2.334345e-06 9.439112e-06 1.940209e-07 7.787498e-07 8.730342e-07 3.311551e-06 5.637804e-07 2.112151e-06 1.693375e-06 6.374677e-06 1.036095e-07 3.870462e-07 4.896454e-07 1.746367e-06 7.244341e-07 2.793370e-06 5.091661e-07 1.869504e-06 1.110273e-07 4.168723e-07 6.931965e-07 2.540083e-06 5.341566e-08 1.868864e-07 1.999961e-07 7.543301e-07 2.244464e-07 8.030436e-07 8.091712e-07 2.871877e-06 1.239055e-06 4.617546e-06 5.461751e-07 2.192360e-06 1.379255e-06 5.055182e-06 6.038709e-08 2.128224e-07 2.380289e-06 9.625020e-06 7.496732e-07 3.141104e-06 6.921209e-08 2.454227e-07 4.813901e-07 1.854584e-06 1.445883e-06 5.413579e-06 9.498448e-07 3.620882e-06 2.150241e-06 8.948573e-06 2.243063e-08 8.574070e-08 1.600049e-06 6.244267e-06 5.761389e-07 2.081867e-06 1.747667e-06 6.597833e-06 2.247215e-07 9.321847e-07 1.375868e-07 4.986543e-07 5.148278e-07 1.944345e-06 4.042583e-07 1.664818e-06 8.400946e-08 3.034454e-07 
2457264.500000 2.183815e-08 8.193197e-08 1.276543e-06 5.067276e-06 2.569906e-07 9.253180e-07 1.531951e-08 5.323966e-08 1.034725e-06 4.129576e-06 2.492290e-07 9.653062e-07 5.744645e-07 2.011407e-06 4.486546e-08 1.782869e-07 1.299490e-06 5.464650e-06 1.902183e-07 7.095249e-07 1.553452e-07 5.560244e-07 9.843547e-07 4.088586e-06 6.527279e-07 2.330799e-06 5.363049e-08 2.078911e-07 2.301527e-07 8.572679e-07 2.140193e-06 8.560546e-06 1.722565e-07 6.836975e-07 8.445003e-07 3.191128e-06 5.672956e-07 2.120177e-06 1.754097e-06 6.635242e-06 8.977453e-08 3.306855e-07 5.642666e-07 2.038244e-06 8.202682e-07 3.203671e-06 4.711391e-07 1.711784e-06 9.833970e-08 3.637496e-07 7.111920e-07 2.607874e-06 5.164773e-08 1.794186e-07 2.116838e-07 8.006307e-07 2.446117e-07 8.839580e-07 9.281261e-07 3.340692e-06 1.260729e-06 4.710319e-06 5.999622e-07 2.437701e-06 1.248336e-06 4.530193e-06 6.640219e-08 2.356644e-07 2.232061e-06 8.903459e-06 8.053901e-07 3.415597e-06 5.984949e-08 2.094598e-07 4.594281e-07 1.765279e-06 1.481791e-06 5.579061e-06 1.031188e-06 3.970455e-06 2.293438e-06 9.626862e-06 2.527802e-08 9.785579e-08 1.630704e-06 6.361150e-06 5.415147e-07 1.949108e-06 1.823782e-06 6.926549e-06 2.007905e-07 8.217467e-07 1.322071e-07 4.788146e-07 4.873757e-07 1.825333e-06 4.326946e-07 1.809180e-06 8.987426e-08 3.265140e-07 
2457265.500000 2.243530e-08 8.380328e-08 1.388531e-06 5.563819e-06 2.240954e-07 7.959546e-07 1.523583e-08 5.292157e-08 1.031195e-06 4.115443e-06 2.816850e-07 1.106192e-06 5.058050e-07 1.751090e-06 3.861576e-08 1.514100e-07 1.324012e-06 5.551486e-06 2.102570e-07 7.959566e-07 1.455891e-07 5.161011e-07 9.104226e-07 3.745048e-06 6.616433e-07 2.368355e-06 5.428828e-08 2.110173e-07 2.205953e-07 8.182174e-07 2.169592e-06 8.705913e-06 1.583073e-07 6.213282e-07 9.689679e-07 3.719833e-06 5.600313e-07 2.086537e-06 1.940364e-06 7.415103e-06 8.934499e-08 3.277839e-07 5.432727e-07 1.961143e-06 8.563236e-07 3.360165e-06 5.193372e-07 1.905013e-06 9.323073e-08 3.432877e-07 6.729829e-07 2.454737e-06 4.687991e-08 1.610176e-07 2.168676e-07 8.246183e-07 2.378760e-07 8.545426e-07 9.381152e-07 3.387696e-06 1.371312e-06 5.192796e-06 5.961585e-07 2.423524e-06 1.153366e-06 4.154126e-06 7.201724e-08 2.583320e-07 2.246808e-06 9.000867e-06 7.727041e-07 3.272597e-06 5.280671e-08 1.827899e-07 4.880225e-07 1.885111e-06 1.557629e-06 5.920081e-06 9.823092e-07 3.756818e-06 2.219868e-06 9.264889e-06 2.668226e-08 1.040170e-07 1.561455e-06 6.039113e-06 5.198228e-07 1.863476e-06 1.590322e-06 5.958255e-06 1.968224e-07 8.072096e-07 1.332242e-07 4.813061e-07 4.719957e-07 1.756085e-06 4.110623e-07 1.710938e-06 9.650405e-08 3.516031e-07 
2457266.500000 2.566364e-08 9.766994e-08 9.020159e-07 3.396135e-06 5.010687e-07 1.955134e-06 2.142226e-08 7.659737e-08 1.193106e-06 4.867618e-06 4.220328e-07 1.770506e-06 8.023633e-07 2.903459e-06 2.303311e-08 8.467630e-08 1.158837e-06 4.731096e-06 3.202352e-07 1.281493e-06 3.020889e-07 1.165293e-06 8.912760e-07 3.660733e-06 8.668159e-07 3.185390e-06 4.075092e-08 1.537241e-07 2.321611e-07 8.622157e-07 2.362792e-06 9.612098e-06 8.947048e-08 3.267282e-07 5.186739e-07 1.852831e-06 4.434595e-07 1.605169e-06 2.333692e-06 9.116982e-06 1.693351e-07 6.701938e-07 1.175213e-06 4.647499e-06 8.826993e-07 3.496443e-06 8.330486e-07 3.237350e-06 2.009695e-07 8.232590e-07 1.154921e-06 4.489950e-06 9.352372e-08 3.438650e-07 1.134369e-07 4.026254e-07 4.964230e-07 1.936364e-06 1.556200e-06 5.949470e-06 1.398760e-06 5.294887e-06 3.780134e-07 1.443684e-06 1.345918e-06 4.916014e-06 6.916417e-08 2.471204e-07 1.061340e-06 3.857040e-06 2.003797e-07 7.056999e-07 1.512194e-07 5.875564e-07 6.762511e-07 2.754432e-06 1.690405e-06 6.484243e-06 1.601612e-06 6.620233e-06 1.066785e-06 4.002129e-06 1.640896e-08 5.991964e-08 1.810273e-06 7.133053e-06 4.241336e-07 1.485923e-06 1.517678e-06 5.666225e-06 1.606888e-07 6.353429e-07 1.248112e-07 4.484718e-07 3.772873e-07 1.372730e-06 3.868080e-07 1.593907e-06 1.330219e-07 5.038019e-07 
2457267.500000 2.909794e-08 1.117773e-07 8.695038e-07 3.251036e-06 4.549324e-07 1.756509e-06 1.883311e-08 6.642738e-08 1.290214e-06 5.305976e-06 3.867631e-07 1.605278e-06 8.660880e-07 3.161529e-06 2.164537e-08 7.940679e-08 1.209475e-06 5.005921e-06 2.941728e-07 1.168452e-06 3.234100e-07 1.259253e-06 8.314588e-07 3.384019e-06 8.264925e-07 3.025649e-06 4.371852e-08 1.671908e-07 2.452609e-07 9.142641e-07 2.309572e-06 9.352624e-06 8.537772e-08 3.087877e-07 5.529939e-07 1.993893e-06 3.881376e-07 1.383464e-06 2.158810e-06 8.330632e-06 1.824150e-07 7.255332e-07 1.133918e-06 4.467400e-06 8.339897e-07 3.285760e-06 8.859819e-07 3.488898e-06 2.032055e-07 8.295936e-07 1.264470e-06 4.968140e-06 8.734743e-08 3.173787e-07 1.281348e-07 4.612632e-07 4.743632e-07 1.841599e-06 1.547134e-06 5.928401e-06 1.551872e-06 5.939396e-06 4.087212e-07 1.576855e-06 1.330766e-06 4.850646e-06 6.496808e-08 2.310118e-07 1.184314e-06 4.361957e-06 2.186431e-07 7.760625e-07 1.554871e-07 6.094925e-07 6.769900e-07 2.767317e-06 1.645671e-06 6.275392e-06 1.510735e-06 6.170518e-06 9.572960e-07 3.549558e-06 1.413056e-08 5.098693e-08 1.878698e-06 7.462095e-06 4.070976e-07 1.424367e-06 1.445828e-06 5.352425e-06 1.618286e-07 6.436168e-07 1.334951e-07 4.851347e-07 3.282489e-07 1.179902e-06 4.277544e-07 1.787785e-06 1.128379e-07 4.213984e-07 
