# date r[0] j[0] r[1] j[1] r[2] j[2] r[3] j[3] r[4] j[4] r[5] j[5] r[6] j[6] r[7] j[7] r[8] j[8] r[9] j[9] r[10] j[10] r[11] j[11] r[12] j[12] r[13] j[13] r[14] j[14] 
0.000000 16.928549 15.507937 14.764356 13.317060 13.803812 12.247962 15.033498 13.492283 15.618807 14.164451 15.512546 14.100336 15.813302 14.446359 15.932545 14.447646 17.016659 15.594975 16.867726 15.495852 14.331135 12.869490 17.628875 16.187691 19.061374 17.624794 15.432227 13.957738 15.974328 14.517233 
1.000000 16.152750 14.745817 15.404824 13.944784 13.954947 12.396011 15.102080 13.559376 15.191325 13.745719 16.166037 14.743550 16.842855 15.458859 15.865619 14.382031 16.584295 15.172084 17.911914 16.522741 14.156875 12.699286 18.581797 17.124441 18.544100 17.117645 16.342112 14.850389 16.652474 15.181323 
2.000000 17.069556 15.645666 15.209237 13.754337 14.542936 12.971915 15.098640 13.555291 15.494380 14.044036 16.973576 15.536198 16.646552 15.268190 16.298777 14.806216 16.376052 14.968240 17.172035 15.798149 13.941139 12.489173 19.607013 18.132645 17.765934 16.352063 16.287549 14.795813 16.542105 15.074426 
3.000000 16.726397 15.308531 15.965999 14.498788 15.378082 13.792697 16.037671 14.478733 15.382181 13.935086 16.333351 14.906902 16.987093 15.603354 15.540698 14.060325 17.028314 15.607804 16.708516 15.342773 13.878858 12.427509 19.999059 18.517883 17.074938 15.672184 15.957451 14.471839 16.244457 14.782295 
4.000000 17.526637 16.092726 16.174126 14.703728 14.875372 13.300524 15.774002 14.219728 14.619434 13.188108 15.446013 14.035793 17.702130 16.306244 15.767098 14.284510 17.346913 15.918734 17.558510 16.175890 14.172462 12.715526 19.269989 17.802259 16.774952 15.379460 15.230442 13.759806 15.303983 13.859141 
5.000000 17.869610 16.427495 15.678727 14.216756 14.584228 13.016523 15.434166 13.887667 13.823852 12.407927 15.177138 13.770056 17.338943 15.949613 16.194128 14.705029 21.072110 19.570290 17.772897 16.387187 13.843911 12.394262 19.813556 18.335428 16.003911 14.623899 14.974666 13.510090 15.414749 13.969796 
6.000000 17.439530 16.007474 14.859621 13.414592 11.962630 10.437769 12.641375 11.153856 13.825282 12.411114 14.931500 13.530340 16.616369 15.238985 10.345946 8.975103 20.225699 18.738510 17.066633 15.695942 12.985005 11.552141 19.405603 17.934666 15.832995 14.457524 14.622889 13.163884 14.516247 13.086173 
7.000000 17.947317 16.504315 15.690982 14.230765 12.630693 11.092086 12.399243 10.917493 14.592632 13.163714 15.153788 13.748600 18.528345 17.118520 11.074573 9.689842 19.636067 18.160084 17.876043 16.489985 12.403316 10.979769 19.032141 17.570234 16.420779 15.033061 14.336922 12.882986 13.704957 12.290264 
8.000000 17.881034 16.438552 15.770804 14.308785 12.896340 11.352072 12.754937 11.265154 14.899892 13.467344 15.112090 13.708697 18.695773 17.284802 11.066577 9.680907 19.477500 18.006176 18.607541 17.206927 11.790309 10.376686 19.469830 18.001137 16.798227 15.402145 14.054038 12.604784 21.368144 19.821019 
9.000000 17.498125 16.063643 16.213737 14.743111 12.243507 10.709980 11.977785 10.502896 14.400880 12.977395 14.377276 12.985616 18.197724 16.794809 11.488437 10.095205 18.725957 17.269633 19.516290 18.099802 11.361624 9.956774 18.858219 17.400042 16.561152 15.168963 14.444874 12.986626 22.063459 20.501780 
