# date r[0] j[0] r[1] j[1] r[2] j[2] r[3] j[3] r[4] j[4] r[5] j[5] r[6] j[6] r[7] j[7] r[8] j[8] r[9] j[9] r[10] j[10] r[11] j[11] r[12] j[12] r[13] j[13] r[14] j[14] 
119.000000 40.478721 39.118734 20.714820 19.292240 21.382646 20.020572 20.688247 19.131252 22.133183 20.697723 17.860674 16.324654 18.952290 17.490774 28.067752 26.582823 38.254527 36.778158 31.682730 30.282207 18.268468 16.867241 42.855009 41.406418 52.902862 51.400619 24.456750 23.020850 37.591552 36.235981 
415.000000 34.942481 33.591696 27.163970 25.808377 21.041344 19.663720 38.751506 37.391403 24.688344 23.213494 16.506391 14.938422 18.271886 16.786059 38.579059 37.149490 31.016713 29.489160 31.018549 29.585071 8.395903 6.838643 43.874950 42.400817 59.412835 57.949610 22.845486 21.366604 26.978302 25.545782 
469.000000 24.450814 22.885101 22.707605 21.312277 19.218350 17.796721 27.827680 26.307773 28.338308 26.936713 23.842453 22.392640 29.092626 27.725847 43.028780 41.653178 35.328155 33.870637 23.366970 21.820603 12.769254 11.326355 46.406439 44.941724 58.898560 57.502772 30.800610 29.451779 23.577722 22.122557 
532.000000 29.996333 28.514548 22.906985 21.501448 15.605087 14.069601 32.887656 31.412389 18.515838 16.933715 31.698942 30.301337 19.073020 17.575723 41.901201 40.480880 37.020444 35.602164 31.370672 29.946345 8.305915 6.775573 44.077848 42.625260 60.014106 58.553220 20.547350 19.045425 35.276442 33.973468 
766.000000 33.560355 32.116775 15.050921 13.622083 26.036864 24.626037 37.211977 35.834598 21.689059 20.238916 19.352815 17.848018 14.246548 12.744725 63.110743 61.704909 39.844726 38.455892 18.227458 16.684926 8.751771 7.229228 46.592912 45.237439 57.775442 56.359184 19.710017 18.237284 17.139318 15.617040 
795.000000 38.094668 36.737723 9.964141 8.441567 24.853744 23.396863 26.770432 25.215883 19.033541 17.562278 19.218527 17.737396 13.636381 12.103777 66.252965 64.892701 41.592794 40.210345 21.694415 20.205641 17.855873 16.486327 33.812618 32.255596 52.737254 51.248871 18.288695 16.823110 17.497811 15.970134 
802.000000 33.821124 32.416449 8.772886 7.223427 26.914252 25.499281 34.113417 32.689526 16.359007 14.864536 19.414906 17.935317 18.563615 17.097655 56.745035 55.266108 34.048010 32.550726 20.506281 19.007791 15.707795 14.298085 43.742714 42.321088 53.590541 52.128057 17.759148 16.291256 20.040579 18.558773 
822.000000 24.311370 22.747589 13.048887 11.588791 29.572542 28.200603 33.772811 32.384826 23.570929 22.177543 17.728720 16.234730 15.410392 13.897751 65.149871 63.729628 33.174799 31.684165 17.350090 15.828075 11.933805 10.436120 40.956016 39.521269 64.391653 63.011405 19.761512 18.324950 27.690280 26.313802 
829.000000 26.844834 25.337883 13.243457 11.792974 29.254951 27.893935 30.432274 28.982733 21.713807 20.295004 17.208257 15.702493 19.823072 18.385727 64.922115 63.506057 33.299715 31.801737 24.339324 22.929168 18.738180 17.345546 34.283887 32.735807 65.692362 64.321733 19.984983 18.552005 24.093176 22.666386 
1153.000000 18.291215 16.750660 10.457346 9.011189 19.031694 17.513515 36.410774 35.044564 29.169429 27.823790 19.965045 18.512948 30.653440 29.244425 51.434743 49.865136 31.292150 29.794364 21.394405 19.909838 13.048429 11.504447 42.124334 40.708119 68.357164 66.843599 10.575890 8.925045 12.767409 11.272843 
