# date r[0] j[0] r[1] j[1] r[2] j[2] r[3] j[3] r[4] j[4] r[5] j[5] r[6] j[6] r[7] j[7] r[8] j[8] r[9] j[9] r[10] j[10] r[11] j[11] r[12] j[12] r[13] j[13] r[14] j[14] 
119.000000 34.376829 32.937579 24.091600 22.713889 17.298263 15.841864 21.980823 20.480973 25.190991 23.796063 15.495552 13.967416 15.278873 13.761320 36.551689 35.171472 37.694324 36.278718 34.853490 33.504295 23.307391 21.918368 51.302117 49.922186 63.599684 62.186102 30.877178 29.521565 34.280088 32.857520 
415.000000 30.445284 28.970588 14.734110 13.181551 19.754961 18.341225 28.591421 27.216467 20.068557 18.634028 18.083600 16.620543 18.420425 16.881813 34.484472 33.079284 32.973292 31.437624 22.853078 21.287132 22.310304 20.948702 39.724798 38.178610 70.017138 68.566156 21.026619 19.625167 33.662465 32.298213 
469.000000 28.752807 27.169631 23.577735 22.158720 10.928044 9.361447 25.377178 23.941607 16.448136 14.935774 16.947624 15.438312 20.566076 19.030356 31.921946 30.488571 29.942306 28.391954 24.425592 22.922365 11.929508 10.409633 39.173787 37.643354 65.948045 64.410818 13.669020 12.169619 29.502206 28.096530 
532.000000 37.218557 35.795566 18.556952 17.081474 32.688889 31.424451 27.624386 26.223232 15.867953 14.314165 15.631699 14.074615 22.960005 21.448021 27.770159 26.265594 33.146550 31.638324 23.482904 21.903737 11.200110 9.659490 48.260307 46.849970 85.241973 83.886568 11.580988 10.038381 20.650877 19.094680 
766.000000 40.110725 38.718038 23.268267 21.866511 18.317894 16.868411 16.588964 15.027108 10.308167 8.810636 26.239042 24.782735 27.068873 25.646888 39.302031 37.860925 30.724814 29.191116 27.689822 26.153121 18.261036 16.868702 43.146136 41.691411 67.495359 66.044375 14.354939 12.890177 35.708471 34.297465 
795.000000 39.667098 38.257760 20.059249 18.611068 16.127515 14.656032 24.305582 22.852774 8.768659 7.251930 25.844986 24.357697 23.499477 21.990036 35.751301 34.186614 38.130346 36.706774 32.570595 31.103332 15.193325 13.768992 42.147942 40.653842 64.399584 62.873620 21.277891 19.918058 29.644491 28.140048 
802.000000 40.217143 38.828430 23.534304 22.144914 19.120856 17.686316 29.227071 27.842212 7.544437 6.006537 33.989705 32.620504 23.522386 22.016205 34.233864 32.654976 43.024647 41.622934 30.518361 29.032359 20.653414 19.290650 43.093930 41.622442 79.202325 77.769619 20.840169 19.473530 27.368800 25.862300 
822.000000 38.224913 36.803622 24.665284 23.300615 15.666799 14.191045 21.423064 19.931965 15.311744 13.912055 28.767948 27.333966 24.196508 22.699185 40.659673 39.187882 41.945378 40.531818 27.980291 26.399914 15.394779 13.978946 44.095526 42.629094 77.939315 76.482320 8.755173 7.191623 27.074408 25.560696 
829.000000 33.130866 31.631131 16.376690 14.906560 16.133197 14.686362 20.983630 19.493259 16.449349 15.062726 28.541822 27.109249 23.207074 21.700102 40.719299 39.227702 41.629201 40.196129 28.330237 26.788973 16.074603 14.664490 42.244429 40.742453 72.529351 71.056504 12.727946 11.261874 40.828994 39.485648 
1153.000000 24.470583 22.936919 10.712919 9.166492 26.161547 24.775574 26.001998 24.580195 7.563670 6.040336 20.835218 19.282250 29.737263 28.338429 49.432949 47.999534 40.721460 39.413926 33.921557 32.431895 11.974853 10.528259 52.603408 51.234072 202.053354 200.647701 20.617139 19.252549 38.593366 37.084002 
