# date r[0] j[0] r[1] j[1] r[2] j[2] r[3] j[3] r[4] j[4] r[5] j[5] r[6] j[6] r[7] j[7] r[8] j[8] r[9] j[9] 
119.000000 7.411892 8.788895 8.361182 9.737634 7.451604 8.828592 8.137722 9.514349 8.368634 9.745079 7.856691 9.233494 7.635413 9.012325 7.739491 9.116355 8.166389 9.542996 8.177156 9.553755 
415.000000 7.296429 8.673472 8.408853 9.785263 7.671313 9.048209 8.355302 9.731759 8.333051 9.709527 7.984686 9.361415 7.792763 9.169600 7.666955 9.043853 8.216544 9.593114 8.134376 9.511006 
469.000000 7.331398 8.708429 8.470248 9.846600 7.695922 9.072807 8.206366 9.582943 8.266059 9.642590 7.901965 9.278743 7.747885 9.124744 7.645824 9.022732 8.189008 9.565599 8.224823 9.601387 
532.000000 7.299834 8.676876 8.450340 9.826711 7.786424 9.163264 8.312179 9.688672 8.176127 9.552727 7.980307 9.357038 7.711837 9.088714 7.587411 8.964344 8.338317 9.714788 8.286592 9.663107 
766.000000 7.221758 8.598824 8.410375 9.786783 7.645560 9.022468 8.427439 9.803831 8.254535 9.631075 7.840839 9.217650 7.854307 9.231111 7.570402 8.947342 8.230987 9.607545 8.273949 9.650474 
795.000000 7.180842 8.557920 8.420705 9.797103 7.633723 9.010637 8.520732 9.897035 8.188775 9.565365 7.794907 9.171743 7.877839 9.254630 7.529611 8.906569 8.129073 9.505707 8.261133 9.637668 
802.000000 7.170407 8.547489 8.451660 9.828030 7.623228 9.000146 8.571903 9.948152 8.240052 9.616604 7.788719 9.165558 7.879373 9.256164 7.544621 8.921572 8.137898 9.514525 8.241382 9.617932 
822.000000 7.127844 8.504938 8.298826 9.675331 7.645532 9.022440 8.493113 9.869443 8.172259 9.548862 7.800953 9.177786 7.803127 9.179959 7.558516 8.935462 8.166801 9.543408 8.216478 9.593048 
829.000000 7.132552 8.509644 8.285208 9.661724 7.650688 9.027594 8.491548 9.867880 8.142891 9.519515 7.765014 9.141865 7.777028 9.153873 7.517747 8.894710 8.161040 9.537651 8.247243 9.623789 
1153.000000 7.413391 8.790393 8.209483 9.586058 7.623829 9.000747 8.374260 9.750701 7.954597 9.331344 7.723835 9.100706 7.962221 9.338964 7.562957 8.939900 8.079687 9.456355 8.328500 9.704980 
1154.000000 7.409345 8.786348 8.207912 9.584489 7.622343 8.999261 8.360985 9.737437 7.951245 9.327994 7.715982 9.092857 7.958303 9.335048 7.560201 8.937146 8.075141 9.451811 8.324065 9.700549 
1179.000000 7.396758 8.773767 8.229084 9.605644 7.631305 9.008219 8.414289 9.790694 7.978723 9.355455 7.780797 9.157640 7.958842 9.335586 7.553524 8.930472 8.062070 9.438750 8.449901 9.826273 
1207.000000 7.436974 8.813968 8.236872 9.613426 7.608659 8.985583 8.407604 9.784014 7.908330 9.285104 7.745093 9.121954 8.005902 9.382618 7.604289 8.981216 8.004310 9.381027 8.396137 9.772558 
1866.000000 7.586099 8.963033 8.578382 9.954625 7.838449 9.215262 8.316144 9.692634 8.199423 9.576005 7.821373 9.198195 8.045583 9.422273 7.630266 9.007181 7.778208 9.155052 7.867971 9.244768 
1871.000000 7.586854 8.963787 8.551996 9.928267 7.842692 9.219502 8.325504 9.701987 8.186532 9.563125 7.827824 9.204643 8.063632 9.440310 7.637822 9.014734 7.736587 9.113453 7.893944 9.270727 
1878.000000 7.580535 8.957472 8.481970 9.858310 7.805095 9.181926 8.275288 9.651811 8.184893 9.561486 7.841920 9.218731 8.065334 9.442011 7.646716 9.023624 7.726556 9.103426 7.869795 9.246591 
1882.000000 7.584077 8.961012 8.468971 9.845325 7.814881 9.191706 8.241568 9.618119 8.169752 9.546357 7.842534 9.219344 8.089839 9.466500 7.640485 9.017395 7.718148 9.095022 7.848593 9.225400 
1884.000000 7.584411 8.961346 8.462998 9.839357 7.823370 9.200191 8.243062 9.619611 8.148350 9.524970 7.835373 9.212188 8.072898 9.449570 7.644104 9.021013 7.701844 9.078726 7.844147 9.220957 
1887.000000 7.581223 8.958159 8.500014 9.876337 7.828946 9.205764 8.233903 9.610460 8.133314 9.509945 7.811242 9.188070 8.076093 9.452763 7.657537 9.034440 7.688430 9.065318 7.834517 9.211332 
1890.000000 7.580790 8.957727 8.503925 9.880244 7.834428 9.211243 8.222001 9.598567 8.116305 9.492948 7.822594 9.199416 8.074851 9.451522 7.659746 9.036647 7.682455 9.059346 7.841275 9.218087 
1901.000000 7.577117 8.954055 8.499847 9.876171 7.799117 9.175951 8.276119 9.652642 8.080558 9.457225 7.829158 9.205976 8.096087 9.472743 7.641969 9.018879 7.708931 9.085810 7.845113 9.221922 
1907.000000 7.568516 8.945458 8.430693 9.807083 7.810748 9.187575 8.368114 9.744560 8.084197 9.460861 7.841531 9.218342 8.060518 9.437198 7.635853 9.012765 7.695096 9.071981 7.871160 9.247955 
1908.000000 7.572743 8.949683 8.423622 9.800018 7.803302 9.180134 8.383755 9.760187 8.077752 9.454421 7.834670 9.211485 8.059941 9.436621 7.643124 9.020033 7.698593 9.075477 7.864098 9.240897 
1909.000000 7.569144 8.946085 8.436966 9.813349 7.795726 9.172562 8.372040 9.748482 8.067382 9.444058 7.828402 9.205220 8.061908 9.438587 7.634817 9.011730 7.694609 9.071495 7.867540 9.244337 
1912.000000 7.571310 8.948250 8.462783 9.839143 7.793738 9.170574 8.367164 9.743610 8.077573 9.454242 7.842739 9.219550 8.055919 9.432602 7.630214 9.007129 7.693901 9.070787 7.878521 9.255312 
1913.000000 7.573864 8.950803 8.461938 9.838298 7.788739 9.165578 8.371072 9.747515 8.078616 9.455285 7.846399 9.223208 8.048017 9.424706 7.629306 9.006221 7.698367 9.075251 7.874646 9.251439 
1914.000000 7.575250 8.952188 8.479943 9.856285 7.788146 9.164985 8.368484 9.744929 8.073218 9.449890 7.852392 9.229198 8.056934 9.433617 7.633022 9.009935 7.701595 9.078477 7.876971 9.253763 
1915.000000 7.583305 8.960241 8.482129 9.858469 7.785672 9.162512 8.356519 9.732975 8.072481 9.449153 7.800759 9.177592 8.056982 9.433664 7.640642 9.017552 7.696953 9.073838 7.879814 9.256604 
1918.000000 7.579672 8.956609 8.514359 9.890668 7.785629 9.162470 8.362891 9.739342 8.085000 9.461664 7.807116 9.183946 8.049808 9.426495 7.654350 9.031254 7.693623 9.070508 7.869792 9.246588 
1920.000000 7.575486 8.952424 8.522528 9.898829 7.787491 9.164331 8.348171 9.724634 8.079838 9.456506 7.799501 9.176334 8.050798 9.427485 7.649895 9.026801 7.695626 9.072511 7.869104 9.245900 
1923.000000 7.567702 8.944643 8.487318 9.863654 7.784748 9.161589 8.379837 9.756273 8.083954 9.460618 7.776963 9.153808 8.040250 9.416944 7.656570 9.033473 7.684935 9.061825 7.874251 9.251045 
1925.000000 7.554971 8.931918 8.510366 9.886679 7.785169 9.162010 8.391760 9.768185 8.102242 9.478894 7.770448 9.147296 8.039746 9.416440 7.655090 9.031994 7.687871 9.064759 7.868008 9.244805 
1931.000000 7.535974 8.912929 8.475713 9.852059 7.781313 9.158156 8.385672 9.762102 8.096167 9.472823 7.764225 9.141076 8.038590 9.415285 7.670219 9.047115 7.711191 9.088069 7.855189 9.231993 
1940.000000 7.524138 8.901098 8.456872 9.833237 7.758346 9.135200 8.346161 9.722626 8.087938 9.464600 7.759791 9.136645 8.051584 9.428270 7.685752 9.062642 7.726251 9.103121 7.826277 9.203097 
1941.000000 7.521828 8.898788 8.473682 9.850031 7.758673 9.135527 8.349792 9.726254 8.092435 9.469094 7.768407 9.145257 8.056108 9.432791 7.663398 9.040298 7.733864 9.110731 7.822496 9.199317 
1944.000000 7.519736 8.896697 8.483575 9.859914 7.745292 9.122153 8.374919 9.751359 8.094129 9.470787 7.772593 9.149440 8.059841 9.436522 7.660855 9.037756 7.734670 9.111536 7.820342 9.197165 
1949.000000 7.500709 8.877678 8.454385 9.830752 7.757087 9.133942 8.363734 9.740184 8.117579 9.494221 7.762594 9.139446 8.070592 9.447266 7.671868 9.048764 7.743021 9.119883 7.823851 9.200672 
