# date r[0] j[0] r[1] j[1] r[2] j[2] r[3] j[3] r[4] j[4] r[5] j[5] r[6] j[6] r[7] j[7] r[8] j[8] r[9] j[9] r[10] j[10] r[11] j[11] r[12] j[12] r[13] j[13] r[14] j[14] r[15] j[15] r[16] j[16] r[17] j[17] r[18] j[18] r[19] j[19] r[20] j[20] r[21] j[21] r[22] j[22] r[23] j[23] r[24] j[24] r[25] j[25] r[26] j[26] r[27] j[27] r[28] j[28] r[29] j[29] r[30] j[30] r[31] j[31] r[32] j[32] r[33] j[33] r[34] j[34] r[35] j[35] r[36] j[36] r[37] j[37] r[38] j[38] r[39] j[39] r[40] j[40] r[41] j[41] r[42] j[42] r[43] j[43] r[44] j[44] r[45] j[45] r[46] j[46] r[47] j[47] r[48] j[48] r[49] j[49] 
2457258.500000 2.170659e-06 8.839336e-06 5.886519e-08 2.230891e-07 2.245874e-06 8.977583e-06 3.256147e-07 1.336295e-06 1.429683e-07 5.882709e-07 4.605475e-07 1.701626e-06 1.828455e-06 7.148410e-06 2.655217e-07 1.109087e-06 3.955549e-07 1.627973e-06 9.173196e-08 3.392511e-07 1.468591e-06 5.602395e-06 1.524914e-07 6.122924e-07 4.056914e-08 1.446558e-07 9.811217e-07 3.846353e-06 2.356589e-06 9.621790e-06 9.340295e-07 3.570260e-06 1.815574e-07 7.131621e-07 5.920352e-07 2.220610e-06 1.005244e-07 4.099909e-07 1.689337e-06 6.466287e-06 7.539607e-07 2.639454e-06 2.122834e-06 8.430529e-06 4.179006e-08 1.655522e-07 4.961444e-08 1.740871e-07 2.575959e-08 9.279026e-08 4.147384e-07 1.562646e-06 5.574249e-07 2.069813e-06 2.271692e-07 8.113076e-07 1.875847e-07 7.809617e-07 1.004039e-07 4.017465e-07 1.500384e-07 5.513318e-07 1.009868e-07 3.863250e-07 1.928882e-08 6.996437e-08 6.280221e-07 2.401481e-06 7.774490e-07 3.121452e-06 9.172036e-07 3.353732e-06 1.108700e-07 4.426446e-07 1.529834e-07 5.671968e-07 2.672429e-07 1.006622e-06 4.353328e-07 1.585477e-06 2.968720e-08 1.088792e-07 5.973943e-07 2.501278e-06 1.137754e-07 4.187437e-07 9.379888e-07 3.654105e-06 1.860139e-07 6.689852e-07 4.227002e-08 1.492913e-07 1.854314e-06 7.070596e-06 1.586693e-06 6.611160e-06 1.381643e-06 5.687711e-06 5.841484e-07 2.201181e-06 
2457259.500000 2.248856e-06 9.230668e-06 6.600152e-08 2.539144e-07 2.075165e-06 8.165582e-06 3.085058e-07 1.254884e-06 1.429466e-07 5.927802e-07 4.516578e-07 1.665867e-06 1.726236e-06 6.699121e-06 2.748321e-07 1.153648e-06 3.839804e-07 1.562168e-06 9.827516e-08 3.667605e-07 1.450687e-06 5.506965e-06 1.687061e-07 6.836121e-07 4.446911e-08 1.602185e-07 1.060894e-06 4.193686e-06 2.456254e-06 1.014625e-05 9.522107e-07 3.658942e-06 1.709011e-07 6.651508e-07 5.730063e-07 2.146920e-06 9.449591e-08 3.844600e-07 1.618096e-06 6.156737e-06 6.590633e-07 2.277876e-06 2.214120e-06 8.873915e-06 4.106466e-08 1.635939e-07 5.067444e-08 1.779373e-07 2.191782e-08 7.777229e-08 3.763628e-07 1.396808e-06 5.640712e-07 2.100693e-06 2.446352e-07 8.828933e-07 1.933755e-07 8.103079e-07 9.995120e-08 4.013931e-07 1.336285e-07 4.868563e-07 9.016762e-08 3.405973e-07 2.217062e-08 8.165457e-08 7.264077e-07 2.818795e-06 7.754812e-07 3.112171e-06 9.522459e-07 3.502384e-06 1.048139e-07 4.125861e-07 1.712347e-07 6.438273e-07 2.533396e-07 9.508001e-07 4.052522e-07 1.461913e-06 2.681206e-08 9.770274e-08 5.696408e-07 2.376212e-06 1.355290e-07 5.061404e-07 8.172920e-07 3.135763e-06 2.192631e-07 7.994403e-07 3.893954e-08 1.361866e-07 2.150864e-06 8.333071e-06 1.565656e-06 6.500518e-06 1.432554e-06 5.942703e-06 5.413814e-07 2.024623e-06 
2457260.500000 2.026375e-06 8.206363e-06 7.173270e-08 2.788069e-07 1.929557e-06 7.496260e-06 3.332854e-07 1.373021e-06 1.345276e-07 5.516888e-07 5.017609e-07 1.870233e-06 1.910260e-06 7.531724e-06 2.858284e-07 1.213025e-06 4.196494e-07 1.729137e-06 1.118901e-07 4.229753e-07 1.467630e-06 5.593996e-06 1.566184e-07 6.294105e-07 4.015416e-08 1.428120e-07 1.073934e-06 4.233236e-06 2.515713e-06 1.047625e-05 8.391175e-07 3.177665e-06 1.644527e-07 6.346591e-07 5.153898e-07 1.908029e-06 9.776274e-08 3.958352e-07 1.505907e-06 5.679825e-06 5.837090e-07 1.996282e-06 2.319721e-06 9.363392e-06 4.212164e-08 1.671455e-07 5.254730e-08 1.851692e-07 2.148067e-08 7.616244e-08 4.236855e-07 1.589727e-06 5.904556e-07 2.210447e-06 2.599620e-07 9.455089e-07 2.054353e-07 8.722563e-07 1.058471e-07 4.301490e-07 1.318965e-07 4.823198e-07 8.800317e-08 3.301938e-07 2.222304e-08 8.251082e-08 6.812369e-07 2.632435e-06 8.165306e-07 3.323282e-06 9.575715e-07 3.517725e-06 9.599836e-08 3.748024e-07 1.557785e-07 5.817013e-07 2.709141e-07 1.022882e-06 3.896172e-07 1.397893e-06 2.821104e-08 1.033195e-07 5.354499e-07 2.216498e-06 1.444025e-07 5.434726e-07 7.837310e-07 2.993690e-06 1.901125e-07 6.855157e-07 4.300861e-08 1.521898e-07 2.010842e-06 7.723916e-06 1.688257e-06 7.084767e-06 1.550708e-06 6.529643e-06 5.769789e-07 2.174615e-06 
2457261.500000 2.071924e-06 8.444620e-06 7.935673e-08 3.123331e-07 1.919597e-06 7.469267e-06 3.422513e-07 1.412625e-06 1.451190e-07 5.993538e-07 4.916995e-07 1.832977e-06 1.840473e-06 7.245099e-06 2.899387e-07 1.224254e-06 4.048926e-07 1.652303e-06 1.117767e-07 4.239553e-07 1.315137e-06 4.945880e-06 1.711482e-07 6.985846e-07 3.836658e-08 1.353676e-07 9.935095e-07 3.885521e-06 2.303295e-06 9.462324e-06 8.162401e-07 3.079945e-06 1.770334e-07 6.930037e-07 4.836361e-07 1.778907e-06 9.610538e-08 3.906426e-07 1.337673e-06 4.978064e-06 4.872255e-07 1.641098e-06 2.084022e-06 8.280201e-06 4.625259e-08 1.853599e-07 5.036001e-08 1.765248e-07 1.810873e-08 6.336730e-08 3.776021e-07 1.400909e-06 5.896439e-07 2.199062e-06 2.769499e-07 1.015999e-06 1.980924e-07 8.425766e-07 1.064798e-07 4.341694e-07 1.243983e-07 4.526171e-07 8.599462e-08 3.223968e-07 2.075283e-08 7.705890e-08 6.826449e-07 2.630079e-06 8.358092e-07 3.398492e-06 1.020706e-06 3.770087e-06 9.513580e-08 3.710592e-07 1.749337e-07 6.625113e-07 3.077255e-07 1.174381e-06 3.770356e-07 1.352299e-06 2.592241e-08 9.384957e-08 5.052851e-07 2.073550e-06 1.280389e-07 4.750814e-07 8.790128e-07 3.395436e-06 1.691317e-07 6.008739e-07 4.080524e-08 1.442756e-07 1.988608e-06 7.628953e-06 1.719578e-06 7.257104e-06 1.474994e-06 6.180299e-06 5.436390e-07 2.031206e-06 
2457262.500000 2.186629e-06 9.001754e-06 7.296835e-08 2.861630e-07 2.010109e-06 7.893554e-06 3.479774e-07 1.435985e-06 1.503879e-07 6.262756e-07 5.017482e-07 1.880035e-06 1.921601e-06 7.617099e-06 2.621580e-07 1.093079e-06 3.819578e-07 1.553097e-06 1.054198e-07 3.973642e-07 1.476909e-06 5.624777e-06 1.724317e-07 6.990460e-07 3.482683e-08 1.219815e-07 1.063233e-06 4.201131e-06 2.163834e-06 8.834792e-06 8.446582e-07 3.200484e-06 1.678429e-07 6.520735e-07 4.460573e-07 1.620180e-06 1.021750e-07 4.178341e-07 1.240575e-06 4.581917e-06 5.141744e-07 1.742410e-06 2.261125e-06 9.066810e-06 4.324004e-08 1.718657e-07 4.865289e-08 1.692455e-07 1.575403e-08 5.460906e-08 4.013142e-07 1.498470e-06 6.278078e-07 2.360916e-06 2.662698e-07 9.719350e-07 2.037257e-07 8.795648e-07 1.040433e-07 4.209375e-07 1.274975e-07 4.663197e-07 8.803306e-08 3.331298e-07 1.928539e-08 7.047866e-08 7.165474e-07 2.765518e-06 8.129353e-07 3.279269e-06 1.079694e-06 4.014319e-06 8.918314e-08 3.439363e-07 1.688272e-07 6.342721e-07 3.016177e-07 1.151127e-06 4.370556e-07 1.589218e-06 2.694079e-08 9.760756e-08 4.906842e-07 1.993091e-06 1.284322e-07 4.789672e-07 8.721691e-07 3.360238e-06 1.563188e-07 5.488214e-07 4.755982e-08 1.698124e-07 1.819499e-06 6.890702e-06 1.642749e-06 6.901823e-06 1.548518e-06 6.566743e-06 5.576002e-07 2.090836e-06 
2457263.500000 2.213963e-06 9.156761e-06 8.185889e-08 3.255332e-07 1.898438e-06 7.394005e-06 3.089758e-07 1.258520e-06 1.610560e-07 6.769185e-07 5.477412e-07 2.083356e-06 1.693752e-06 6.611370e-06 2.771518e-07 1.159004e-06 3.756511e-07 1.529293e-06 1.015152e-07 3.789319e-07 1.319906e-06 4.955613e-06 1.792867e-07 7.263794e-07 3.501914e-08 1.233181e-07 1.174452e-06 4.694185e-06 2.028027e-06 8.192195e-06 7.347160e-07 2.745935e-06 1.507429e-07 5.768783e-07 4.319231e-07 1.563113e-06 9.812181e-08 3.953747e-07 1.286451e-06 4.758836e-06 5.166244e-07 1.752586e-06 2.033879e-06 8.034153e-06 3.958136e-08 1.548698e-07 4.791734e-08 1.664088e-07 1.590902e-08 5.507177e-08 3.980111e-07 1.484990e-06 5.835852e-07 2.167747e-06 3.019063e-07 1.115440e-06 2.133355e-07 9.245355e-07 9.699052e-08 3.893398e-07 1.103332e-07 3.992907e-07 8.519077e-08 3.205987e-07 1.743901e-08 6.317213e-08 7.662621e-07 2.977965e-06 7.673407e-07 3.055645e-06 1.157066e-06 4.339478e-06 8.160393e-08 3.126039e-07 1.537671e-07 5.701252e-07 3.320210e-07 1.281003e-06 4.867823e-07 1.786912e-06 2.773361e-08 1.012230e-07 4.341332e-07 1.740391e-06 1.253160e-07 4.687561e-07 9.380279e-07 3.644657e-06 1.315228e-07 4.558373e-07 4.378729e-08 1.552317e-07 2.036438e-06 7.814260e-06 1.568155e-06 6.520476e-06 1.433460e-06 6.014600e-06 6.321131e-07 2.403182e-06 
2457264.500000 2.361322e-06 9.891498e-06 8.459096e-08 3.368642e-07 1.798530e-06 6.950301e-06 2.877431e-07 1.166399e-06 1.658191e-07 7.073944e-07 5.765377e-07 2.217134e-06 1.870185e-06 7.386790e-06 2.897459e-07 1.213221e-06 3.647775e-07 1.471903e-06 1.095971e-07 4.133897e-07 1.250220e-06 4.671787e-06 1.646530e-07 6.581540e-07 2.845151e-08 9.865789e-08 1.101744e-06 4.373279e-06 2.145995e-06 8.741441e-06 7.100739e-07 2.642836e-06 1.683010e-07 6.524535e-07 4.367710e-07 1.583116e-06 1.104597e-07 4.508314e-07 1.090672e-06 3.971139e-06 4.703916e-07 1.582460e-06 1.860208e-06 7.279865e-06 3.967184e-08 1.543739e-07 4.381421e-08 1.511926e-07 1.800419e-08 6.314333e-08 4.346295e-07 1.642753e-06 6.473113e-07 2.433434e-06 3.019278e-07 1.113615e-06 1.996525e-07 8.559846e-07 1.094670e-07 4.457445e-07 1.015420e-07 3.657132e-07 8.749509e-08 3.321609e-07 1.681307e-08 6.035993e-08 8.357554e-07 3.296636e-06 7.155994e-07 2.829714e-06 1.039385e-06 3.839338e-06 7.801866e-08 2.966636e-07 1.514215e-07 5.621893e-07 3.470472e-07 1.351421e-06 5.115432e-07 1.882125e-06 2.946439e-08 1.084902e-07 4.313290e-07 1.726903e-06 1.164432e-07 4.321106e-07 8.794782e-07 3.399698e-06 1.340918e-07 4.649128e-07 4.935843e-08 1.765732e-07 1.798888e-06 6.804201e-06 1.678808e-06 7.054886e-06 1.433552e-06 6.048777e-06 6.574979e-07 2.517560e-06 
2457265.500000 2.455202e-06 1.040091e-05 9.138784e-08 3.660588e-07 1.586191e-06 6.040399e-06 2.780184e-07 1.113055e-06 1.728477e-07 7.449915e-07 5.374893e-07 2.043279e-06 1.737682e-06 6.799676e-06 2.985420e-07 1.247722e-06 3.869585e-07 1.566636e-06 1.256262e-07 4.796383e-07 1.273346e-06 4.782625e-06 1.719130e-07 6.925562e-07 3.331484e-08 1.168280e-07 1.023468e-06 4.022477e-06 2.221899e-06 9.135734e-06 7.515585e-07 2.812375e-06 1.806810e-07 7.026379e-07 4.878906e-07 1.784602e-06 1.021661e-07 4.119354e-07 1.078603e-06 3.915046e-06 4.022940e-07 1.334978e-06 1.778618e-06 6.903115e-06 3.720007e-08 1.439192e-07 4.456911e-08 1.542394e-07 1.849221e-08 6.508435e-08 4.350363e-07 1.646756e-06 7.367421e-07 2.806170e-06 3.059748e-07 1.133915e-06 1.953963e-07 8.313384e-07 1.125359e-07 4.590394e-07 1.054818e-07 3.826203e-07 7.793237e-08 2.913508e-07 1.852554e-08 6.694248e-08 7.909277e-07 3.106261e-06 7.048676e-07 2.772968e-06 1.119854e-06 4.175140e-06 9.288956e-08 3.585825e-07 1.594139e-07 5.982323e-07 3.471181e-07 1.347490e-06 4.946086e-07 1.812809e-06 3.270446e-08 1.213463e-07 3.870072e-07 1.527262e-06 1.067698e-07 3.905468e-07 9.251005e-07 3.593882e-06 1.320592e-07 4.585566e-07 5.145356e-08 1.841887e-07 1.593592e-06 5.956436e-06 1.673801e-06 7.069156e-06 1.504766e-06 6.381787e-06 6.416887e-07 2.439773e-06 
2457266.500000 2.267417e-06 9.467029e-06 8.504192e-08 3.393852e-07 1.785891e-06 6.880772e-06 2.842948e-07 1.146856e-06 1.795677e-07 7.839575e-07 5.347109e-07 2.035371e-06 1.859855e-06 7.372512e-06 2.969353e-07 1.228740e-06 4.095946e-07 1.677178e-06 1.192325e-07 4.539145e-07 1.197986e-06 4.477403e-06 1.768031e-07 7.156359e-07 3.247234e-08 1.139050e-07 8.952983e-07 3.464995e-06 2.362357e-06 9.795499e-06 7.527307e-07 2.822462e-06 1.962811e-07 7.745146e-07 5.772968e-07 2.144683e-06 1.153389e-07 4.701918e-07 1.236842e-06 4.552648e-06 4.658790e-07 1.568124e-06 1.857519e-06 7.258461e-06 4.057527e-08 1.575827e-07 4.076083e-08 1.400002e-07 1.896790e-08 6.698542e-08 4.422513e-07 1.685463e-06 7.444731e-07 2.846952e-06 3.200402e-07 1.190117e-06 1.957527e-07 8.307805e-07 1.088538e-07 4.379974e-07 1.151001e-07 4.225482e-07 8.434393e-08 3.170933e-07 2.237516e-08 8.197032e-08 7.617091e-07 2.962366e-06 6.253720e-07 2.424921e-06 9.815748e-07 3.614349e-06 9.147937e-08 3.549871e-07 1.702768e-07 6.451289e-07 3.671574e-07 1.435659e-06 4.947829e-07 1.809413e-06 2.913110e-08 1.073679e-07 4.080268e-07 1.630151e-06 9.162436e-08 3.299434e-07 8.413791e-07 3.226951e-06 1.225432e-07 4.241084e-07 4.491405e-08 1.587119e-07 1.545395e-06 5.767331e-06 1.707371e-06 7.286242e-06 1.588887e-06 6.793529e-06 6.401348e-07 2.429500e-06 
2457267.500000 2.367539e-06 9.916438e-06 9.807015e-08 3.973895e-07 1.730313e-06 6.636966e-06 2.636769e-07 1.050004e-06 1.841640e-07 8.077516e-07 5.226146e-07 1.987485e-06 1.668865e-06 6.539163e-06 2.813085e-07 1.147531e-06 3.950955e-07 1.618902e-06 1.213800e-07 4.617083e-07 1.268052e-06 4.762349e-06 1.706208e-07 6.875244e-07 3.278982e-08 1.145370e-07 8.107693e-07 3.105037e-06 2.481195e-06 1.038429e-05 6.679837e-07 2.477449e-06 1.888613e-07 7.463116e-07 5.069648e-07 1.862657e-06 1.199970e-07 4.969105e-07 1.316203e-06 4.874989e-06 5.225385e-07 1.774260e-06 2.046691e-06 8.117950e-06 3.889055e-08 1.492994e-07 3.592233e-08 1.222506e-07 1.992363e-08 7.025117e-08 4.133007e-07 1.555543e-06 7.617129e-07 2.927924e-06 3.730217e-07 1.406541e-06 1.895668e-07 8.047715e-07 1.030181e-07 4.089718e-07 1.019545e-07 3.698108e-07 7.340537e-08 2.720102e-07 2.454079e-08 9.132685e-08 7.029409e-07 2.703931e-06 7.069391e-07 2.782589e-06 1.125586e-06 4.207239e-06 8.487223e-08 3.263815e-07 1.639892e-07 6.165157e-07 3.797084e-07 1.487303e-06 4.819287e-07 1.751663e-06 2.921994e-08 1.077397e-07 4.647237e-07 1.884308e-06 8.277457e-08 2.955274e-07 9.256693e-07 3.586643e-06 1.338586e-07 4.685346e-07 4.478393e-08 1.588052e-07 1.727588e-06 6.529951e-06 1.697187e-06 7.180131e-06 1.524266e-06 6.443298e-06 6.372365e-07 2.426508e-06 
