# date r[0] j[0] r[1] j[1] r[2] j[2] r[3] j[3] r[4] j[4] r[5] j[5] r[6] j[6] r[7] j[7] r[8] j[8] r[9] j[9] 
2457258.500000 1.366098e-08 4.885089e-08 9.378089e-07 3.566133e-06 2.904421e-07 1.055810e-06 4.589392e-08 1.818850e-07 1.315845e-06 5.471403e-06 2.515159e-07 9.673977e-07 5.732329e-07 2.012824e-06 3.931151e-08 1.514949e-07 3.265795e-07 1.140957e-06 1.181936e-07 4.175449e-07 
2457259.500000 5.948989e-09 2.160375e-08 6.061275e-07 2.323594e-06 nan nan 2.365604e-08 9.491079e-08 nan nan nan nan nan nan nan nan 1.646119e-07 5.824533e-07 nan nan 
2457260.500000 5.902816e-09 2.143917e-08 8.278582e-07 3.155316e-06 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
2457261.500000 1.125528e-08 4.039309e-08 5.983587e-07 2.294361e-06 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
2457262.500000 1.189488e-08 4.264478e-08 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
2457263.500000 3.895649e-11 1.552610e-10 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
2457264.500000 3.973467e-11 1.583053e-10 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
2457265.500000 2.045224e-11 8.247784e-11 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
2457266.500000 2.024356e-11 8.165152e-11 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
2457267.500000 2.244554e-11 9.036284e-11 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
2457268.500000 9.666036e-12 3.950935e-11 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
2457269.500000 5.239758e-11 2.076970e-10 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
2457270.500000 8.876393e-11 3.484489e-10 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
2457271.500000 6.628664e-11 2.616168e-10 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
2457272.500000 4.391905e-11 1.746546e-10 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
2457273.500000 3.486673e-11 1.392438e-10 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
2457274.500000 1.928236e-11 7.784262e-11 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
2457275.500000 2.151310e-11 8.667531e-11 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
2457276.500000 2.075037e-11 8.365763e-11 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
2457277.500000 8.974488e-12 3.673144e-11 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
2457278.500000 1.148054e-11 4.678217e-11 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
2457279.500000 1.155119e-09 4.324225e-09 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
2457280.500000 1.855758e-09 6.886316e-09 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
2457281.500000 3.923838e-09 1.435979e-08 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
2457282.500000 4.473575e-09 1.633187e-08 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
2457283.500000 8.835087e-09 3.185016e-08 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
2457284.500000 3.564522e-12 1.482185e-11 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
2457285.500000 3.597633e-12 1.495700e-11 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
