# date r[0] j[0] r[1] j[1] r[2] j[2] r[3] j[3] r[4] j[4] r[5] j[5] r[6] j[6] r[7] j[7] r[8] j[8] r[9] j[9] r[10] j[10] r[11] j[11] r[12] j[12] r[13] j[13] r[14] j[14] r[15] j[15] r[16] j[16] r[17] j[17] r[18] j[18] r[19] j[19] r[20] j[20] r[21] j[21] r[22] j[22] r[23] j[23] r[24] j[24] r[25] j[25] r[26] j[26] r[27] j[27] r[28] j[28] r[29] j[29] r[30] j[30] r[31] j[31] r[32] j[32] r[33] j[33] r[34] j[34] r[35] j[35] r[36] j[36] r[37] j[37] r[38] j[38] r[39] j[39] r[40] j[40] r[41] j[41] r[42] j[42] r[43] j[43] r[44] j[44] r[45] j[45] r[46] j[46] r[47] j[47] r[48] j[48] r[49] j[49] 
2457258.500000 1.366098e-08 4.885089e-08 9.378089e-07 3.566133e-06 2.904421e-07 1.055810e-06 4.589392e-08 1.818850e-07 1.315845e-06 5.471403e-06 2.515159e-07 9.673977e-07 5.732329e-07 2.012824e-06 3.931151e-08 1.514949e-07 3.265795e-07 1.140957e-06 1.181936e-07 4.175449e-07 3.667640e-07 1.455705e-06 9.528617e-07 3.958922e-06 1.370363e-06 5.278226e-06 6.095289e-08 2.404375e-07 3.709977e-07 1.476499e-06 2.243191e-06 9.030290e-06 6.324866e-08 2.226273e-07 7.170254e-07 2.660591e-06 9.268899e-07 3.727278e-06 1.612375e-06 6.024721e-06 2.213914e-07 9.288682e-07 1.254097e-06 5.040175e-06 3.449360e-07 1.219902e-06 1.062370e-06 4.376191e-06 1.300345e-07 4.924110e-07 9.989806e-07 3.812384e-06 8.326096e-08 3.058675e-07 1.268826e-07 4.567171e-07 6.215971e-07 2.566757e-06 7.563949e-07 2.668980e-06 1.572546e-06 6.031538e-06 3.227319e-07 1.195459e-06 1.942794e-06 7.436890e-06 6.988889e-08 2.480092e-07 8.635797e-07 3.054750e-06 3.371177e-07 1.264115e-06 2.431456e-07 1.007069e-06 4.279778e-07 1.629210e-06 8.108927e-07 2.855647e-06 1.449412e-06 5.843594e-06 6.718328e-07 2.399651e-06 3.673317e-08 1.458418e-07 1.685093e-06 6.616743e-06 1.267774e-06 5.068488e-06 3.287593e-06 1.355232e-05 8.560554e-08 3.163424e-07 2.145938e-07 8.244336e-07 8.821050e-07 3.607321e-06 4.286582e-07 1.751505e-06 1.236829e-07 4.665134e-07 
2457259.500000 1.497692e-08 5.390375e-08 1.083589e-06 4.180697e-06 2.802366e-07 1.011877e-06 4.628880e-08 1.835345e-07 1.263010e-06 5.237326e-06 2.772071e-07 1.079107e-06 6.144924e-07 2.173602e-06 4.365867e-08 1.694098e-07 3.562449e-07 1.252841e-06 1.034894e-07 3.600228e-07 3.812884e-07 1.514560e-06 8.825973e-07 3.616479e-06 1.384077e-06 5.329167e-06 6.485559e-08 2.573230e-07 3.932588e-07 1.586041e-06 2.467037e-06 1.005577e-05 5.655564e-08 1.967864e-07 8.165725e-07 3.077695e-06 8.986566e-07 3.607526e-06 1.602891e-06 5.992087e-06 2.284733e-07 9.567399e-07 1.328203e-06 5.390490e-06 3.116773e-07 1.092163e-06 1.034511e-06 4.214601e-06 1.358344e-07 5.162882e-07 8.496130e-07 3.191090e-06 9.148593e-08 3.385321e-07 1.216746e-07 4.368207e-07 6.500185e-07 2.699622e-06 8.266254e-07 2.948319e-06 1.723904e-06 6.681831e-06 2.772986e-07 1.013533e-06 2.035032e-06 7.822266e-06 6.194229e-08 2.178067e-07 8.145473e-07 2.871088e-06 3.931795e-07 1.495555e-06 2.311605e-07 9.504061e-07 4.107578e-07 1.552912e-06 9.006242e-07 3.200549e-06 1.380827e-06 5.528515e-06 5.655919e-07 1.988877e-06 3.864533e-08 1.558180e-07 1.780599e-06 7.063474e-06 1.212358e-06 4.831208e-06 3.121727e-06 1.273661e-05 8.041056e-08 2.939141e-07 2.113369e-07 8.056506e-07 8.028187e-07 3.241621e-06 4.283910e-07 1.757952e-06 1.362832e-07 5.189012e-07 
2457260.500000 1.666893e-08 6.048027e-08 1.130989e-06 4.382202e-06 2.788889e-07 1.010176e-06 4.275215e-08 1.685341e-07 1.199149e-06 4.912202e-06 2.855805e-07 1.112631e-06 6.338033e-07 2.248221e-06 4.467754e-08 1.744903e-07 3.116798e-07 1.084326e-06 1.161015e-07 4.085753e-07 3.964573e-07 1.577673e-06 8.687560e-07 3.538929e-06 1.363900e-06 5.256267e-06 6.441472e-08 2.562935e-07 3.885567e-07 1.563623e-06 2.375549e-06 9.642855e-06 5.496110e-08 1.909136e-07 7.912562e-07 2.971613e-06 8.102807e-07 3.209270e-06 1.487159e-06 5.515925e-06 2.388897e-07 1.005997e-06 1.386709e-06 5.669137e-06 3.644621e-07 1.295411e-06 1.114974e-06 4.606641e-06 1.319964e-07 5.010673e-07 8.878474e-07 3.351923e-06 9.324073e-08 3.461917e-07 1.142550e-07 4.056272e-07 6.421969e-07 2.653883e-06 8.344676e-07 2.978459e-06 1.558897e-06 5.949416e-06 2.838846e-07 1.042356e-06 2.255101e-06 8.784567e-06 7.006996e-08 2.501151e-07 8.948730e-07 3.189080e-06 3.947382e-07 1.499364e-06 2.188588e-07 8.862124e-07 4.221330e-07 1.606498e-06 8.931147e-07 3.167442e-06 1.459491e-06 5.890591e-06 6.199667e-07 2.193759e-06 3.918435e-08 1.592763e-07 1.564251e-06 6.107827e-06 1.106807e-06 4.351856e-06 3.290851e-06 1.360049e-05 8.901187e-08 3.279272e-07 1.846065e-07 6.927434e-07 8.107478e-07 3.275568e-06 4.154433e-07 1.707215e-06 1.251394e-07 4.721668e-07 
2457261.500000 1.699690e-08 6.192071e-08 1.199998e-06 4.680761e-06 2.618068e-07 9.416685e-07 4.352010e-08 1.708615e-07 1.173258e-06 4.777120e-06 2.484822e-07 9.559269e-07 6.914118e-07 2.474286e-06 3.860978e-08 1.486668e-07 2.705536e-07 9.310829e-07 1.109808e-07 3.880294e-07 3.795950e-07 1.509501e-06 8.692288e-07 3.543114e-06 1.246009e-06 4.748620e-06 6.699526e-08 2.694145e-07 4.013762e-07 1.619225e-06 2.323661e-06 9.381561e-06 6.136809e-08 2.165121e-07 6.916425e-07 2.556493e-06 7.480607e-07 2.918661e-06 1.473103e-06 5.461986e-06 2.491467e-07 1.057217e-06 1.412236e-06 5.780180e-06 3.131163e-07 1.099567e-06 1.091568e-06 4.465311e-06 1.338400e-07 5.099203e-07 8.083374e-07 3.015507e-06 1.061091e-07 3.997245e-07 1.251880e-07 4.492692e-07 6.398995e-07 2.624138e-06 8.036218e-07 2.861435e-06 1.750714e-06 6.766895e-06 2.995534e-07 1.109082e-06 2.253228e-06 8.763792e-06 7.190163e-08 2.580141e-07 7.995828e-07 2.823167e-06 3.874944e-07 1.474059e-06 1.951353e-07 7.820226e-07 4.180247e-07 1.587408e-06 9.252659e-07 3.301178e-06 1.542915e-06 6.294454e-06 7.019401e-07 2.521677e-06 3.349904e-08 1.343556e-07 1.661950e-06 6.545354e-06 1.075509e-06 4.195206e-06 3.412860e-06 1.422633e-05 9.548830e-08 3.545987e-07 1.968854e-07 7.431190e-07 7.523326e-07 2.994922e-06 3.857813e-07 1.571308e-06 1.310920e-07 4.970432e-07 
2457262.500000 2.189845e-08 8.191889e-08 1.222130e-06 4.790426e-06 2.745413e-07 9.952037e-07 1.613793e-08 5.680534e-08 1.299278e-06 5.417198e-06 2.773606e-07 1.081221e-06 1.397664e-06 5.451147e-06 3.448957e-08 1.309229e-07 2.711929e-07 9.338550e-07 9.861610e-08 3.400409e-07 4.161082e-07 1.680089e-06 8.399146e-07 3.405003e-06 1.793255e-06 7.193412e-06 6.242442e-08 2.500143e-07 5.079234e-07 2.123975e-06 2.102521e-06 8.387447e-06 5.517755e-08 1.925679e-07 4.858618e-07 1.728830e-06 7.281139e-07 2.833943e-06 1.548278e-06 5.780007e-06 2.146290e-07 8.819906e-07 1.214334e-06 4.831546e-06 3.338308e-07 1.176273e-06 1.088810e-06 4.459644e-06 1.298969e-07 4.933463e-07 7.074316e-07 2.604168e-06 1.159838e-07 4.421813e-07 1.105439e-07 3.931359e-07 6.586343e-07 2.703332e-06 2.453353e-06 1.006616e-05 1.672086e-06 6.414400e-06 2.631792e-07 9.614538e-07 2.109347e-06 8.134510e-06 7.399444e-08 2.654506e-07 7.215632e-07 2.528724e-06 3.718712e-07 1.405226e-06 8.152365e-08 2.916611e-07 3.968456e-07 1.491241e-06 8.399925e-07 2.965764e-06 1.009516e-06 3.875759e-06 7.669496e-07 2.775226e-06 3.490285e-08 1.415622e-07 6.097892e-07 2.143944e-06 9.854734e-07 3.790599e-06 3.644312e-06 1.540047e-05 8.523900e-08 3.135647e-07 2.807245e-07 1.116915e-06 7.146309e-07 2.823291e-06 3.843166e-07 1.559280e-06 9.014065e-08 3.285192e-07 
2457263.500000 2.399791e-08 9.081410e-08 1.243590e-06 4.865922e-06 2.665771e-07 9.670677e-07 1.630551e-08 5.786147e-08 1.373265e-06 5.784943e-06 2.563224e-07 9.906989e-07 1.378301e-06 5.363736e-06 3.843700e-08 1.481954e-07 1.170280e-06 4.789883e-06 8.619275e-08 2.938816e-07 3.664493e-07 1.441611e-06 7.620551e-07 3.026907e-06 1.824125e-06 7.334260e-06 7.451864e-08 3.104695e-07 4.573863e-07 1.884851e-06 8.182931e-07 2.914359e-06 5.746692e-08 2.013256e-07 4.998094e-07 1.779421e-06 8.992939e-07 3.603274e-06 1.384848e-06 5.119282e-06 2.126191e-07 8.694457e-07 1.092046e-06 4.295453e-06 3.142959e-07 1.097632e-06 7.797190e-07 3.036750e-06 1.721718e-07 6.839172e-07 4.957167e-07 1.754683e-06 1.350461e-07 5.219672e-07 1.100306e-07 3.913852e-07 7.255407e-07 3.018038e-06 2.564627e-06 1.059813e-05 1.670083e-06 6.404840e-06 2.934233e-07 1.088369e-06 1.408989e-06 5.174454e-06 7.949448e-08 2.867079e-07 1.695025e-06 6.555517e-06 3.763646e-07 1.421985e-06 8.439393e-08 3.027886e-07 2.614241e-07 9.383022e-07 7.317442e-07 2.545187e-06 9.863364e-07 3.789437e-06 5.671233e-07 1.991553e-06 3.200308e-08 1.293173e-07 6.309108e-07 2.225105e-06 1.635972e-06 6.803230e-06 1.952861e-06 7.465193e-06 8.478460e-08 3.109733e-07 2.791857e-07 1.110076e-06 7.311298e-07 2.891627e-06 3.842284e-07 1.564180e-06 9.346525e-08 3.428560e-07 
2457264.500000 2.696296e-08 1.034724e-07 9.182791e-07 3.462376e-06 7.301684e-07 3.027891e-06 1.725421e-08 6.128167e-08 1.276757e-06 5.317625e-06 1.675021e-07 6.126266e-07 1.476487e-06 5.826340e-06 5.579882e-08 2.287344e-07 1.208392e-06 4.946949e-06 2.185012e-07 8.243215e-07 3.331029e-07 1.294121e-06 7.116429e-07 2.790799e-06 1.761602e-06 7.047834e-06 7.536789e-08 3.165985e-07 4.378492e-07 1.794625e-06 8.160987e-07 2.913349e-06 5.208718e-08 1.807516e-07 5.636433e-07 2.037327e-06 9.211945e-07 3.690064e-06 2.754146e-06 1.117646e-05 1.887688e-07 7.611004e-07 1.059644e-06 4.163761e-06 1.166479e-06 4.804140e-06 8.024824e-07 3.140537e-06 1.531620e-07 5.999230e-07 5.722485e-07 2.051485e-06 1.551253e-07 6.073034e-07 1.274769e-07 4.592264e-07 6.093766e-07 2.472117e-06 2.519284e-06 1.033702e-05 1.917868e-06 7.470657e-06 4.093888e-07 1.576470e-06 1.435474e-06 5.285185e-06 2.220157e-07 9.138702e-07 1.763872e-06 6.874933e-06 4.221534e-07 1.614412e-06 8.608134e-08 3.109230e-07 2.577792e-07 9.210719e-07 6.396318e-07 2.200821e-06 8.857653e-07 3.359481e-06 5.847151e-07 2.057443e-06 3.615541e-08 1.478695e-07 6.690636e-07 2.369880e-06 1.778837e-06 7.487159e-06 1.766197e-06 6.668728e-06 1.012811e-07 3.796724e-07 2.456232e-07 9.635258e-07 5.471772e-07 2.088143e-06 2.102953e-07 7.895713e-07 9.977982e-08 3.681441e-07 
2457265.500000 2.776868e-08 1.060973e-07 1.014049e-06 3.859575e-06 6.747516e-07 2.760276e-06 1.716380e-08 6.092915e-08 1.272385e-06 5.299358e-06 1.936740e-07 7.182097e-07 1.346748e-06 5.254703e-06 4.874061e-08 1.971434e-07 1.227098e-06 5.008837e-06 2.404076e-07 9.204785e-07 3.187398e-07 1.226441e-06 6.457959e-07 2.508140e-06 1.771798e-06 7.105764e-06 7.569110e-08 3.188262e-07 4.250790e-07 1.734973e-06 8.360194e-07 2.994027e-06 4.601756e-08 1.579061e-07 6.592711e-07 2.420994e-06 9.156558e-07 3.656511e-06 2.976073e-06 1.220079e-05 1.898903e-07 7.625562e-07 1.021251e-06 4.010309e-06 1.207312e-06 4.995602e-06 8.666074e-07 3.424016e-06 1.463176e-07 5.705165e-07 5.399607e-07 1.925513e-06 1.457109e-07 5.640173e-07 1.314535e-07 4.760830e-07 6.047684e-07 2.438959e-06 2.513302e-06 1.034617e-05 2.051707e-06 8.100073e-06 4.071618e-07 1.568721e-06 1.329848e-06 4.859535e-06 2.296258e-07 9.553085e-07 1.780728e-06 6.970522e-06 4.030774e-07 1.539397e-06 7.652463e-08 2.733820e-07 2.766040e-07 9.935904e-07 6.861459e-07 2.383224e-06 8.412426e-07 3.169158e-06 5.491858e-07 1.921378e-06 3.766693e-08 1.551321e-07 6.269463e-07 2.201751e-06 1.741568e-06 7.300749e-06 1.536768e-06 5.724030e-06 9.983057e-08 3.750267e-07 2.489888e-07 9.743168e-07 5.319259e-07 2.016571e-06 1.965817e-07 7.347316e-07 1.070630e-07 3.961458e-07 
2457266.500000 2.695601e-08 1.028709e-07 1.141904e-06 4.408318e-06 6.155537e-07 2.482252e-06 1.754137e-08 6.246063e-08 1.368160e-06 5.764822e-06 1.673850e-07 6.129305e-07 1.466776e-06 5.784249e-06 5.083919e-08 2.066748e-07 1.156238e-06 4.647703e-06 2.310302e-07 8.759924e-07 3.335455e-07 1.284356e-06 6.687693e-07 2.615651e-06 1.903049e-06 7.714678e-06 8.115933e-08 3.436070e-07 4.450347e-07 1.824730e-06 8.377341e-07 3.003513e-06 4.412737e-08 1.505677e-07 8.872798e-07 3.363688e-06 9.860616e-07 3.994837e-06 2.871267e-06 1.173963e-05 2.149607e-07 8.760673e-07 1.015937e-06 3.992777e-06 1.273883e-06 5.324815e-06 9.247820e-07 3.672912e-06 1.572062e-07 6.216705e-07 4.830336e-07 1.702047e-06 1.552662e-07 6.084691e-07 1.153584e-07 4.133167e-07 6.334248e-07 2.562888e-06 2.677761e-06 1.114290e-05 2.022545e-06 7.957353e-06 4.367749e-07 1.691830e-06 1.122347e-06 4.036296e-06 2.387147e-07 9.972075e-07 1.806288e-06 7.087370e-06 3.171278e-07 1.181863e-06 7.934064e-08 2.849079e-07 2.427468e-07 8.597968e-07 1.204242e-06 4.427718e-06 4.790947e-07 1.700467e-06 5.830610e-07 2.046042e-06 3.602368e-08 1.492707e-07 1.517403e-06 5.891312e-06 1.783524e-06 7.521733e-06 1.504700e-06 5.601316e-06 1.094671e-07 4.171409e-07 2.686506e-07 1.066574e-06 4.810085e-07 1.801953e-06 2.255122e-07 8.525288e-07 9.020466e-08 3.285530e-07 
2457267.500000 2.505208e-08 9.424224e-08 1.215620e-06 4.714124e-06 5.752973e-07 2.293205e-06 4.812315e-08 1.960099e-07 1.383798e-06 5.831653e-06 1.499254e-07 5.423449e-07 1.535424e-06 6.073765e-06 4.897658e-08 1.984147e-07 1.121669e-06 4.471925e-06 2.367584e-07 9.042800e-07 3.134858e-07 1.195654e-06 6.126873e-07 2.360061e-06 7.596623e-07 2.745480e-06 8.692606e-08 3.706034e-07 4.580030e-07 1.882760e-06 7.467833e-07 2.648256e-06 7.424916e-08 2.673924e-07 8.750378e-07 3.307206e-06 1.028476e-06 4.177235e-06 2.814333e-06 1.148383e-05 2.210034e-07 9.017995e-07 9.894661e-07 3.861806e-06 1.188447e-06 4.915671e-06 3.501196e-07 1.238350e-06 1.483806e-07 5.797373e-07 4.616942e-07 1.622965e-06 1.495458e-07 5.807177e-07 9.909758e-08 3.497976e-07 6.056072e-07 2.419725e-06 2.634751e-06 1.095765e-05 1.945960e-06 7.597016e-06 4.049533e-07 1.557715e-06 1.019437e-06 3.632167e-06 2.597461e-07 1.094241e-06 1.849595e-06 7.274889e-06 3.499186e-07 1.321164e-06 7.154148e-08 2.549915e-07 2.112273e-07 7.367256e-07 1.091089e-06 3.962586e-06 5.156965e-07 1.839446e-06 5.562284e-07 1.944561e-06 1.586492e-08 5.890208e-08 1.661062e-06 6.508102e-06 1.829707e-06 7.773307e-06 1.697027e-06 6.393942e-06 1.009459e-07 3.827513e-07 2.718371e-07 1.074488e-06 4.237232e-07 1.566233e-06 2.437695e-07 9.297179e-07 9.330041e-08 3.397559e-07 
