# date r[0] j[0] r[1] j[1] r[2] j[2] r[3] j[3] r[4] j[4] r[5] j[5] r[6] j[6] r[7] j[7] r[8] j[8] r[9] j[9] r[10] j[10] r[11] j[11] r[12] j[12] r[13] j[13] r[14] j[14] r[15] j[15] r[16] j[16] r[17] j[17] r[18] j[18] r[19] j[19] r[20] j[20] r[21] j[21] r[22] j[22] r[23] j[23] r[24] j[24] 
119.000000 2.047547e-09 7.680279e-09 2.080357e-06 7.772623e-06 2.342308e-10 9.674718e-10 5.515600e-09 2.256000e-08 8.047173e-03 2.831419e-02 3.654580e-09 1.526326e-08 1.348867e-07 4.874133e-07 7.387304e-08 2.847130e-07 1.395300e-11 5.836550e-11 3.533116e-09 1.324538e-08 3.700477e-07 1.474286e-06 2.331649e-02 8.162133e-02 4.705071e-07 1.831930e-06 3.861175e-07 1.467274e-06 4.772436e-06 1.807172e-05 6.007967e-03 2.120272e-02 2.785346e-09 1.028144e-08 1.949743e-06 7.109888e-06 1.547179e-03 5.413606e-03 8.422060e-09 3.437126e-08 2.151478e-05 8.276083e-05 2.348883e-06 9.240946e-06 5.073594e-08 1.893314e-07 8.691511e-03 3.060601e-02 5.521241e-09 2.232022e-08 
1214.000000 3.673724e-11 1.471105e-10 2.436730e-07 9.209347e-07 1.953115e-09 7.635451e-09 1.158234e-07 4.269815e-07 6.360715e-05 2.414474e-04 2.590281e-07 9.814064e-07 5.087753e-09 1.890480e-08 2.182099e-08 8.088252e-08 4.456297e-08 1.565403e-07 9.862286e-09 3.602034e-08 2.175299e-05 7.828163e-05 1.110152e-05 4.297645e-05 6.963646e-05 2.523744e-04 1.848406e-06 6.671817e-06 7.143045e-07 2.767031e-06 1.751279e-03 6.192708e-03 1.276328e-11 5.025611e-11 1.032902e-08 4.114680e-08 1.136156e-06 4.413823e-06 2.246679e-06 8.243170e-06 2.983005e-04 1.067366e-03 9.399831e-07 3.779780e-06 6.416544e-10 2.414015e-09 2.382583e-04 8.746491e-04 1.328120e-09 5.346150e-09 
1240.000000 1.351161e-10 5.254906e-10 3.898912e-06 1.397782e-05 1.899466e-10 7.823555e-10 9.926156e-11 4.166365e-10 3.666408e-06 1.462476e-05 2.543790e-09 1.049438e-08 3.274115e-08 1.170356e-07 2.889905e-08 1.061812e-07 3.036542e-12 1.272444e-11 6.193633e-08 2.187598e-07 4.270517e-08 1.728538e-07 7.886647e-07 3.223842e-06 2.838369e-08 1.182867e-07 4.114436e-09 1.662745e-08 9.309218e-07 3.604119e-06 6.457125e-05 2.411799e-04 5.634017e-13 2.304891e-12 1.229013e-09 5.069154e-09 6.453751e-08 2.634686e-07 2.258839e-07 8.612283e-07 2.707985e-06 1.057536e-05 1.122935e-07 4.708639e-07 1.121123e-09 4.169128e-09 7.393003e-04 2.668496e-03 7.338853e-10 2.993092e-09 
1251.000000 2.730994e-09 1.006304e-08 1.225235e-05 4.289655e-05 4.170441e-07 1.486251e-06 3.991739e-09 1.563456e-08 1.556891e-03 5.557599e-03 1.691588e-05 5.954575e-05 3.505537e-11 1.425253e-10 3.669243e-10 1.460338e-09 4.748721e-12 1.989612e-11 4.398374e-09 1.630623e-08 2.460595e-05 8.874623e-05 1.202012e-07 5.073838e-07 3.082926e-04 1.076744e-03 2.361380e-08 9.252297e-08 1.663090e-06 6.367304e-06 3.642920e-05 1.371715e-04 1.169356e-09 4.219535e-09 1.871522e-06 6.716218e-06 8.910615e-05 3.188874e-04 8.685817e-07 3.232345e-06 7.103456e-08 2.963553e-07 2.012742e-05 7.665142e-05 3.250803e-10 1.237084e-09 7.756431e-06 3.041724e-05 3.172981e-10 1.316319e-09 
1268.000000 3.259522e-12 1.366209e-11 8.838737e-08 3.390187e-07 1.565358e-10 6.432149e-10 5.011602e-09 1.957801e-08 3.380801e-07 1.412307e-06 4.233971e-08 1.661440e-07 3.637868e-10 1.407706e-09 2.338106e-11 9.807292e-11 1.185125e-08 4.284705e-08 4.078159e-10 1.581553e-09 1.143249e-06 4.353433e-06 2.373083e-04 8.655814e-04 5.039073e-06 1.909081e-05 3.490974e-09 1.426287e-08 1.604620e-06 6.123966e-06 2.445311e-04 8.916452e-04 2.127526e-10 7.880940e-10 3.918418e-08 1.500718e-07 2.116419e-05 7.738455e-05 4.628248e-06 1.670043e-05 7.127102e-07 2.840076e-06 3.398452e-06 1.334610e-05 1.529173e-11 6.150443e-11 1.811655e-05 6.993062e-05 2.717227e-08 1.034633e-07 
1269.000000 5.279834e-12 2.195220e-11 1.092811e-07 4.174738e-07 1.126791e-10 4.657316e-10 8.984449e-09 3.471692e-08 2.139437e-07 9.012646e-07 2.133941e-08 8.479984e-08 3.129623e-10 1.214332e-09 1.001985e-11 4.267122e-11 9.215946e-09 3.346995e-08 3.422356e-10 1.331520e-09 1.979809e-06 7.461932e-06 3.126478e-06 1.235381e-05 2.073096e-06 7.999567e-06 4.708120e-09 1.912616e-08 1.118294e-06 4.297237e-06 1.394897e-04 5.138638e-04 9.049060e-11 3.405484e-10 1.767538e-08 6.870417e-08 6.919807e-07 2.693841e-06 2.658045e-06 9.689943e-06 9.050113e-07 3.589942e-06 7.914890e-06 3.060350e-05 1.878605e-11 7.528304e-11 1.289988e-05 5.011030e-05 1.728117e-08 6.635650e-08 
1275.000000 3.513262e-10 1.352377e-09 7.671426e-06 2.702189e-05 1.025596e-06 3.573533e-06 2.684329e-07 9.710636e-07 2.975504e-04 1.096273e-03 9.259772e-07 3.414234e-06 1.417456e-11 5.820541e-11 1.674107e-07 5.971895e-07 6.881348e-11 2.730483e-10 6.247371e-11 2.510510e-10 7.020155e-08 2.810550e-07 1.747495e-06 6.973160e-06 3.504639e-06 1.339579e-05 2.007418e-07 7.628864e-07 1.088700e-08 4.550929e-08 2.836032e-06 1.122683e-05 6.472515e-12 2.554229e-11 1.467287e-06 5.251054e-06 2.937090e-06 1.113038e-05 3.566883e-09 1.471542e-08 1.458947e-06 5.732822e-06 2.580274e-04 9.356231e-04 1.282391e-10 4.950847e-10 1.754826e-04 6.487390e-04 8.740824e-08 3.254732e-07 
1278.000000 2.178062e-11 8.808664e-11 7.174025e-07 2.634710e-06 5.169406e-09 1.985056e-08 3.583049e-07 1.288984e-06 4.230282e-05 1.616051e-04 1.605023e-06 5.858122e-06 4.873280e-10 1.876719e-09 1.021689e-07 3.677940e-07 1.514748e-10 5.922723e-10 9.211413e-11 3.675918e-10 3.510093e-08 1.421914e-07 5.575546e-05 2.081792e-04 2.658744e-06 1.021299e-05 1.241686e-07 4.760438e-07 1.519637e-04 5.334008e-04 5.087443e-04 1.826093e-03 1.398496e-12 5.640203e-12 2.632703e-06 9.317616e-06 1.734247e-05 6.361050e-05 1.021358e-08 4.141574e-08 1.058794e-04 3.851024e-04 8.746756e-05 3.242510e-04 4.231888e-11 1.667461e-10 2.847585e-06 1.133487e-05 2.686102e-10 1.116040e-09 
1305.000000 1.620452e-12 6.847220e-12 1.649747e-06 6.018911e-06 1.045396e-09 4.129862e-09 3.160894e-09 1.244369e-08 6.810119e-05 2.586940e-04 7.161007e-08 2.774073e-07 1.616297e-09 6.125299e-09 1.005717e-10 4.109928e-10 7.813629e-09 2.846143e-08 3.278445e-09 1.230448e-08 8.139889e-06 2.970044e-05 2.803573e-05 1.063621e-04 3.601554e-04 1.269806e-03 2.129869e-08 8.502996e-08 2.255460e-04 7.844936e-04 3.530443e-05 1.331829e-04 1.067090e-13 4.115719e-13 7.603810e-09 3.007903e-08 5.561194e-04 1.909804e-03 1.343354e-06 4.980581e-06 3.095062e-08 1.305978e-07 2.319110e-06 9.231371e-06 1.094967e-08 3.888186e-08 2.906690e-03 1.018158e-02 1.723525e-09 6.972192e-09 
1326.000000 5.799305e-08 2.034305e-07 1.666378e-07 6.321967e-07 1.191534e-08 4.473085e-08 4.676568e-07 1.682969e-06 4.779383e-02 1.612739e-01 1.339535e-06 4.906798e-06 5.572434e-09 2.073602e-08 2.254274e-09 8.705663e-09 2.147202e-10 8.427181e-10 2.309390e-10 9.102138e-10 8.165479e-08 3.244938e-07 3.177683e-04 1.146224e-03 2.334402e-06 9.017967e-06 5.312178e-06 1.917517e-05 5.213614e-05 1.860020e-04 9.153892e-06 3.536883e-05 5.610046e-12 2.204202e-11 6.095775e-07 2.208162e-06 5.312069e-06 1.968023e-05 3.258025e-08 1.295240e-07 4.926919e-08 2.067411e-07 2.642681e-05 1.004542e-04 2.972781e-12 1.220436e-11 9.328642e-04 3.314677e-03 1.170150e-08 4.568584e-08 
