# date r[0] j[0] r[1] j[1] r[2] j[2] r[3] j[3] r[4] j[4] r[5] j[5] r[6] j[6] r[7] j[7] r[8] j[8] r[9] j[9] 
119.000000 1.190973e-14 2.110796e-14 3.064873e-14 5.452225e-14 3.116708e-14 5.310004e-14 1.367361e-14 2.594808e-14 3.452741e-14 5.807369e-14 2.464472e-14 4.458083e-14 3.942225e-14 6.828124e-14 1.619413e-14 2.883967e-14 3.436992e-14 5.929441e-14 2.603268e-14 4.521071e-14 
415.000000 9.240959e-15 1.604825e-14 3.539953e-14 6.353462e-14 3.533015e-14 6.746493e-14 1.935468e-14 3.394620e-14 3.494959e-14 6.593857e-14 2.847143e-14 5.182083e-14 3.864360e-14 6.697322e-14 1.088831e-14 2.057916e-14 3.325508e-14 6.076308e-14 2.376777e-14 4.287990e-14 
469.000000 8.238669e-15 1.428500e-14 3.312849e-14 6.234520e-14 3.362459e-14 6.236973e-14 1.566708e-14 2.937859e-14 3.583706e-14 6.375152e-14 2.736686e-14 4.998240e-14 3.834731e-14 7.203265e-14 1.199963e-14 2.112685e-14 3.434403e-14 6.381591e-14 2.594257e-14 4.541393e-14 
532.000000 5.606110e-15 1.045419e-14 3.505400e-14 6.280893e-14 3.793775e-14 6.702661e-14 1.434952e-14 2.539178e-14 3.550615e-14 6.537180e-14 2.845386e-14 4.936712e-14 3.738881e-14 6.506130e-14 1.168795e-14 2.119113e-14 3.354748e-14 5.842415e-14 2.461428e-14 4.601412e-14 
766.000000 7.219975e-15 1.353280e-14 2.950503e-14 5.426074e-14 3.695262e-14 6.967200e-14 1.733058e-14 3.070008e-14 3.846346e-14 7.304242e-14 2.686492e-14 5.035245e-14 3.340148e-14 5.985010e-14 1.059075e-14 1.947290e-14 3.787330e-14 6.495534e-14 2.460662e-14 4.541337e-14 
795.000000 5.338893e-15 9.652211e-15 2.900681e-14 5.095204e-14 3.779898e-14 6.906818e-14 1.791030e-14 3.275592e-14 4.023047e-14 7.423133e-14 2.845251e-14 5.243418e-14 3.523487e-14 6.076137e-14 1.134787e-14 2.075962e-14 3.631581e-14 6.822324e-14 2.335981e-14 4.095976e-14 
802.000000 6.428343e-15 1.158588e-14 2.851924e-14 5.343921e-14 3.805671e-14 6.786941e-14 1.837525e-14 3.504908e-14 3.970530e-14 7.358447e-14 2.883639e-14 5.092378e-14 3.480923e-14 6.591874e-14 1.090648e-14 2.015243e-14 3.678300e-14 6.701652e-14 2.305874e-14 4.246536e-14 
822.000000 6.836567e-15 1.238987e-14 2.703249e-14 5.029438e-14 3.827309e-14 6.658070e-14 1.665325e-14 2.877366e-14 4.075528e-14 7.639893e-14 2.885065e-14 5.171338e-14 3.533033e-14 6.548988e-14 1.063038e-14 1.845743e-14 3.826239e-14 6.924806e-14 2.331208e-14 4.007795e-14 
829.000000 5.988362e-15 1.088132e-14 2.698570e-14 4.845394e-14 3.863408e-14 6.743508e-14 1.589706e-14 2.963995e-14 4.126653e-14 7.447510e-14 2.938686e-14 5.097145e-14 3.587684e-14 6.246618e-14 1.026849e-14 1.870613e-14 3.817201e-14 7.186995e-14 2.304462e-14 3.977951e-14 
1153.000000 3.350397e-15 5.824846e-15 2.648482e-14 4.707492e-14 3.732272e-14 6.448727e-14 1.794432e-14 3.261056e-14 4.508058e-14 7.746905e-14 2.962953e-14 5.049129e-14 3.391352e-14 6.077066e-14 1.365855e-14 2.371303e-14 4.706860e-14 8.171085e-14 2.796952e-14 5.208829e-14 
1154.000000 3.307112e-15 5.783335e-15 2.667481e-14 4.777096e-14 3.700277e-14 6.447575e-14 1.722678e-14 3.281192e-14 4.539413e-14 7.766493e-14 2.925451e-14 5.385995e-14 3.410500e-14 6.096129e-14 1.347826e-14 2.345166e-14 4.711572e-14 8.130719e-14 2.815079e-14 5.252906e-14 
1179.000000 2.783030e-15 5.131823e-15 2.684526e-14 4.693692e-14 3.600872e-14 6.235254e-14 1.870477e-14 3.493156e-14 4.444146e-14 8.285755e-14 2.874035e-14 5.143967e-14 3.714664e-14 6.675307e-14 1.157946e-14 2.180011e-14 4.689655e-14 8.437337e-14 2.907417e-14 5.432470e-14 
1207.000000 2.112620e-15 3.708439e-15 2.740980e-14 4.766490e-14 3.664388e-14 6.489251e-14 2.042940e-14 3.841940e-14 4.563921e-14 7.750328e-14 2.693902e-14 4.849468e-14 3.588915e-14 6.562242e-14 1.197963e-14 2.048149e-14 4.607288e-14 8.742506e-14 3.013354e-14 5.461117e-14 
1866.000000 3.753025e-15 7.026320e-15 1.980435e-14 3.621383e-14 3.657130e-14 6.783014e-14 1.438752e-14 2.508691e-14 3.659257e-14 6.962242e-14 2.224274e-14 4.281001e-14 4.254254e-14 7.783939e-14 2.059256e-14 3.614810e-14 4.626914e-14 8.072087e-14 2.688873e-14 4.918531e-14 
1871.000000 3.699666e-15 6.504049e-15 1.940004e-14 3.546006e-14 3.761169e-14 6.558142e-14 1.393319e-14 2.545906e-14 3.700054e-14 6.611574e-14 2.390388e-14 4.326591e-14 4.377261e-14 7.723234e-14 2.083340e-14 3.741933e-14 4.552575e-14 8.365014e-14 2.695659e-14 4.778792e-14 
1878.000000 3.577314e-15 6.270873e-15 1.959991e-14 3.394848e-14 3.677374e-14 6.695512e-14 1.374696e-14 2.589261e-14 3.579439e-14 6.556879e-14 2.449379e-14 4.204120e-14 4.358047e-14 7.725994e-14 2.099580e-14 3.837353e-14 4.488076e-14 8.455546e-14 2.653764e-14 4.777540e-14 
1882.000000 3.626102e-15 6.167991e-15 1.967678e-14 3.409661e-14 3.788827e-14 6.517104e-14 1.349115e-14 2.587205e-14 3.628460e-14 6.472600e-14 2.433545e-14 4.307792e-14 4.343728e-14 7.995081e-14 2.080094e-14 3.845656e-14 4.606997e-14 7.993736e-14 2.677115e-14 4.675687e-14 
