# date r[0] j[0] r[1] j[1] r[2] j[2] r[3] j[3] r[4] j[4] r[5] j[5] r[6] j[6] r[7] j[7] r[8] j[8] r[9] j[9] r[10] j[10] r[11] j[11] r[12] j[12] r[13] j[13] r[14] j[14] r[15] j[15] r[16] j[16] r[17] j[17] r[18] j[18] r[19] j[19] r[20] j[20] r[21] j[21] r[22] j[22] r[23] j[23] r[24] j[24] 
119.000000 3.319996e-08 1.340183e-07 9.109229e-07 3.388760e-06 6.207315e-07 2.446944e-06 3.180820e-08 1.168059e-07 7.841736e-07 3.016119e-06 2.030265e-07 7.891865e-07 2.271051e-06 9.351025e-06 6.444705e-08 2.401604e-07 5.164300e-07 1.995507e-06 1.477215e-07 5.454624e-07 2.808849e-07 1.059192e-06 7.435160e-07 3.062104e-06 9.281088e-07 3.302455e-06 7.970635e-08 3.340180e-07 2.925490e-07 1.154306e-06 1.941550e-06 7.371895e-06 5.883869e-08 2.087369e-07 5.299910e-07 1.916058e-06 7.554171e-07 2.970446e-06 1.290623e-06 4.673992e-06 4.679107e-08 1.764942e-07 7.767749e-07 2.827722e-06 3.413395e-07 1.219535e-06 8.634119e-07 3.502415e-06 8.537135e-08 3.227775e-07 
415.000000 3.273121e-08 1.327597e-07 5.585449e-07 2.001073e-06 1.506749e-07 5.733990e-07 3.595147e-09 1.463138e-08 7.614713e-07 2.807426e-06 1.732347e-07 6.856113e-07 1.354898e-06 5.120901e-06 1.220854e-07 4.849176e-07 1.290639e-06 5.077326e-06 6.200394e-08 2.374963e-07 1.021120e-07 3.636139e-07 9.217486e-07 3.495604e-06 1.092697e-06 3.771478e-06 1.077710e-08 4.081682e-08 4.943846e-07 2.020231e-06 1.492557e-06 5.986039e-06 1.915352e-08 6.808809e-08 1.400077e-06 5.758026e-06 3.304041e-07 1.176188e-06 1.482594e-06 5.729336e-06 6.364533e-08 2.538943e-07 9.727523e-07 3.635661e-06 2.343068e-06 9.599938e-06 3.275779e-07 1.158979e-06 1.596949e-07 5.732481e-07 
469.000000 6.293435e-09 2.237974e-08 1.412575e-06 5.738845e-06 1.005553e-07 3.787967e-07 3.739586e-09 1.567194e-08 5.452854e-07 1.947426e-06 1.170774e-07 4.938232e-07 1.351659e-06 5.262513e-06 1.773792e-07 6.991176e-07 1.095450e-06 4.173731e-06 1.671826e-07 6.966074e-07 1.708485e-07 6.661264e-07 7.220182e-07 2.645429e-06 4.865521e-06 1.983692e-05 3.339964e-08 1.289509e-07 2.144537e-07 7.666310e-07 1.320852e-06 5.155596e-06 8.957863e-08 3.713023e-07 5.823130e-07 2.101294e-06 9.127699e-07 3.634061e-06 9.259059e-07 3.336971e-06 4.757175e-08 1.898070e-07 2.277532e-06 9.169699e-06 1.504841e-06 5.835295e-06 1.280253e-06 5.358233e-06 4.769690e-07 1.978997e-06 
532.000000 1.429670e-08 5.257577e-08 1.846497e-06 7.698882e-06 1.679124e-07 6.747893e-07 3.873241e-09 1.524323e-08 8.134199e-07 3.078229e-06 9.637497e-08 3.709896e-07 1.166993e-06 4.415430e-06 1.698468e-07 6.915904e-07 1.085812e-06 4.351179e-06 7.821162e-08 2.812860e-07 6.108904e-08 2.260261e-07 1.479401e-06 6.186215e-06 2.205935e-06 7.952924e-06 3.735967e-08 1.540675e-07 5.269842e-07 2.070155e-06 6.895001e-07 2.504309e-06 1.657686e-08 5.861128e-08 9.731175e-07 3.716618e-06 8.861809e-07 3.564876e-06 1.447056e-06 5.573043e-06 3.678724e-08 1.370761e-07 3.093357e-06 1.294162e-05 1.270311e-06 4.926169e-06 9.616574e-07 3.886979e-06 4.066690e-07 1.586334e-06 
766.000000 4.346888e-08 1.832887e-07 3.467254e-07 1.211764e-06 6.214459e-08 2.197389e-07 1.484390e-08 5.561941e-08 8.090004e-07 3.023707e-06 1.183842e-07 4.379257e-07 1.231863e-06 5.062981e-06 2.142184e-07 8.836688e-07 9.277258e-07 3.552871e-06 1.539588e-07 6.244809e-07 5.341728e-08 2.106893e-07 6.078675e-07 2.147763e-06 1.155834e-05 4.867724e-05 9.641144e-09 3.491499e-08 4.154523e-07 1.670110e-06 7.704121e-07 2.794434e-06 3.765882e-10 1.529699e-09 1.781163e-06 7.397481e-06 3.783518e-07 1.345624e-06 9.442449e-07 3.541887e-06 1.292860e-07 4.811387e-07 2.408943e-06 9.726308e-06 6.163535e-07 2.166369e-06 1.062232e-06 4.337585e-06 1.611654e-07 5.677569e-07 
795.000000 1.433430e-08 5.358334e-08 1.597878e-06 6.910891e-06 6.730971e-08 2.423190e-07 2.357844e-08 8.935374e-08 5.824813e-07 2.131936e-06 3.694496e-07 1.560254e-06 1.298354e-06 5.279980e-06 1.763590e-07 7.075199e-07 7.735017e-07 2.934609e-06 3.185982e-08 1.121041e-07 3.798720e-08 1.381731e-07 1.454852e-06 5.891110e-06 3.648711e-06 1.294157e-05 1.128601e-08 4.228110e-08 3.772589e-07 1.504976e-06 1.083977e-06 4.027474e-06 2.628574e-10 1.015811e-09 6.696813e-07 2.417939e-06 9.069331e-07 3.740151e-06 1.403174e-06 5.552692e-06 8.435293e-08 3.000706e-07 1.290861e-06 4.801974e-06 5.561695e-07 1.962217e-06 1.274148e-06 5.325905e-06 1.508515e-07 5.419691e-07 
802.000000 1.848512e-08 6.867820e-08 7.622667e-07 2.950299e-06 1.071642e-07 4.098146e-07 4.245340e-08 1.638162e-07 1.327013e-06 5.413793e-06 1.615571e-07 6.092344e-07 3.640810e-07 1.273737e-06 1.369007e-07 5.273702e-07 1.397526e-06 5.808326e-06 6.747273e-08 2.587711e-07 9.967381e-08 4.001097e-07 1.126590e-06 4.385821e-06 4.844523e-06 1.777175e-05 9.363334e-09 3.404832e-08 1.754029e-07 6.478397e-07 1.015157e-06 3.744965e-06 2.370060e-10 9.199344e-10 7.015819e-07 2.551258e-06 4.497583e-07 1.662035e-06 5.795627e-07 2.059369e-06 2.080534e-07 8.157181e-07 9.641698e-07 3.485666e-06 5.570684e-07 1.972048e-06 6.247888e-07 2.353943e-06 1.524377e-07 5.494753e-07 
822.000000 2.822279e-08 1.112821e-07 7.423868e-07 2.898678e-06 5.401269e-08 1.931140e-07 3.324892e-08 1.296003e-07 9.460389e-07 3.643752e-06 4.181983e-07 1.752508e-06 7.315176e-07 2.712969e-06 1.476059e-07 5.913309e-07 4.187187e-07 1.501216e-06 8.196878e-08 3.176721e-07 1.530605e-07 6.500577e-07 7.227641e-07 2.636443e-06 5.363136e-06 1.979896e-05 2.680412e-08 1.102877e-07 2.952118e-07 1.115220e-06 1.062132e-06 3.927382e-06 1.531306e-10 6.229743e-10 9.105912e-07 3.398425e-06 5.407794e-07 2.039119e-06 4.754001e-07 1.656310e-06 2.899345e-07 1.165935e-06 3.483254e-06 1.478712e-05 7.069471e-07 2.600480e-06 7.557810e-07 2.908784e-06 3.487799e-07 1.404784e-06 
829.000000 1.949085e-08 7.355982e-08 5.374423e-07 2.024807e-06 1.387824e-07 5.522844e-07 1.364987e-08 4.796492e-08 4.311407e-07 1.513942e-06 3.770158e-07 1.533264e-06 5.116132e-07 1.801967e-06 1.438268e-07 5.682460e-07 5.228560e-07 1.897689e-06 1.153532e-07 4.771405e-07 1.794245e-07 7.620538e-07 1.635928e-06 6.610166e-06 1.113686e-05 4.542680e-05 2.957189e-08 1.196573e-07 1.834654e-07 6.561995e-07 8.525212e-07 3.067565e-06 1.018200e-10 3.955025e-10 6.212213e-07 2.229900e-06 1.183314e-06 4.930591e-06 4.967904e-07 1.738309e-06 2.434667e-07 9.499152e-07 1.872191e-06 7.198721e-06 1.419303e-06 5.702561e-06 8.836467e-07 3.485877e-06 3.370706e-07 1.337797e-06 
1153.000000 6.497630e-08 2.627573e-07 1.640269e-06 6.464862e-06 1.505535e-07 5.874788e-07 1.700246e-08 6.123028e-08 1.211159e-06 4.678540e-06 8.819653e-08 3.128573e-07 3.097040e-07 1.100428e-06 1.843219e-07 7.029435e-07 2.249608e-06 9.103464e-06 4.474054e-08 1.639680e-07 6.395704e-08 2.393612e-07 1.960996e-06 8.087178e-06 7.171079e-06 2.762059e-05 4.769499e-09 1.677151e-08 1.689691e-06 6.576690e-06 1.337412e-06 4.724815e-06 2.473754e-11 9.519196e-11 1.022824e-06 4.019339e-06 3.106237e-07 1.112914e-06 7.561557e-07 2.922948e-06 1.699943e-07 6.130316e-07 4.075181e-06 1.698071e-05 3.184672e-06 1.313249e-05 7.436784e-07 2.826299e-06 1.648615e-07 5.890302e-07 
