# date r[0] j[0] r[1] j[1] r[2] j[2] r[3] j[3] r[4] j[4] r[5] j[5] r[6] j[6] r[7] j[7] r[8] j[8] r[9] j[9] 
119.000000 1.138678e-14 8.895806e-15 3.573605e-13 1.216081e-12 1.964848e-14 1.242619e-14 2.946627e-13 1.052047e-12 5.999453e-14 1.740075e-13 9.966583e-13 3.473530e-12 2.371470e-14 1.509979e-14 2.748468e-13 9.629019e-13 2.152365e-14 1.361508e-14 1.483722e-14 9.399505e-15 
415.000000 1.024311e-14 6.736926e-15 2.243625e-14 1.430219e-14 2.236397e-14 1.415565e-14 1.235987e-12 4.444066e-12 7.887660e-12 2.933497e-11 4.637436e-14 1.400850e-13 2.197703e-14 1.389568e-14 2.570980e-14 7.132881e-14 5.032460e-14 1.165258e-13 1.151390e-14 1.102798e-14 
469.000000 1.267371e-14 1.126090e-14 3.876332e-14 7.278718e-14 5.821746e-14 1.397738e-13 1.739399e-14 2.842259e-14 2.713486e-14 4.629102e-14 4.056407e-13 1.415819e-12 2.103581e-14 1.330197e-14 8.044595e-15 5.286446e-15 2.030224e-14 1.283632e-14 1.957664e-14 3.444084e-14 
532.000000 1.270903e-14 8.037975e-15 2.590411e-14 1.638560e-14 2.267666e-14 1.654672e-14 9.639175e-13 3.470877e-12 8.325780e-13 3.184579e-12 1.106096e-13 3.743759e-13 2.276700e-14 1.439512e-14 7.944634e-14 2.673872e-13 1.985493e-14 1.258062e-14 1.193645e-14 8.235698e-15 
766.000000 1.060144e-14 6.754618e-15 3.487068e-13 1.164780e-12 2.117202e-13 6.795322e-13 1.501494e-14 1.933699e-14 6.496463e-14 1.918686e-13 1.182487e-14 1.546554e-14 2.632798e-14 3.345611e-14 7.344058e-15 6.736655e-15 1.841861e-14 1.164901e-14 1.036888e-14 6.628345e-15 
795.000000 9.827765e-15 6.217784e-15 3.870793e-14 6.614862e-14 1.853260e-14 1.175303e-14 3.642209e-14 1.057017e-13 3.069450e-14 4.992739e-14 1.148799e-12 3.998425e-12 4.527428e-14 9.847143e-14 7.348480e-15 4.811643e-15 1.883387e-14 1.212488e-14 9.353741e-15 5.921249e-15 
802.000000 9.874408e-15 6.247989e-15 2.896385e-14 2.929396e-14 1.965555e-14 1.243450e-14 2.108395e-14 4.589458e-14 3.085637e-14 5.083518e-14 4.620392e-13 1.620109e-12 2.135904e-14 1.369061e-14 2.727680e-14 7.896666e-14 1.922388e-14 1.233042e-14 9.409626e-15 5.952974e-15 
822.000000 1.067823e-14 8.351184e-15 2.545484e-14 1.866470e-14 1.833172e-14 1.162742e-14 1.984548e-14 3.776631e-14 1.491219e-13 5.273392e-13 4.662389e-13 1.634036e-12 2.065280e-14 1.312036e-14 7.527115e-15 4.801190e-15 2.019168e-14 1.390564e-14 9.372417e-15 6.144139e-15 
829.000000 1.149635e-14 1.022050e-14 2.532552e-14 1.637737e-14 1.855201e-14 1.174811e-14 1.288833e-14 1.013726e-14 1.209793e-13 4.144914e-13 1.772966e-13 6.156526e-13 2.133895e-14 1.352957e-14 7.556229e-15 4.807662e-15 2.035908e-14 1.633891e-14 9.045736e-15 5.814391e-15 
1153.000000 1.256451e-14 1.107923e-14 2.950401e-14 1.870476e-14 1.754968e-14 1.140708e-14 1.440393e-14 1.878162e-14 2.320971e-14 3.221297e-14 3.517207e-14 1.110419e-13 1.907729e-14 1.277271e-14 3.463029e-14 9.753249e-14 2.311649e-14 1.466070e-14 2.324499e-14 5.029298e-14 
1154.000000 1.232340e-14 1.073522e-14 2.943409e-14 1.863265e-14 1.753882e-14 1.127639e-14 1.639869e-14 2.715033e-14 2.122966e-14 2.355320e-14 2.084149e-14 5.832418e-14 1.929576e-14 1.310598e-14 2.300999e-14 5.510344e-14 2.308120e-14 1.464430e-14 1.940859e-14 3.715378e-14 
1179.000000 1.043523e-14 6.804902e-15 1.516984e-13 4.665166e-13 2.183135e-14 2.816841e-14 4.386150e-14 1.324815e-13 5.841988e-10 2.005206e-09 8.864207e-13 3.086989e-12 1.777831e-14 1.134938e-14 9.394821e-14 3.097946e-13 2.330112e-14 1.528258e-14 1.219024e-14 1.349405e-14 
1207.000000 1.397864e-14 1.808263e-14 2.870502e-13 9.478684e-13 3.336970e-14 6.899165e-14 1.568672e-13 5.581299e-13 5.851431e-12 2.184547e-11 1.291280e-12 4.480556e-12 1.730245e-14 1.155263e-14 7.946442e-14 2.608676e-13 2.414160e-14 2.255990e-14 9.793841e-15 6.196215e-15 
1866.000000 8.990828e-15 8.431215e-15 2.604998e-14 1.753005e-14 3.255928e-14 5.076412e-14 3.266065e-13 1.193192e-12 4.622905e-13 1.755377e-12 1.808978e-14 4.993903e-14 2.532549e-14 3.304955e-14 2.634538e-14 6.759348e-14 2.711329e-14 1.714877e-14 8.811570e-15 6.172310e-15 
1871.000000 8.653200e-15 7.179395e-15 2.591777e-14 1.686832e-14 4.191501e-14 8.329634e-14 7.943755e-13 2.884059e-12 2.083042e-12 7.872414e-12 3.405475e-13 1.190668e-12 3.428015e-14 6.251801e-14 2.107631e-14 4.728915e-14 2.724013e-14 1.722596e-14 9.261518e-15 7.615157e-15 
1878.000000 2.460044e-14 6.220575e-14 2.601289e-14 1.778030e-14 2.912646e-14 3.708169e-14 2.666456e-14 8.199494e-14 9.621245e-14 3.335730e-13 6.083399e-13 2.118777e-12 2.674405e-14 3.749422e-14 1.153102e-14 1.248367e-14 2.686963e-14 1.699232e-14 8.825671e-15 5.734675e-15 
1882.000000 5.050892e-14 1.500898e-13 2.620211e-14 1.799852e-14 3.206139e-14 4.782843e-14 9.173521e-14 3.281395e-13 1.531911e-13 5.583485e-13 8.187310e-13 2.842022e-12 2.189203e-14 2.089665e-14 1.102892e-14 8.679417e-15 2.681158e-14 1.700355e-14 8.980681e-15 6.012573e-15 
1884.000000 3.916581e-14 1.116385e-13 2.604632e-14 1.788852e-14 3.932073e-14 7.410773e-14 4.221738e-14 1.411605e-13 6.984580e-13 2.665944e-12 5.168329e-13 1.803413e-12 2.060809e-14 1.630754e-14 1.103473e-14 8.803858e-15 2.694170e-14 1.705876e-14 8.878312e-15 6.247121e-15 
1887.000000 2.000865e-14 4.590508e-14 2.624993e-14 1.878182e-14 5.833734e-14 1.406957e-13 3.288305e-14 1.056258e-13 2.054430e-12 7.783875e-12 2.875014e-13 1.007836e-12 1.978266e-14 1.314064e-14 1.176605e-14 1.214575e-14 2.695367e-14 1.707619e-14 8.402422e-15 5.584520e-15 
1890.000000 3.626446e-14 1.011619e-13 2.578606e-14 1.737890e-14 5.297445e-14 1.210518e-13 6.709954e-14 2.349368e-13 4.405635e-12 1.651487e-11 1.364801e-13 4.769509e-13 1.965744e-14 1.251587e-14 1.156920e-14 1.114697e-14 2.714726e-14 1.724304e-14 8.072058e-15 5.156427e-15 
1901.000000 5.540465e-13 1.792770e-12 2.546064e-14 1.694294e-14 1.259699e-13 3.748770e-13 1.097608e-12 3.974978e-12 3.654553e-12 1.372962e-11 5.787965e-15 3.784624e-15 6.698304e-14 1.756870e-13 1.120124e-14 8.659098e-15 4.065136e-14 6.345663e-14 7.803176e-15 5.042687e-15 
1907.000000 9.489298e-13 3.055041e-12 2.565957e-14 1.707595e-14 5.303523e-13 1.734238e-12 4.400048e-14 1.513341e-13 4.172990e-13 1.582820e-12 5.741512e-15 3.692227e-15 2.352077e-14 2.358019e-14 1.677510e-13 5.719893e-13 2.868029e-14 2.082647e-14 1.002861e-14 9.831477e-15 
1908.000000 6.235195e-13 2.015093e-12 2.550838e-14 1.679681e-14 3.834825e-13 1.245006e-12 2.839935e-14 9.223733e-14 7.734430e-13 2.946956e-12 5.798445e-15 3.717232e-15 2.235886e-14 1.936697e-14 2.874430e-13 9.933431e-13 2.816322e-14 1.917568e-14 1.013028e-14 1.004252e-14 
1909.000000 3.614222e-13 1.169473e-12 2.566221e-14 1.729942e-14 2.321974e-13 7.363977e-13 5.594817e-14 1.971207e-13 1.194372e-12 4.544320e-12 5.726426e-15 3.686815e-15 2.423711e-14 2.641838e-14 2.076802e-13 7.133097e-13 2.830130e-14 1.940066e-14 1.079714e-14 1.233655e-14 
