# date r[0] j[0] r[1] j[1] r[2] j[2] r[3] j[3] r[4] j[4] r[5] j[5] r[6] j[6] r[7] j[7] r[8] j[8] r[9] j[9] 
0.000000 14.440271 12.928834 17.864731 16.468430 14.113456 12.608573 18.676399 17.216791 16.238638 14.739062 15.051541 13.619071 14.849792 13.323118 16.595111 15.053081 17.360126 15.865206 15.269145 13.877266 
1.000000 13.707200 12.209205 18.319809 16.915081 13.881652 12.381120 17.992996 16.546187 15.828504 14.336678 15.211476 13.776172 15.276304 13.741596 17.203199 15.649940 16.845458 15.359987 14.941944 13.556207 
2.000000 13.110671 11.623901 18.174858 16.772766 13.685145 12.188160 17.182803 15.750816 15.226075 13.745351 15.303126 13.866324 15.961583 14.414127 17.138292 15.586354 17.400444 15.904689 14.483098 13.106046 
3.000000 12.394030 10.920344 17.821301 16.425814 13.619527 12.123798 16.930595 15.503233 15.043313 13.566053 14.763295 13.336328 15.456642 13.918649 17.976676 16.409052 16.725464 15.242357 14.496694 13.119199 
4.000000 11.738184 10.276484 17.186690 15.803124 13.843332 12.343444 17.268184 15.834591 15.657739 14.169129 13.860146 12.450044 15.147227 13.614982 17.777803 16.213970 17.472656 15.975764 15.038492 13.650893 
5.000000 11.971510 10.505471 16.737779 15.362717 14.146122 12.640802 17.793464 16.350055 15.173983 13.694176 13.780157 12.371503 14.702808 13.178963 17.731198 16.168426 17.081152 15.591570 14.304226 12.930055 
6.000000 11.723200 10.261776 17.569355 16.178927 14.709890 13.194259 17.682182 16.240794 14.962014 13.486209 12.903525 11.511297 15.124660 13.593142 17.159524 15.607155 16.790191 15.306151 14.564988 13.185808 
7.000000 12.319622 10.847087 17.000181 15.620381 15.491203 13.961246 17.296036 15.861868 14.519965 13.052511 12.007114 10.631644 14.828882 13.302776 16.936686 15.388268 17.191897 15.700219 14.320205 12.945582 
8.000000 13.049220 11.563021 17.128350 15.746149 16.384320 14.837994 16.543387 15.123055 13.957543 12.500713 12.230646 10.851138 14.606424 13.084239 17.495694 15.936930 16.991770 15.503905 14.734021 13.351723 
9.000000 12.110210 10.641275 17.290641 15.905481 15.982061 14.443019 17.058761 15.628947 14.890544 13.416540 11.839855 10.467740 14.406850 12.888188 17.110399 15.558754 16.747983 15.264816 14.127119 12.756279 
10.000000 11.662470 10.201834 16.948809 15.569915 16.808900 15.254625 16.383467 14.966373 14.325642 12.862097 12.217455 10.838209 14.442782 12.923486 17.418602 15.861355 17.444172 15.947990 13.508141 12.148979 
11.000000 11.672764 10.211845 17.751927 16.358302 16.528533 14.979413 16.866328 15.440173 15.110808 13.632737 12.482962 11.098787 15.032466 13.502175 16.828164 15.281758 17.743756 16.241845 13.951974 12.584565 
12.000000 12.236487 10.765238 17.932413 16.535413 16.687198 15.135284 17.343267 15.908090 15.520474 14.034699 13.401377 12.000331 14.095673 12.582700 17.760738 16.197117 18.225049 16.714231 14.390624 13.015260 
13.000000 11.844448 10.380288 18.077751 16.678061 17.319815 15.756227 16.707252 15.284037 15.755627 14.265514 13.212711 11.815308 14.815491 13.289012 18.471218 16.894288 18.941127 17.416934 14.269939 12.896969 
14.000000 12.663796 11.184607 17.886529 16.490374 17.193895 15.632741 15.932503 14.523787 16.688535 15.181163 13.473842 12.071785 15.145135 13.612614 19.293562 17.701235 18.829708 17.307509 13.705940 12.343355 
15.000000 13.000197 11.514839 17.521216 16.131701 18.089211 16.511428 16.572638 15.152035 17.208310 15.691446 13.595831 12.191549 14.386125 12.867532 19.822996 18.220712 18.142435 16.633136 14.040771 12.671998 
16.000000 12.271522 10.799746 17.361950 15.975425 18.925843 17.332729 16.999488 15.571076 17.640049 16.115158 14.450735 13.030732 13.727524 12.221016 18.983353 17.396460 18.151491 16.641984 13.995520 12.627389 
17.000000 12.719569 11.239349 16.607728 15.235212 19.359765 17.758566 16.705239 15.282416 18.572649 17.030565 14.744879 13.319449 12.887277 11.396212 18.426793 16.850019 17.794147 16.291097 14.734230 13.352486 
18.000000 11.890345 10.425623 15.713659 14.357811 19.746507 18.138218 16.861069 15.435509 18.350475 16.812316 14.401500 12.982635 13.791570 12.283667 17.896242 16.329267 17.212263 15.719828 14.251880 12.879009 
