# date r[0] j[0] r[1] j[1] r[2] j[2] r[3] j[3] r[4] j[4] r[5] j[5] r[6] j[6] r[7] j[7] r[8] j[8] r[9] j[9] 
119.000000 11.603331 10.147251 22.901961 21.411345 8.993866 7.584870 20.308617 18.815530 13.423046 11.980909 16.196590 14.745089 9.461428 8.034058 13.050312 11.572458 14.533703 13.087765 22.449064 20.922907 
415.000000 15.633316 14.108657 23.711391 22.204104 17.834696 16.263365 15.720033 14.304501 18.776776 17.241268 14.429794 13.016450 16.010681 14.458727 17.486362 15.925477 11.531476 10.135404 24.094220 22.534088 
469.000000 12.707833 11.234981 21.563122 20.100208 4.647973 3.316328 16.055512 14.633295 12.560180 11.143342 16.358441 14.911103 13.364256 11.858025 8.055142 6.666644 15.747991 14.275615 23.034177 21.493222 
532.000000 16.446711 14.908506 23.503085 22.001001 13.329093 11.836456 14.358340 12.971979 14.101217 12.654652 16.929849 15.474288 7.682326 6.280741 13.143000 11.661371 18.149008 16.630824 17.559113 16.118746 
766.000000 12.879018 11.402658 17.583903 16.200501 10.037437 8.600582 19.774920 18.289146 13.037915 11.614305 10.327411 8.986367 10.638238 9.176333 11.341333 9.890640 12.546971 11.129007 19.126122 17.665225 
795.000000 10.230539 8.806770 21.362467 19.911169 6.842462 5.464275 17.749606 16.299204 15.200908 13.740716 25.817171 24.187826 2.429913 1.122153 6.865466 5.496181 9.624263 8.265088 16.935557 15.515038 
802.000000 11.473812 10.026537 20.567742 19.131206 6.976231 5.597021 21.400363 19.885312 14.997662 13.541151 26.909617 25.260764 8.977234 7.545381 6.874570 5.504811 8.693537 7.351243 18.222659 16.777341 
822.000000 7.996023 6.615303 25.615972 24.084564 4.092219 2.766913 22.815899 21.274307 18.192821 16.675376 20.169177 18.644054 10.935995 9.468577 14.072913 12.568278 18.169075 16.649488 19.909129 18.432444 
829.000000 9.402142 7.995570 25.815561 24.280530 4.106626 2.780832 23.150833 21.603171 19.185280 17.649670 20.640838 19.106763 9.885369 8.438176 12.854860 11.373542 16.074646 14.594188 19.689613 18.219632 
1153.000000 9.317631 7.917028 16.744858 15.377509 13.515495 12.014675 19.368140 17.891802 19.949416 18.406121 18.120702 16.634657 12.220874 10.727829 17.847419 16.272792 12.363896 10.948529 19.250890 17.783587 
1154.000000 9.722259 8.314070 17.064270 15.691185 13.340411 11.842821 19.138838 17.666617 19.370264 17.837550 18.241543 16.753418 12.891413 11.386093 18.085936 16.507090 12.135144 10.724055 18.932216 17.470933 
1179.000000 15.444553 13.931254 24.756949 23.240224 8.711350 7.298030 16.719869 15.290730 13.903407 12.469230 19.835972 18.316996 13.282826 11.772374 6.140827 4.785529 17.843492 16.324980 16.627516 15.206919 
