# date r[0] j[0] r[1] j[1] r[2] j[2] r[3] j[3] r[4] j[4] r[5] j[5] r[6] j[6] r[7] j[7] r[8] j[8] r[9] j[9] r[10] j[10] r[11] j[11] r[12] j[12] r[13] j[13] r[14] j[14] r[15] j[15] r[16] j[16] r[17] j[17] r[18] j[18] r[19] j[19] r[20] j[20] r[21] j[21] r[22] j[22] r[23] j[23] r[24] j[24] r[25] j[25] r[26] j[26] r[27] j[27] r[28] j[28] r[29] j[29] r[30] j[30] r[31] j[31] r[32] j[32] r[33] j[33] r[34] j[34] r[35] j[35] r[36] j[36] r[37] j[37] r[38] j[38] r[39] j[39] r[40] j[40] r[41] j[41] r[42] j[42] r[43] j[43] r[44] j[44] r[45] j[45] r[46] j[46] r[47] j[47] r[48] j[48] r[49] j[49] 
2457258.500000 1.366098e-08 4.885089e-08 9.378089e-07 3.566133e-06 2.904421e-07 1.055810e-06 4.589392e-08 1.818850e-07 1.315845e-06 5.471403e-06 2.515159e-07 9.673977e-07 5.732329e-07 2.012824e-06 3.931151e-08 1.514949e-07 3.265795e-07 1.140957e-06 1.181936e-07 4.175449e-07 3.667640e-07 1.455705e-06 9.528617e-07 3.958922e-06 1.370363e-06 5.278226e-06 6.095289e-08 2.404375e-07 3.709977e-07 1.476499e-06 2.243191e-06 9.030290e-06 6.324866e-08 2.226273e-07 7.170254e-07 2.660591e-06 9.268899e-07 3.727278e-06 1.612375e-06 6.024721e-06 2.213914e-07 9.288682e-07 1.254097e-06 5.040175e-06 3.449360e-07 1.219902e-06 1.062370e-06 4.376191e-06 1.300345e-07 4.924110e-07 9.989806e-07 3.812384e-06 8.326096e-08 3.058675e-07 1.268826e-07 4.567171e-07 6.215971e-07 2.566757e-06 7.563949e-07 2.668980e-06 1.572546e-06 6.031538e-06 3.227319e-07 1.195459e-06 1.942794e-06 7.436890e-06 6.988889e-08 2.480092e-07 8.635797e-07 3.054750e-06 3.371177e-07 1.264115e-06 2.431456e-07 1.007069e-06 4.279778e-07 1.629210e-06 8.108927e-07 2.855647e-06 1.449412e-06 5.843594e-06 6.718328e-07 2.399651e-06 3.673317e-08 1.458418e-07 1.685093e-06 6.616743e-06 1.267774e-06 5.068488e-06 3.287593e-06 1.355232e-05 8.560554e-08 3.163424e-07 2.145938e-07 8.244336e-07 8.821050e-07 3.607321e-06 4.286582e-07 1.751505e-06 1.236829e-07 4.665134e-07 
2457259.500000 9.736513e-09 3.504288e-08 5.098886e-07 1.960782e-06 2.810616e-07 1.022182e-06 4.051530e-08 1.609623e-07 8.923261e-07 3.737661e-06 1.504427e-07 5.842248e-07 1.322787e-06 4.573925e-06 4.151134e-08 1.597852e-07 3.339763e-07 1.166387e-06 1.999824e-07 6.997306e-07 1.874916e-07 7.534832e-07 1.048107e-06 4.347752e-06 1.498356e-06 5.761279e-06 3.155388e-08 1.259935e-07 2.181640e-07 8.767888e-07 9.428547e-07 3.856525e-06 5.124344e-08 1.810424e-07 4.497699e-07 1.683548e-06 1.071924e-06 4.299197e-06 2.697077e-06 9.983346e-06 1.246569e-07 5.285212e-07 7.978941e-07 3.233838e-06 5.602853e-07 1.963450e-06 4.919020e-07 2.055715e-06 1.942630e-07 7.302281e-07 6.235578e-07 2.400796e-06 1.204376e-07 4.393714e-07 2.178484e-07 7.764673e-07 3.557526e-07 1.484065e-06 6.314764e-07 2.235403e-06 2.863469e-06 1.086354e-05 5.066207e-07 1.860716e-06 1.546451e-06 5.945232e-06 5.009236e-08 1.788770e-07 6.801434e-07 2.416159e-06 5.375878e-07 1.998334e-06 4.724368e-07 1.933020e-06 3.907064e-07 1.489889e-06 5.675121e-07 2.011562e-06 1.497229e-06 6.033551e-06 6.120797e-07 2.190199e-06 6.888571e-08 2.703325e-07 1.448289e-06 5.702917e-06 1.915718e-06 7.600216e-06 3.600968e-06 1.481899e-05 1.241513e-07 4.555595e-07 3.290119e-07 1.254117e-06 8.651180e-07 3.539427e-06 1.990864e-07 8.250941e-07 1.680616e-07 6.303016e-07 
2457260.500000 7.359117e-09 2.662324e-08 2.190033e-07 8.553608e-07 3.681436e-07 1.332222e-06 2.275467e-08 9.135629e-08 6.981689e-07 2.937766e-06 2.270094e-07 8.750180e-07 7.341868e-07 2.566732e-06 2.380980e-08 9.258099e-08 2.347882e-07 8.254212e-07 1.743832e-07 6.117696e-07 1.332505e-07 5.388556e-07 1.828415e-06 7.505483e-06 3.068792e-06 1.164250e-05 1.947487e-08 7.846787e-08 5.114961e-07 2.023543e-06 1.990113e-06 8.028370e-06 8.341895e-08 2.920536e-07 3.434046e-07 1.291954e-06 1.574972e-06 6.272654e-06 1.949867e-06 7.260544e-06 2.467744e-07 1.033139e-06 1.279466e-06 5.139623e-06 1.010495e-06 3.502909e-06 1.066317e-06 4.392839e-06 1.874866e-07 7.052060e-07 9.076406e-07 3.470759e-06 1.057163e-07 3.866258e-07 4.714761e-07 1.656864e-06 8.453741e-07 3.470965e-06 7.796220e-07 2.749054e-06 1.904004e-06 7.278809e-06 1.119070e-06 4.049592e-06 2.637921e-06 1.004088e-05 4.130437e-08 1.480036e-07 3.102093e-07 1.118099e-06 2.363362e-07 8.919212e-07 5.415772e-07 2.210572e-06 6.098165e-07 2.306539e-06 6.136799e-07 2.171861e-06 2.881470e-06 1.147057e-05 5.589208e-07 2.002985e-06 5.796987e-08 2.282174e-07 1.046064e-06 4.143792e-06 3.698249e-06 1.449685e-05 7.418507e-06 3.012324e-05 5.848499e-08 2.176000e-07 2.069529e-07 7.956636e-07 6.457225e-07 2.656349e-06 4.400959e-07 1.797156e-06 1.513406e-07 5.687265e-07 
2457261.500000 9.132644e-09 3.290397e-08 1.671338e-07 6.559701e-07 6.555958e-07 2.346792e-06 4.380728e-08 1.737866e-07 5.714614e-07 2.413905e-06 1.940798e-07 7.503266e-07 1.582084e-06 5.452654e-06 1.477441e-08 5.794898e-08 1.031265e-07 3.681224e-07 1.923393e-07 6.735981e-07 2.341055e-07 9.368306e-07 8.169179e-07 3.403471e-06 5.869749e-06 2.200300e-05 1.874064e-08 7.555218e-08 6.404936e-07 2.523266e-06 1.379698e-06 5.603931e-06 5.382182e-08 1.899943e-07 4.193453e-07 1.572078e-06 1.998924e-06 7.926168e-06 2.297714e-06 8.528967e-06 2.823111e-07 1.178963e-06 2.512434e-06 9.966037e-06 9.670918e-07 3.355393e-06 1.665044e-06 6.803531e-06 2.275018e-07 8.525215e-07 1.446539e-06 5.484491e-06 2.476185e-07 8.913318e-07 5.329706e-07 1.868495e-06 1.597331e-06 6.482248e-06 1.376724e-06 4.803763e-06 2.465824e-06 9.380797e-06 6.426369e-07 2.349852e-06 3.560315e-06 1.347825e-05 8.957130e-08 3.163265e-07 1.940961e-07 7.055823e-07 1.122077e-07 4.293089e-07 1.103766e-06 4.446581e-06 6.125507e-07 2.316483e-06 7.522122e-07 2.651810e-06 3.214829e-06 1.277154e-05 2.453601e-07 8.927980e-07 5.512269e-08 2.171732e-07 8.991524e-07 3.572254e-06 5.871625e-06 2.282032e-05 8.844279e-06 3.580235e-05 3.220837e-08 1.211839e-07 3.830291e-07 1.456177e-06 6.881217e-07 2.827888e-06 2.558266e-07 1.055247e-06 2.746439e-07 1.020919e-06 
2457262.500000 9.268944e-09 3.329428e-08 3.634415e-05 1.291125e-04 4.475308e-10 1.833835e-09 3.245840e-08 1.291119e-07 4.541014e-04 1.690579e-03 5.045175e-06 1.834943e-05 6.657211e-07 2.333968e-06 3.847985e-06 1.362067e-05 4.541430e-09 1.717803e-08 5.689563e-10 2.222356e-09 8.546460e-05 3.073380e-04 5.726397e-05 2.207500e-04 1.123945e-06 4.346864e-06 1.435306e-07 5.574919e-07 2.970420e-06 1.138831e-05 2.408068e-05 9.266680e-05 3.313370e-08 1.179430e-07 4.693112e-08 1.836446e-07 1.506120e-05 5.757438e-05 4.667226e-07 1.784194e-06 2.895182e-04 1.063922e-03 1.341369e-05 5.170006e-05 1.833452e-09 7.156012e-09 2.065000e-06 8.405491e-06 1.096196e-09 4.528052e-09 9.134742e-09 3.799186e-08 8.641255e-11 3.604630e-10 5.520253e-10 2.197432e-09 1.991956e-03 7.080843e-03 6.130316e-10 2.465644e-09 7.879202e-07 3.061306e-06 4.635915e-10 1.941987e-09 7.527802e-08 3.054817e-07 3.781049e-08 1.356591e-07 2.364351e-08 8.932625e-08 9.699936e-06 3.422404e-05 3.032917e-07 1.253218e-06 3.767336e-05 1.322058e-04 8.856940e-08 3.255087e-07 9.580215e-07 3.892796e-06 7.171311e-09 2.789758e-08 6.121662e-06 2.213070e-05 5.069544e-04 1.792959e-03 7.191642e-04 2.551620e-03 2.952188e-05 1.169084e-04 8.115546e-10 3.271380e-09 2.522194e-07 9.641196e-07 3.959120e-06 1.571632e-05 1.809142e-05 6.904065e-05 4.436313e-10 1.858920e-09 
2457263.500000 1.183288e-08 4.231753e-08 4.073156e-05 1.443702e-04 4.596840e-10 1.882668e-09 2.162472e-08 8.668152e-08 8.288194e-04 3.050948e-03 2.231415e-06 8.239131e-06 3.017468e-07 1.073676e-06 7.241196e-06 2.532986e-05 3.981561e-09 1.509675e-08 6.370141e-10 2.482872e-09 7.182159e-05 2.591041e-04 4.313505e-05 1.671895e-04 1.338240e-06 5.159603e-06 8.636901e-08 3.386250e-07 3.084273e-06 1.181718e-05 1.887350e-05 7.296539e-05 4.224728e-08 1.497014e-07 3.338362e-08 1.314420e-07 1.137869e-05 4.372958e-05 8.633459e-07 3.263123e-06 1.398926e-04 5.210345e-04 1.745284e-05 6.693484e-05 1.024192e-09 4.040219e-09 4.489396e-06 1.801263e-05 1.993199e-09 8.143447e-09 2.131483e-08 8.727896e-08 1.241462e-10 5.144064e-10 5.406834e-10 2.153286e-09 3.159158e-03 1.113411e-02 1.319424e-09 5.231233e-09 7.076815e-07 2.755370e-06 2.572344e-10 1.089260e-09 9.705355e-08 3.920616e-07 4.734502e-08 1.691584e-07 1.097417e-08 4.205346e-08 1.068721e-05 3.764102e-05 1.607689e-07 6.720674e-07 2.852571e-05 1.006345e-04 6.804471e-08 2.513468e-07 4.606828e-07 1.897265e-06 6.861379e-09 2.671156e-08 5.273603e-06 1.912002e-05 3.866681e-04 1.374544e-03 9.326381e-04 3.293159e-03 4.031243e-05 1.587425e-04 3.932682e-10 1.606524e-09 4.868736e-07 1.838488e-06 1.778716e-06 7.165872e-06 1.711299e-05 6.538177e-05 3.333721e-10 1.404171e-09 
2457264.500000 9.941739e-09 3.566437e-08 2.079399e-05 7.461930e-05 2.582235e-10 1.068941e-09 1.210775e-08 4.906056e-08 4.386576e-04 1.633995e-03 5.298675e-06 1.925451e-05 3.268102e-07 1.161169e-06 9.420473e-06 3.279686e-05 3.019571e-09 1.150835e-08 4.162336e-10 1.635034e-09 1.243927e-04 4.441442e-04 1.850314e-05 7.285351e-05 9.628907e-07 3.735136e-06 4.362458e-08 1.732118e-07 5.141371e-06 1.951299e-05 8.691882e-06 3.408605e-05 4.363070e-08 1.544897e-07 1.794196e-08 7.145302e-08 6.931624e-06 2.688033e-05 6.777213e-07 2.573121e-06 2.667757e-04 9.819113e-04 1.334387e-05 5.143152e-05 1.992316e-09 7.764176e-09 6.570498e-06 2.617611e-05 1.121024e-09 4.628686e-09 1.442666e-08 5.950539e-08 6.744362e-11 2.825608e-10 9.229195e-10 3.639167e-09 2.172728e-03 7.711379e-03 1.693317e-09 6.681847e-09 1.244478e-06 4.794484e-06 3.054318e-10 1.289442e-09 1.272871e-07 5.116060e-07 2.677291e-08 9.668373e-08 1.589487e-08 6.048772e-08 1.000121e-05 3.526264e-05 1.036939e-07 4.369474e-07 3.263158e-05 1.148442e-04 7.553582e-08 2.784296e-07 9.038471e-07 3.675891e-06 4.123432e-09 1.620334e-08 7.652914e-06 2.755430e-05 1.857823e-04 6.695321e-04 8.160382e-04 2.888437e-03 6.731135e-05 2.625155e-04 2.768477e-10 1.138097e-09 9.533012e-07 3.555729e-06 2.314079e-06 9.276944e-06 2.266407e-05 8.612502e-05 2.034480e-10 8.647445e-10 
2457265.500000 5.658078e-09 2.051357e-08 2.747320e-05 9.809565e-05 3.303751e-10 1.361198e-09 7.572972e-09 3.095743e-08 2.546578e-04 9.582595e-04 6.813205e-06 2.464151e-05 1.591505e-07 5.730917e-07 1.708832e-05 5.884435e-05 2.507137e-09 9.589574e-09 3.427261e-10 1.350943e-09 2.328576e-04 8.217324e-04 3.102785e-05 1.210144e-04 1.043088e-06 4.040924e-06 7.372674e-08 2.899203e-07 2.773482e-06 1.064590e-05 5.148568e-06 2.039080e-05 9.368274e-08 3.270871e-07 1.062143e-08 4.270780e-08 5.860963e-06 2.280047e-05 2.950385e-07 1.137710e-06 5.929236e-04 2.149956e-03 7.113854e-06 2.774228e-05 3.141157e-09 1.213945e-08 1.053916e-05 4.161663e-05 1.224253e-09 5.046514e-09 3.285030e-08 1.334486e-07 3.652614e-11 1.547728e-10 1.236155e-09 4.848205e-09 1.686072e-03 6.011829e-03 7.274898e-10 2.915603e-09 1.118884e-06 4.318927e-06 3.309996e-10 1.395121e-09 1.182419e-07 4.758969e-07 5.489691e-08 1.956139e-07 2.261710e-08 8.551907e-08 5.738044e-06 2.044454e-05 6.249648e-08 2.658623e-07 2.564505e-05 9.066646e-05 7.929920e-08 2.920050e-07 4.301601e-07 1.773636e-06 3.978541e-09 1.564276e-08 3.289714e-06 1.202989e-05 1.335281e-04 4.841322e-04 5.346919e-04 1.907154e-03 1.150129e-04 4.441729e-04 1.899088e-10 7.861265e-10 6.510078e-07 2.445501e-06 1.369706e-06 5.543599e-06 2.951126e-05 1.115962e-04 1.926272e-10 8.195223e-10 
2457266.500000 1.080032e-08 3.866826e-08 5.371037e-05 1.893622e-04 1.762313e-10 7.364741e-10 1.233261e-06 4.594694e-06 5.702182e-05 2.202874e-04 2.804649e-07 1.077598e-06 2.735243e-10 1.108549e-09 3.879595e-08 1.493420e-07 3.219400e-10 1.275795e-09 7.695437e-09 2.857520e-08 7.485530e-06 2.816750e-05 2.829103e-05 1.107752e-04 2.058566e-04 7.235276e-04 8.556567e-06 3.082787e-05 2.820154e-07 1.128532e-06 2.056056e-03 7.290506e-03 3.824674e-09 1.418385e-08 1.175182e-07 4.530642e-07 7.859017e-04 2.799056e-03 1.789298e-05 6.393262e-05 4.262669e-07 1.766906e-06 9.824091e-06 3.799876e-05 9.794491e-10 3.871083e-09 1.493188e-03 5.367539e-03 2.569323e-08 1.002913e-07 7.962735e-09 3.320114e-08 1.883249e-08 7.123950e-08 3.413662e-10 1.373395e-09 5.074702e-06 2.012887e-05 1.032114e-10 4.279692e-10 3.918935e-05 1.413721e-04 4.481544e-08 1.723096e-07 1.136997e-04 4.036980e-04 2.629850e-10 1.036972e-09 1.985055e-07 7.195661e-07 5.676430e-06 2.021311e-05 1.982041e-04 7.241099e-04 7.432629e-09 3.062641e-08 1.148965e-08 4.392437e-08 1.349165e-05 5.218070e-05 4.404102e-07 1.587042e-06 1.968355e-09 8.234383e-09 1.418393e-07 5.849049e-07 3.485252e-07 1.423557e-06 1.346045e-04 5.183948e-04 6.522246e-10 2.635421e-09 1.704762e-08 6.855589e-08 7.848611e-04 2.818617e-03 4.957241e-04 1.783004e-03 1.618804e-06 5.827778e-06 
2457267.500000 1.433169e-08 5.103945e-08 9.566525e-05 3.336644e-04 1.384262e-10 5.810864e-10 1.624603e-06 6.020903e-06 5.765496e-05 2.226703e-04 3.123575e-07 1.197812e-06 6.514502e-10 2.598679e-09 5.353127e-08 2.048732e-07 5.784724e-10 2.268094e-09 1.709896e-08 6.257070e-08 1.202104e-05 4.483220e-05 3.134454e-05 1.224869e-04 1.905636e-04 6.708317e-04 6.386419e-06 2.313485e-05 1.420973e-07 5.759669e-07 3.283978e-03 1.154597e-02 4.724338e-09 1.745049e-08 5.063450e-08 1.982985e-07 6.152628e-04 2.201253e-03 3.117767e-05 1.102728e-04 2.045069e-07 8.594279e-07 7.939353e-06 3.083561e-05 5.491851e-10 2.193544e-09 6.619166e-04 2.415787e-03 5.752543e-08 2.212182e-07 3.523942e-09 1.491501e-08 1.606223e-08 6.094853e-08 7.018686e-10 2.786662e-09 3.512293e-06 1.402451e-05 2.179793e-10 8.916857e-10 3.935154e-05 1.419562e-04 2.091265e-08 8.155585e-08 2.015940e-04 7.082912e-04 2.735536e-10 1.078024e-09 2.345414e-07 8.474627e-07 9.363209e-06 3.303381e-05 2.998983e-04 1.087376e-03 5.634141e-09 2.333365e-08 1.248777e-08 4.766838e-08 3.094729e-05 1.178790e-04 4.136629e-07 1.492648e-06 1.193813e-09 5.041099e-09 1.657034e-07 6.812840e-07 5.724411e-07 2.316895e-06 1.972367e-04 7.542032e-04 4.757521e-10 1.933933e-09 8.443348e-09 3.439300e-08 1.690015e-03 5.983305e-03 2.947709e-04 1.070297e-03 7.770631e-07 2.835390e-06 
