# date r[0] j[0] r[1] j[1] r[2] j[2] r[3] j[3] r[4] j[4] r[5] j[5] r[6] j[6] r[7] j[7] r[8] j[8] r[9] j[9] r[10] j[10] r[11] j[11] r[12] j[12] r[13] j[13] r[14] j[14] 
0.000000 35.428391 34.007779 18.114849 16.667553 10.430499 8.874649 20.267984 18.726769 24.950458 23.496102 24.100366 22.688156 26.506418 25.139475 27.460362 25.975463 36.133274 34.711590 34.941806 33.569932 14.649081 13.187436 41.031000 39.589816 52.490993 51.054412 23.457819 21.983330 27.794625 26.337530 
1.000000 36.331508 34.924576 18.895386 17.461220 9.967737 8.404203 19.999058 18.454756 25.435934 23.990329 23.828100 22.410484 27.568434 26.216638 26.426267 24.924336 37.156582 35.744370 34.706022 33.327972 15.490265 14.045540 41.779802 40.342676 53.241285 51.814831 24.446701 22.987168 27.249070 25.788710 
2.000000 37.405686 36.013956 18.745297 17.309235 9.368886 7.788423 19.634287 18.080697 25.093094 23.637393 23.893291 22.476288 27.071546 25.715006 27.489550 26.004402 38.434653 37.037560 35.351377 33.985706 15.992723 14.552397 41.760370 40.320987 52.642648 51.202133 25.078202 23.632337 26.497066 25.020082 
3.000000 38.491101 37.111955 17.761143 16.312980 8.783074 7.187907 19.386968 17.827165 24.863678 23.408658 24.223980 22.812609 26.488787 25.121797 26.842456 25.348957 39.787735 38.403603 35.629529 34.269487 16.335040 14.897068 42.388371 40.965289 52.168513 50.727985 24.213294 22.756479 27.273782 25.808661 
4.000000 35.489950 34.066739 17.185512 15.725039 9.154826 7.565775 19.478962 17.928344 26.120799 24.681275 24.747674 23.347235 25.808126 24.434205 27.168131 25.682529 38.709274 37.312439 31.205818 29.789166 15.240103 13.786199 42.281701 40.858996 55.784523 54.391266 24.896518 23.445830 27.645231 26.186105 
5.000000 34.430754 32.991934 16.713789 15.241944 8.631349 7.031581 19.386773 17.832969 26.806229 25.378899 24.401054 22.999615 27.135063 25.774638 27.948651 26.479268 38.837738 37.444794 30.881434 29.457114 15.808612 14.366829 41.128910 39.696379 56.001524 54.608267 25.169661 23.726230 27.013728 25.539578 
6.000000 35.042310 33.610586 17.495843 16.034299 16.998728 15.567550 19.340475 17.778479 26.209217 24.773667 24.035422 22.631684 28.431977 27.087819 29.244272 27.790283 38.246386 36.847851 31.948282 30.539297 15.957294 14.514964 36.738817 35.236994 57.554431 56.173668 31.587428 30.230727 28.175449 26.716768 
7.000000 38.563579 37.185158 16.578064 15.102932 18.109687 16.692993 27.455187 26.042339 26.000033 24.559856 22.884098 21.463695 29.046150 27.708551 29.967099 28.524759 39.469934 38.085777 32.433231 31.031713 16.673218 15.238177 36.711264 35.203478 58.466052 57.091855 32.601288 31.255611 28.470081 27.010789 
8.000000 39.577661 38.209307 15.019508 13.511208 18.306063 16.889276 26.446162 25.021947 26.671269 25.242759 22.959161 21.540514 29.107837 27.768161 33.692308 32.300640 39.003029 37.616036 33.862049 32.475180 22.363086 21.005821 36.377720 34.853958 59.355490 57.985834 33.734008 32.399415 28.070368 26.602715 
9.000000 38.025837 36.640792 15.490103 13.992293 18.127208 16.708232 25.310824 23.872882 26.012000 24.570503 23.868284 22.464563 28.544014 27.194937 32.310406 30.903985 39.968068 38.588360 34.564329 33.184659 23.005492 21.656620 41.166232 39.721724 60.157786 58.803021 25.853434 24.419921 28.340849 26.881573 
10.000000 37.276745 35.876503 15.121828 13.616426 17.081903 15.650671 25.493765 24.061594 25.295596 23.844397 23.863209 22.460293 28.983424 27.642653 33.450217 32.057778 39.360296 37.977505 35.608887 34.238540 24.045242 22.711005 42.588867 41.161619 52.088821 50.618431 26.328811 24.898192 27.904197 26.436564 
11.000000 31.151131 29.651434 15.824387 14.333947 16.865977 15.431942 25.160549 23.722711 20.273698 18.733478 23.362835 21.956288 22.960009 21.537745 28.780709 27.317977 36.003837 34.572615 34.346370 32.961465 19.500847 18.111614 42.387275 40.958178 50.959218 49.477981 26.080644 24.645124 27.261005 25.778324 
12.000000 30.140564 28.623910 13.529897 11.995491 17.498595 16.072159 24.478352 23.031904 21.300461 19.776744 22.652830 21.236662 23.447551 22.031264 27.848106 26.369888 35.719688 34.281676 34.032974 32.640947 19.626871 18.225451 42.505184 41.084287 50.740024 49.245240 26.114878 24.683248 26.311941 24.820268 
13.000000 30.106983 28.591314 13.183244 11.636828 18.391035 16.979502 24.652599 23.207674 22.068531 20.556530 21.045997 19.610589 23.482854 22.069427 27.822660 26.346684 36.185248 34.756008 31.426215 29.996098 19.980326 18.585000 42.861616 41.440531 49.267258 47.756461 24.840775 23.393985 26.824471 25.346777 
14.000000 29.615958 28.090883 12.812647 11.258159 17.355863 15.928057 22.959852 21.504928 22.532746 21.027539 21.159717 19.717772 24.866680 23.469748 28.595581 27.136183 31.114007 29.592986 32.422732 31.008353 20.517672 19.128927 42.079887 40.646932 48.460351 46.947057 25.653139 24.222898 26.373666 24.891226 
15.000000 28.990223 27.458566 13.060958 11.518424 17.506892 16.082968 19.684717 18.171384 21.997312 20.483443 21.272142 19.828176 25.190074 23.797034 27.680431 26.205495 31.954802 30.445575 30.664278 29.242884 20.288191 18.898820 41.045900 39.595943 49.847947 48.349972 26.488049 25.073531 27.055075 25.585782 
16.000000 28.932414 27.390495 12.487224 10.929956 17.226133 15.795588 20.260344 18.761866 21.427296 19.897001 21.458991 20.018597 24.682559 23.284039 26.782125 25.318933 32.578477 31.078184 31.479264 30.067040 19.625067 18.224347 41.166583 39.725578 49.821108 48.325364 26.451392 25.037533 26.671946 25.200456 
17.000000 29.056048 27.522688 12.731101 11.176271 17.821636 16.401170 20.868997 19.377626 21.042709 19.500360 21.487005 20.049548 24.913641 23.517149 27.556190 26.109503 31.901889 30.384684 31.982585 30.576694 20.696937 19.310123 41.158237 39.718533 49.710157 48.214400 24.498209 23.073988 27.765206 26.309849 
