# date r[0] j[0] r[1] j[1] r[2] j[2] r[3] j[3] r[4] j[4] r[5] j[5] r[6] j[6] r[7] j[7] r[8] j[8] r[9] j[9] r[10] j[10] r[11] j[11] r[12] j[12] r[13] j[13] r[14] j[14] 
0.000000 35.428391 34.007779 18.114849 16.667553 10.430499 8.874649 20.267984 18.726769 24.950458 23.496102 24.100366 22.688156 26.506418 25.139475 27.460362 25.975463 36.133274 34.711590 34.941806 33.569932 14.649081 13.187436 41.031000 39.589816 52.490993 51.054412 23.457819 21.983330 27.794625 26.337530 
1.000000 36.331508 34.924576 18.895386 17.461220 9.967737 8.404203 19.999058 18.454756 25.435934 23.990329 23.828100 22.410484 27.568434 26.216638 26.426267 24.924336 37.156582 35.744370 34.706022 33.327972 15.490265 14.045540 41.779802 40.342676 53.241285 51.814831 24.446701 22.987168 27.249070 25.788710 
2.000000 37.405686 36.013956 18.745297 17.309235 9.368886 7.788423 19.634287 18.080697 25.093094 23.637393 23.893291 22.476288 27.071546 25.715006 27.489550 26.004402 38.434653 37.037560 35.351377 33.985706 15.992723 14.552397 41.760370 40.320987 52.642648 51.202133 25.078202 23.632337 26.497066 25.020082 
3.000000 38.491101 37.111955 17.761143 16.312980 8.783074 7.187907 19.386968 17.827165 24.863678 23.408658 24.223980 22.812609 26.488787 25.121797 26.842456 25.348957 39.787735 38.403603 35.629529 34.269487 16.335040 14.897068 42.388371 40.965289 52.168513 50.727985 24.213294 22.756479 27.273782 25.808661 
4.000000 39.225394 37.852275 18.644967 17.210782 9.033802 7.452776 18.992316 17.418148 25.320395 23.868625 23.188365 21.760048 26.007463 24.632187 26.412297 24.913428 38.709274 37.312439 36.102826 34.749928 16.183897 14.741964 42.454448 41.031983 53.173281 51.743867 24.994763 23.554236 27.400285 25.935235 
5.000000 39.469586 38.096840 19.444691 18.025341 8.405426 6.808382 18.857805 17.285431 24.973236 23.513668 22.262130 20.817037 27.249154 25.889658 26.278607 24.771815 38.624167 37.227709 36.284381 34.935376 15.830478 14.380879 42.871466 41.461125 53.791665 52.367770 24.275031 22.823478 28.423695 26.972667 
6.000000 39.844918 38.477845 20.305465 18.896671 9.017868 7.436803 18.878805 17.304537 25.153939 23.692443 21.347058 19.889826 27.409623 26.050263 27.093101 25.602550 37.491914 36.085627 35.681529 34.326930 16.827039 15.392770 43.211192 41.800306 54.271718 52.862808 24.476771 23.024884 28.711922 27.259945 
7.000000 39.535458 38.160176 21.072150 19.676996 8.931089 7.343416 18.877778 17.310653 26.445749 24.999648 21.150186 19.688328 26.132078 24.756045 27.544847 26.060844 36.785513 35.371878 35.957843 34.608803 16.819211 15.381855 44.646139 43.251807 55.850644 54.457212 25.078814 23.633489 29.552702 28.111737 
8.000000 39.344838 37.962701 22.125397 20.742576 9.375472 7.797842 18.899162 17.323603 27.191209 25.756758 21.778261 20.328068 26.220991 24.846716 27.733595 26.247518 37.688355 36.284748 34.988512 33.629060 17.870778 16.449296 44.375486 42.971882 56.493151 55.099608 26.233652 24.801295 30.415543 28.985985 
9.000000 40.892794 39.525192 21.263827 19.869735 8.889627 7.301408 18.438865 16.858402 28.086512 26.663446 22.729009 21.290756 25.189293 23.804428 28.819553 27.346874 39.227536 37.838945 34.029615 32.654162 18.623271 17.209070 45.116350 43.719944 57.362857 55.974890 25.433420 23.991403 29.646958 28.201399 
10.000000 41.014039 39.644766 20.417181 19.012138 9.249712 7.678683 18.226701 16.648128 26.968178 25.531386 22.181734 20.738918 24.726163 23.337269 27.948973 26.460844 39.796676 38.416475 34.445412 33.072363 17.540205 16.110643 46.175889 44.794550 56.613703 55.213491 25.779092 24.345455 29.621142 28.173586 
11.000000 39.751331 38.368290 19.398540 17.981873 9.709017 8.148678 18.118908 16.540855 27.450596 26.018628 21.511720 20.054921 24.260653 22.868526 27.441073 25.949316 39.016860 37.623547 35.462230 34.098222 18.301257 16.879144 47.429803 46.062687 57.502633 56.117805 26.088466 24.658599 28.676524 27.216822 
12.000000 40.776666 39.408606 19.173518 17.754048 9.542594 7.976595 17.492521 15.897526 28.195780 26.769996 22.089533 20.641314 24.162987 22.769713 28.714647 27.239401 37.790946 36.383078 36.241327 34.889126 18.718080 17.294119 47.104103 45.730194 57.428767 56.048625 26.821218 25.403107 26.342973 24.869721 
13.000000 39.570078 38.189121 19.526417 18.114949 9.427270 7.854922 17.244509 15.646043 27.519093 26.083691 22.546944 21.104701 23.008852 21.600080 29.653905 28.190383 37.543795 36.128807 37.291963 35.948773 17.460277 16.020445 46.922481 45.543176 57.229708 55.853460 26.681058 25.262081 25.264604 23.775600 
14.000000 40.437594 39.067397 18.522891 17.099735 9.777645 8.209496 17.135933 15.528069 27.464520 26.033068 23.413688 21.974302 23.053409 21.646880 30.216214 28.759488 38.260142 36.852113 38.274718 36.942060 17.766981 16.333240 47.292008 45.912516 55.479244 54.088409 25.458857 24.026179 24.628240 23.122131 
15.000000 39.719593 38.341309 19.010635 17.592722 9.466527 7.886423 17.133997 15.516151 27.717032 26.287359 24.027621 22.598925 22.508986 21.091299 30.233633 28.771483 37.797986 36.379344 39.604609 38.287705 18.257451 16.830289 46.421123 45.029754 54.155364 52.748052 25.157516 23.715952 25.335976 23.844983 
16.000000 38.874221 37.489345 19.652581 18.246638 9.473367 7.897139 16.961376 15.334247 28.628997 27.214635 24.124377 22.697576 22.660261 21.243832 27.615061 26.136476 38.917770 37.510935 38.781541 37.457995 17.278360 15.838249 46.647038 45.258883 53.669208 52.246776 24.721078 23.270768 25.991802 24.513953 
17.000000 40.300118 38.931811 19.563161 18.157990 9.707408 8.143887 16.642571 15.004768 28.828958 27.418169 23.647915 22.215638 22.618061 21.204587 28.290544 26.819330 38.991999 37.591868 39.654903 38.339369 18.330541 16.903989 45.090756 43.686333 53.683830 52.263631 23.496940 22.033944 25.176364 23.684819 
