# date r[0] j[0] r[1] j[1] r[2] j[2] r[3] j[3] r[4] j[4] r[5] j[5] r[6] j[6] r[7] j[7] r[8] j[8] r[9] j[9] r[10] j[10] r[11] j[11] r[12] j[12] r[13] j[13] r[14] j[14] 
0.000000 16.928549 15.507937 14.764356 13.317060 13.803812 12.247962 15.033498 13.492283 15.618807 14.164451 15.512546 14.100336 15.813302 14.446359 15.932545 14.447646 17.016659 15.594975 16.867726 15.495852 14.331135 12.869490 17.628875 16.187691 19.061374 17.624794 15.432227 13.957738 15.974328 14.517233 
1.000000 16.152750 14.745817 15.404824 13.944784 13.954947 12.396011 15.102080 13.559376 15.191325 13.745719 16.166037 14.743550 16.842855 15.458859 15.865619 14.382031 16.584295 15.172084 17.911914 16.522741 14.156875 12.699286 18.581797 17.124441 18.544100 17.117645 16.342112 14.850389 16.652474 15.181323 
2.000000 17.069556 15.645666 15.209237 13.754337 14.542936 12.971915 15.098640 13.555291 15.494380 14.044036 16.973576 15.536198 16.646552 15.268190 16.298777 14.806216 16.376052 14.968240 17.172035 15.798149 13.941139 12.489173 19.607013 18.132645 17.765934 16.352063 16.287549 14.795813 16.542105 15.074426 
3.000000 16.726397 15.308531 15.965999 14.498788 15.378082 13.792697 16.037671 14.478733 15.382181 13.935086 16.333351 14.906902 16.987093 15.603354 15.540698 14.060325 17.028314 15.607804 16.708516 15.342773 13.878858 12.427509 19.999059 18.517883 17.074938 15.672184 15.957451 14.471839 16.244457 14.782295 
4.000000 23.723831 22.170932 15.705569 14.244026 14.927425 13.352329 16.234689 14.673857 11.535860 10.170005 16.387126 14.958747 16.484470 15.110070 14.774358 13.310230 17.346913 15.918734 26.798333 25.241390 15.306797 13.840730 20.348209 18.859730 18.348965 16.933022 15.281770 13.808639 16.367177 14.904065 
5.000000 24.711015 23.141551 15.980675 14.512515 14.104213 12.543578 15.631222 14.082701 11.209778 9.849441 17.312376 15.867337 16.644230 15.268267 14.125993 12.673530 17.141287 15.718662 26.504859 24.955175 14.729294 13.273249 20.605317 19.114006 17.858240 16.452173 14.795597 13.333477 15.591224 14.144058 
6.000000 23.738593 22.186111 15.196523 13.742885 11.914540 10.389086 15.054588 13.516552 10.403946 9.058320 14.806037 13.414369 17.312893 15.926340 14.549848 13.087997 17.754900 16.323006 25.559584 24.025267 14.382054 12.933287 20.157178 18.679740 17.314557 15.919901 16.994857 15.487044 15.286697 13.843803 
7.000000 24.246302 22.682915 16.027879 14.559054 12.582603 11.043404 9.338310 7.913618 10.590953 9.240761 14.669921 13.279057 17.143894 15.762169 15.278430 13.802705 17.678741 16.246551 24.807395 23.287991 13.651486 12.217338 19.784976 18.314983 16.894709 15.508437 17.460579 15.946008 14.705716 13.269244 
8.000000 24.679077 23.109528 16.459207 14.984088 13.448767 11.892618 10.210288 8.770382 10.898224 9.544398 14.628222 13.239154 17.311323 15.928451 14.388490 12.924332 17.916618 16.478396 24.220094 22.712424 13.797808 12.361812 19.145511 17.686558 16.611813 15.230227 18.358001 16.828389 15.414351 13.965201 
9.000000 24.969354 23.393488 16.475554 15.001420 14.176684 12.608866 10.116184 8.677802 10.822831 9.468680 13.893403 12.516069 16.813266 15.438453 14.810329 13.338615 17.357249 15.928030 23.744622 22.245117 13.453311 12.024273 19.572360 18.106217 16.603562 15.221110 19.134764 17.589145 16.244666 14.781819 
