# date r[0] j[0] r[1] j[1] r[2] j[2] r[3] j[3] r[4] j[4] r[5] j[5] r[6] j[6] r[7] j[7] r[8] j[8] r[9] j[9] r[10] j[10] r[11] j[11] r[12] j[12] r[13] j[13] r[14] j[14] 
119.000000 18.084791 16.680128 18.491442 17.016989 9.600041 8.139097 15.977787 14.483563 15.961595 14.506626 14.267517 12.913910 24.233977 22.730281 12.509867 11.101184 20.126881 18.685476 26.741137 25.218118 15.808283 14.338148 24.244280 22.701716 20.526867 19.083456 18.304721 16.842305 13.600520 12.228242 
415.000000 23.699811 22.310559 24.277654 22.743418 16.298673 14.810880 16.113873 14.626670 20.689800 19.171030 22.975252 21.473912 23.653241 22.153889 9.852117 8.489910 23.441899 21.911226 27.761530 26.271765 13.777032 12.370577 24.994170 23.473792 21.348132 19.946490 23.140196 21.670667 19.459485 18.089803 
469.000000 27.312210 25.863642 20.772929 19.310171 13.892340 12.492530 15.424608 13.953707 23.746402 22.199300 16.685488 15.299437 19.052910 17.676441 14.625107 13.155095 26.833396 25.265601 30.172501 28.671158 17.575760 16.065718 22.772260 21.308029 22.698784 21.306063 26.789357 25.260288 23.905333 22.418905 
532.000000 24.016127 22.618809 24.296663 22.785940 20.464121 18.944328 19.267642 17.736167 18.667160 17.243451 23.668630 22.134083 25.534831 24.051021 10.449434 9.093838 19.501262 18.050573 25.451692 24.048182 19.601869 18.089844 25.398758 23.921192 30.373052 28.871029 30.017167 28.496507 25.838056 24.320763 
766.000000 27.621515 26.118801 32.139384 30.782868 15.552350 14.175067 15.859191 14.384614 21.209359 19.763223 23.622304 22.214792 24.719914 23.292970 13.236579 11.852957 18.084790 16.696032 33.070693 31.866486 12.175211 10.793739 30.465402 28.967781 25.521277 24.157812 31.528648 30.076345 22.981852 21.513166 
795.000000 29.010640 27.491145 23.568975 22.195430 18.869297 17.425944 18.106782 16.594829 21.856180 20.401501 28.258595 26.782387 22.956491 21.571876 22.045022 20.497503 22.704308 21.233623 32.978486 31.785735 11.859629 10.494266 29.721413 28.248840 32.739292 31.399335 31.043061 29.588342 24.943883 23.432161 
802.000000 25.800096 24.336476 24.794775 23.398496 20.301347 18.841624 15.736836 14.265177 24.594720 23.095657 26.900066 25.447037 23.657281 22.261705 21.756810 20.213333 22.232223 20.780974 29.752605 28.325621 11.435673 10.079190 28.608199 27.158387 32.119800 30.745937 33.546042 32.609203 23.194516 21.721110 
822.000000 22.305079 20.922100 24.891590 23.491202 22.474731 20.972053 18.048169 16.530893 17.467441 16.117571 25.310208 23.883387 26.000331 24.573059 15.597465 14.180576 21.172455 19.752006 32.966479 31.784805 14.692868 13.277165 33.191557 31.829392 30.673403 29.303007 28.011875 26.566075 18.820544 17.415361 
829.000000 20.868575 19.502743 32.184434 30.834285 19.946171 18.489187 16.105067 14.621022 22.078949 20.634817 30.907456 29.426732 27.602562 26.156253 12.460000 11.103481 28.891951 27.338892 27.192222 25.807021 18.742555 17.251755 31.453541 29.985492 29.880476 28.513954 26.522313 25.110741 19.339142 17.927208 
1153.000000 33.104366 31.832737 30.069870 28.621462 24.712805 23.223092 17.033134 15.590164 21.319025 19.930647 27.992442 26.534675 29.415197 27.987295 18.854907 17.400950 30.589890 29.063144 30.396551 29.056198 29.052554 27.522783 33.064568 31.733579 34.796909 35.079704 32.025504 30.733528 24.546223 23.075565 
