# date r[0] j[0] r[1] j[1] r[2] j[2] r[3] j[3] r[4] j[4] r[5] j[5] r[6] j[6] r[7] j[7] r[8] j[8] r[9] j[9] r[10] j[10] r[11] j[11] r[12] j[12] r[13] j[13] r[14] j[14] 
119.000000 48.771416 47.432542 20.735522 19.299178 10.535109 9.030491 31.399033 30.028756 26.672352 25.199178 16.874977 15.339950 16.770519 15.200857 23.603093 22.134433 25.845510 24.293023 28.304258 26.768855 13.262394 11.749478 38.486532 36.976048 53.396658 52.028668 32.590038 31.209827 31.954163 30.527471 
415.000000 33.457289 31.884238 19.056375 17.593329 1.910000 0.419107 32.685303 31.291535 29.346689 27.814470 28.825590 27.455989 33.516133 32.158571 32.626387 31.167239 40.252768 38.771585 20.530478 19.024732 22.746226 21.318554 36.484478 35.071548 48.039291 46.635085 31.715131 30.356663 32.923041 31.429064 
469.000000 35.365764 33.858738 20.158757 18.657054 10.477417 9.087505 23.646461 22.117568 33.390280 31.859920 19.607480 18.138564 28.711652 27.321588 41.107648 39.671279 38.706690 37.234593 21.811742 20.264779 15.528431 13.959094 34.998464 33.522509 42.585615 41.061144 28.992636 27.590084 29.627786 28.126121 
532.000000 34.476567 32.982335 30.012283 28.670473 7.581775 6.162285 32.761414 31.383240 41.552668 40.210516 25.961428 24.574492 36.020824 34.760048 43.909950 42.520259 42.508490 41.065855 18.636053 17.078060 18.922085 17.449490 36.248348 34.746342 55.914093 54.547826 26.506730 25.036214 22.451407 20.922141 
766.000000 40.497762 39.140279 34.935836 33.560252 17.346747 16.051200 32.390012 30.939184 31.100836 29.638612 15.781755 14.228772 18.084787 16.627884 45.950366 44.425634 34.072190 32.525622 26.634543 25.198969 21.565860 20.076121 24.827372 23.244815 61.475484 60.078280 26.186397 24.751015 17.213863 15.669030 
795.000000 38.584284 37.151240 34.658525 33.270650 15.421928 14.101622 36.726644 35.309615 38.015151 36.634198 14.515457 12.978954 15.939937 14.448800 47.956651 46.444343 47.507469 46.083767 35.387233 34.060815 17.628042 16.024851 37.995665 36.629032 61.808148 60.382351 26.176148 24.759377 23.988970 22.576906 
802.000000 38.465382 37.028051 34.933849 33.554990 15.812312 14.498663 33.690791 32.244713 36.426618 35.037019 13.867282 12.308663 13.355656 11.815171 51.102878 49.616816 44.590737 43.133672 20.827285 19.271304 17.568468 15.967800 37.560659 36.194548 56.991261 55.514633 26.905693 25.505029 24.346880 22.924561 
822.000000 35.106822 33.628377 34.168746 32.763761 2.106628 0.588601 33.390983 31.924557 27.300925 25.796308 14.715351 13.206245 14.428347 12.935005 48.054250 46.489121 48.179872 46.713050 21.851317 20.287732 24.286586 22.817889 32.006012 30.589332 57.929257 56.438546 29.666223 28.275373 25.565341 24.160624 
829.000000 35.885988 34.440976 31.141865 29.692869 0.698400 -0.839051 32.810065 31.340384 26.765354 25.249794 14.989957 13.491085 13.573204 12.073087 48.771092 47.211151 45.825008 44.371506 23.091526 21.577810 24.920420 23.468121 35.079047 33.691551 55.750995 54.206812 29.651984 28.256721 24.061941 22.650273 
1153.000000 35.760397 34.284696 32.601445 31.215642 11.078429 9.698814 30.981183 29.558127 36.046548 34.646771 10.426786 8.845187 14.111631 12.663447 53.329273 51.832959 87.854539 86.409353 29.774343 28.347402 28.977494 27.461779 32.738203 31.224050 54.068929 52.662184 30.730056 29.272663 23.737551 22.292510 
1154.000000 35.424739 33.945753 31.854780 30.460887 10.923773 9.541209 31.476665 30.060695 36.036415 34.641130 10.497022 8.911215 13.392494 11.931849 53.896770 52.413501 86.849320 85.415937 28.922169 27.479917 28.018313 26.486980 32.647518 31.134009 53.695027 52.287211 31.624742 30.177262 23.510383 22.060376 
1179.000000 32.792244 31.307299 28.455691 27.000224 7.169228 5.754205 26.147347 24.664883 31.390082 29.890489 13.405276 11.878808 18.608984 17.213709 62.055568 60.655875 98.288070 96.753399 28.868747 27.420006 28.612122 27.153586 41.514063 40.151633 50.520613 49.036058 28.896537 27.416401 21.220486 19.777513 
1207.000000 39.281256 37.916511 30.389155 28.932145 -0.953199 -2.515622 22.307234 20.754453 26.800009 25.222840 12.826328 11.242571 11.315927 9.808267 59.842186 58.357167 103.041319 101.628967 22.477363 20.938187 26.429468 24.900024 42.862966 41.484494 49.619708 48.124282 30.209710 28.657080 21.657422 20.173509 
1866.000000 27.124240 25.766496 31.309305 29.935327 10.210122 8.829970 15.604597 13.970638 37.896515 36.430437 29.529308 28.198525 11.550950 10.120534 41.927067 40.469082 95.090562 93.678137 22.756045 21.196623 59.725759 58.187531 26.059815 24.620854 46.789133 45.461243 19.833904 18.434882 22.443169 20.851283 
1871.000000 28.923819 27.582861 34.355971 33.012233 10.321461 8.939828 16.337279 14.732712 36.425224 34.928038 28.138923 26.788615 9.958710 8.505460 41.568576 40.121027 94.238497 92.797798 22.092137 20.515341 59.704818 58.187704 23.442452 21.969295 48.227816 46.904231 19.065043 17.651903 22.315689 20.701894 
1878.000000 26.667365 25.298606 33.863945 32.505906 9.919838 8.531600 16.707249 15.107338 36.109666 34.609917 23.686661 22.255089 9.062821 7.593066 46.802325 45.429398 91.507900 90.058322 27.715810 26.259579 58.262736 56.727246 21.862045 20.352155 49.162025 47.840112 18.572405 17.148808 27.280668 25.800714 
1882.000000 24.634089 23.243785 35.122338 33.780115 9.141580 7.744096 16.781802 15.172914 41.688531 40.282215 25.459921 24.056008 9.593979 8.134659 45.391945 44.012671 89.225828 87.694592 27.120563 25.655061 57.669665 56.110032 20.435488 18.901243 47.373458 46.043022 16.509390 15.055701 28.006374 26.532958 
1884.000000 23.530618 22.128303 34.052366 32.714905 10.258892 8.873628 16.744684 15.136301 41.932058 40.524610 25.701858 24.301481 8.994439 7.519447 47.460998 46.108633 89.461938 87.924950 26.406960 24.939925 56.079310 54.493743 19.061562 17.500889 46.788956 45.452993 17.224940 15.782772 27.740149 26.262270 
1887.000000 24.637925 23.246187 33.530959 32.183047 4.852597 3.386198 15.599894 13.969257 39.721582 38.288650 26.203446 24.813621 9.593366 8.127714 49.193729 47.862554 92.331423 90.804914 25.285858 23.796895 61.283364 59.802163 20.471948 18.937192 45.530259 44.181965 16.964278 15.510090 26.876154 25.379729 
1890.000000 24.075619 22.681325 35.653659 34.324982 3.544461 2.050921 24.135108 22.693215 40.193856 38.762804 24.242272 22.822287 10.477382 9.028335 48.196443 46.851813 88.973690 87.467569 26.498331 25.028028 59.732399 58.257999 20.322633 18.776466 38.791394 37.349913 17.509688 16.063191 25.380758 23.855533 
1901.000000 24.301634 22.907597 35.072912 33.738919 1.016326 -0.519337 24.531312 23.083617 39.113779 37.674374 24.041617 22.625993 12.349307 10.934120 48.849201 47.505815 85.785704 84.338485 32.698654 31.318918 67.214604 65.771200 20.884345 19.351467 36.847207 35.415378 13.470515 11.985735 26.818363 25.284348 
1907.000000 16.762536 15.227049 24.027338 22.541157 -0.379995 -1.944435 25.295683 23.863142 38.837239 37.399903 27.411466 26.027967 13.912028 12.526428 48.678083 47.346158 92.213558 90.855272 33.828416 32.478443 68.390767 66.965684 22.309271 20.802672 33.354038 31.852370 15.580553 14.133677 26.242547 24.682791 
1908.000000 16.802852 15.272741 23.386283 21.887159 0.144716 -1.408047 25.543190 24.118385 38.452210 37.006945 26.645505 25.252927 13.957840 12.572375 44.365813 42.979467 91.208618 89.841257 35.182638 33.848744 69.153202 67.733669 21.779647 20.257711 32.888850 31.371990 14.933703 13.472961 26.447725 24.893461 
1909.000000 16.807384 15.273578 23.578283 22.080411 0.369492 -1.166229 25.086113 23.658876 37.424050 35.962818 27.316957 25.936223 13.578307 12.187236 43.537766 42.140902 92.368929 91.001833 36.350239 35.032234 65.113456 63.681251 24.242535 22.771270 33.207975 31.699751 14.791429 13.331794 35.113415 33.714048 
1912.000000 16.834841 15.306795 25.503677 24.042099 1.892562 0.390509 26.656052 25.250549 43.674503 42.294309 26.872008 25.488967 12.524848 11.123835 43.771375 42.372871 91.896118 90.530350 35.131855 33.805858 64.270873 62.833172 23.436277 21.945275 34.039613 32.548523 16.105408 14.669857 37.947626 36.577444 
1913.000000 17.412795 15.895848 26.545787 25.100702 1.845547 0.342438 27.649042 26.257271 44.101097 42.722213 26.376544 24.989904 12.183815 10.778366 44.892348 43.502222 85.722222 84.361510 35.490446 34.166236 69.290567 67.915704 23.542104 22.053251 35.074645 33.597451 15.820981 14.378357 38.122844 36.751912 
1914.000000 17.490499 15.969805 27.619578 26.186746 0.038727 -1.503516 29.119747 27.745117 44.431145 43.059750 27.681650 26.308332 11.963424 10.554553 44.893756 43.508416 86.665834 85.311674 36.711846 35.400748 70.047039 68.683917 24.792534 23.320412 34.073171 32.579378 15.297984 13.849644 39.737253 38.366198 
1915.000000 17.517331 15.991831 28.593306 27.176935 0.387933 -1.149912 29.862225 28.500124 43.533040 42.153200 26.814325 25.428211 11.327833 9.910378 45.078930 43.701735 87.310232 85.969557 36.250667 34.936880 69.552656 68.178799 24.086473 22.606147 34.416829 32.935707 15.492695 14.032357 39.477056 38.100657 
1918.000000 18.471457 16.963087 31.628794 30.239409 -0.166041 -1.720745 30.803808 29.454900 44.261105 42.906008 26.616572 25.224794 5.955180 4.437040 45.659184 44.297291 85.451388 84.099875 35.229088 33.905806 68.448602 67.079372 23.983244 22.501112 33.107005 31.610777 11.675467 10.146968 38.206313 36.811214 
1920.000000 20.375617 18.887740 32.456266 31.081562 -0.582749 -2.145213 31.292704 29.950357 43.815303 42.454416 26.858488 25.470782 6.366835 4.854794 45.426899 44.070080 86.457785 85.110430 32.850916 31.508386 69.198817 67.826727 24.826577 23.361702 34.053997 32.565873 12.916121 11.412024 38.095070 36.690318 
1923.000000 20.299420 18.811155 33.667752 32.306627 -0.949258 -2.503161 30.416582 29.060478 44.674219 43.319278 27.921483 26.542330 6.357555 4.847829 47.307481 45.959403 88.556655 87.195128 34.842416 33.520843 68.999420 67.618393 22.758004 21.260998 32.548255 31.041064 14.204584 12.729793 36.466996 35.051436 
1925.000000 19.955843 18.459845 33.376009 32.010735 -1.648883 -3.217802 31.853564 30.511386 42.917545 41.547670 27.171025 25.780000 5.592165 4.071902 49.030990 47.705530 88.240278 86.886007 32.744804 31.403299 69.279587 67.884316 22.404160 20.903128 32.972797 31.460292 15.380902 13.921641 34.916065 33.470083 
1931.000000 24.848090 23.427601 36.571934 35.247228 -1.570569 -3.144835 23.202834 21.732026 42.265341 40.877371 26.857070 25.458492 7.174092 5.664868 51.587316 50.294691 89.704565 88.370403 30.691836 29.329730 66.244403 64.868235 22.023452 20.533708 32.311358 30.777786 13.528556 12.040523 33.452324 32.015264 
1940.000000 23.957295 22.509780 24.366934 22.871611 -1.200719 -2.754794 24.970199 23.503018 38.432482 36.998334 29.555726 28.171809 7.358745 5.857370 37.094091 35.631527 87.732545 86.355289 21.319525 19.798383 65.922562 64.547443 24.854170 23.406964 34.101666 32.584644 13.557521 12.064346 33.183772 31.737221 
1941.000000 24.232971 22.787509 24.678821 23.191862 -1.756754 -3.322255 25.014150 23.550155 39.768360 38.349828 29.439627 28.052281 6.849520 5.339303 38.024509 36.544990 95.079834 93.690748 21.204861 19.674747 65.462979 64.085502 24.693827 23.240262 34.167797 32.658702 14.174781 12.690753 32.688106 31.232576 
1944.000000 24.478416 23.037443 25.635339 24.160375 -1.838240 -3.403172 25.284986 23.817915 41.989930 40.611169 28.163245 26.758313 6.455578 4.941985 38.315318 36.837278 92.926262 91.515425 22.046947 20.532615 61.195536 59.751660 24.852351 23.400682 35.446971 33.934411 14.652045 13.169011 32.062732 30.603807 
1949.000000 22.833957 21.375950 24.721124 23.236388 0.864962 -0.635107 23.610586 22.128828 40.712218 39.335016 32.792787 31.454795 7.476881 5.982348 36.545525 35.037535 92.000369 90.596833 22.162586 20.659454 64.198309 62.773173 27.461063 26.052239 37.458892 35.971799 14.216540 12.716373 33.112120 31.671348 
2219.000000 28.252664 26.624950 31.589272 30.230752 7.179483 5.801731 23.392089 21.926069 47.224423 45.751525 16.927170 15.447902 14.450971 13.087590 49.844595 48.292509 56.825500 55.452359 37.296479 35.875667 60.461326 59.075092 26.269715 24.900381 38.302241 36.788435 16.403083 14.833851 42.453687 41.141481 
2238.000000 40.140616 38.766246 31.020566 29.636128 9.166247 7.819902 23.879603 22.398829 44.088013 42.562603 18.845344 17.406713 12.329998 10.929911 56.231284 54.737321 55.752749 54.401700 33.959250 32.520803 55.127724 53.684389 18.259070 16.786969 34.420250 32.858143 20.029967 18.514035 40.304732 38.969335 
2240.000000 41.319089 39.957331 29.265924 27.865671 10.603898 9.274474 22.295089 20.796026 45.129123 43.628390 19.306739 17.875642 13.247110 11.856835 57.323107 55.842546 56.888270 55.537305 33.629018 32.181985 54.830550 53.371641 18.410192 16.947725 33.974013 32.406921 21.279588 19.782512 38.216650 36.855143 
2252.000000 40.086991 38.702992 34.333363 32.984989 -0.272744 -1.756381 21.836814 20.371013 44.214407 42.693724 15.244733 13.766395 12.408906 11.020611 52.682676 51.109909 51.861298 50.465628 34.564074 33.163760 54.713289 53.281323 21.570979 20.139542 33.319256 31.730256 21.051511 19.565384 32.693466 31.274920 
2253.000000 39.749740 38.361141 33.508128 32.149740 -0.116134 -1.598907 20.961515 19.481665 43.544912 42.010355 15.103616 13.625002 11.802134 10.407480 52.297037 50.722861 50.891740 49.483249 34.523083 33.117357 48.382221 46.830229 20.341993 18.895209 33.018213 31.431748 20.454397 18.958330 34.277204 32.875771 
2254.000000 39.263330 37.865620 28.408176 26.977971 0.222933 -1.253122 21.115609 19.637011 42.602238 41.056562 15.241203 13.768063 11.405226 10.006323 52.031375 50.457505 50.082692 48.657295 34.325392 32.914775 48.012558 46.466580 19.084794 17.622232 33.087011 31.504113 20.481529 18.988523 35.411958 34.024767 
2256.000000 30.562333 29.005642 28.980836 27.554578 0.294446 -1.176730 20.887909 19.400207 42.114115 40.553906 16.924941 15.480928 10.512056 9.105671 52.764038 51.188625 53.633446 52.217314 32.860011 31.431365 48.945097 47.400103 18.457038 16.987372 33.677772 32.107100 21.032388 19.544589 33.764633 32.360607 
2264.000000 29.589230 28.034513 30.149222 28.731981 1.612518 0.155191 20.512795 19.004729 42.774344 41.224235 16.473616 15.008526 1.213140 -0.369751 57.120012 55.597938 54.251609 52.836957 35.370166 33.977935 49.195335 47.649067 20.141737 18.697674 33.169411 31.627387 19.167670 17.643019 34.187087 32.784785 
2268.000000 29.900424 28.337101 29.194999 27.771007 3.124709 1.691232 20.719366 19.228809 43.035377 41.501011 15.492721 14.008222 0.401759 -1.195831 64.611598 63.119342 56.831944 55.399299 36.268304 34.881984 49.277287 47.733432 19.458867 18.007354 36.320036 34.812630 27.955491 26.546487 34.035388 32.639302 
2272.000000 28.821286 27.252660 30.386932 28.986226 1.456296 0.001824 20.057140 18.561791 42.277951 40.725585 13.466963 11.938765 -0.719910 -2.324839 66.194820 64.705953 54.694027 53.216707 33.280826 31.851430 49.303943 47.758254 19.350040 17.891213 38.570730 37.090430 28.049255 26.648140 33.583813 32.174956 
2274.000000 28.853447 27.278975 31.676882 30.290719 -0.487689 -1.975008 21.275156 19.796860 42.640257 41.109006 13.267366 11.736815 0.008621 -1.571230 65.598062 64.103378 54.143499 52.648708 34.050435 32.627698 49.618548 48.067903 18.849263 17.387745 39.301548 37.817748 28.083400 26.683009 33.063563 31.651138 
2279.000000 29.288071 27.722367 32.285748 30.905391 -0.223101 -1.718218 20.397290 18.903570 42.250805 40.719843 13.918339 12.418730 0.075964 -1.491200 67.153087 65.646845 53.826482 52.300701 36.762999 35.380143 51.277028 49.764578 19.685567 18.236132 39.076960 37.586150 29.195153 27.798932 33.583927 32.177261 
2281.000000 28.570169 26.997835 34.805227 33.456077 0.465057 -1.021700 29.533686 28.168603 42.679732 41.157324 14.925596 13.444686 0.476848 -1.065292 66.304849 64.783982 55.106477 53.604586 38.052232 36.684770 51.455857 49.949018 19.087488 17.640898 37.094413 35.583064 28.725211 27.320202 33.772044 32.360852 
2284.000000 31.513577 29.965737 36.222434 34.884848 2.053924 0.594882 27.658034 26.275786 41.723097 40.171022 15.076116 13.597338 -0.091313 -1.654545 67.596526 66.095930 53.834876 52.330656 38.254172 36.884195 50.927828 49.392790 20.096864 18.664612 35.571800 34.044975 30.631428 29.236699 35.689716 34.304775 
2285.000000 30.842597 29.288422 35.584128 34.235635 -1.845778 -3.375144 27.565361 26.178583 41.149495 39.596283 15.201283 13.721105 -0.817381 -2.397210 67.834380 66.321543 54.784345 53.292222 38.099630 36.731227 50.607545 49.064144 22.026123 20.620614 33.773761 32.232923 31.291827 29.904967 36.228753 34.857296 
2291.000000 28.894798 27.300073 28.996173 27.549285 -2.006339 -3.528501 24.418334 22.989428 43.248180 41.719157 13.945429 12.433220 -0.254949 -1.819246 69.027063 67.530024 60.080886 58.632808 34.680084 33.255880 58.590387 57.170679 24.618491 23.247632 32.736537 31.155162 28.124025 26.689346 31.000282 29.551126 
2293.000000 30.161672 28.590220 28.206902 26.751030 -2.718157 -4.252992 24.433050 23.010906 42.760038 41.231099 13.991933 12.477128 3.441361 1.962493 66.669563 65.130307 58.310815 56.831795 34.274796 32.840576 58.895605 57.483618 25.063625 23.711812 33.040474 31.477738 30.998198 29.603416 31.726083 30.287440 
2294.000000 40.891235 39.507938 27.743071 26.273993 -1.988901 -3.509685 24.494411 23.073116 42.503964 40.974492 15.604581 14.116833 3.920942 2.447352 66.049226 64.500181 58.085616 56.609355 33.779978 32.332361 59.863164 58.461188 23.777951 22.410886 32.886848 31.315716 29.957100 28.552271 31.396792 29.951277 
2297.000000 39.027994 37.624540 28.275295 26.804088 -3.013528 -4.556011 24.527482 23.099630 38.777434 37.213467 16.163930 14.682345 6.768445 5.338094 65.626306 64.061154 60.504880 59.008635 34.135157 32.697170 59.171628 57.774301 24.960381 23.613158 34.307929 32.787732 32.291176 30.905369 31.865863 30.419709 
2300.000000 39.232317 37.836913 28.069724 26.605606 -0.837883 -2.337627 24.343694 22.906923 38.435016 36.860915 16.847855 15.379898 8.573416 7.168871 64.894351 63.313482 60.773109 59.288859 35.043998 33.617017 58.217264 56.810524 25.478080 24.135802 36.252237 34.746811 32.015778 30.623292 33.028663 31.589864 
2303.000000 40.032779 38.645081 27.996038 26.525915 -0.467404 -1.959626 24.118014 22.690110 38.181189 36.633782 16.911703 15.434303 11.863053 10.497566 65.719001 64.160816 60.200241 58.704848 35.577960 34.156229 57.482156 56.070459 24.880892 23.530284 37.727638 36.258354 29.525113 28.096539 33.980023 32.559461 
2305.000000 42.659465 41.275103 26.559069 25.072504 -0.940862 -2.443409 22.562583 21.108065 38.231370 36.680064 19.125161 17.676534 12.804016 11.450909 64.193344 62.639825 60.454883 58.957127 36.208968 34.792294 56.296704 54.873383 25.954860 24.616770 37.991523 36.539106 29.417850 27.991655 32.537607 31.094680 
2306.000000 42.430225 41.047676 25.593348 24.090283 -1.474423 -2.984461 23.276000 21.832266 38.865860 37.331417 18.730101 17.271311 13.877989 12.537626 64.454642 62.899298 60.577350 59.087615 35.586869 34.155960 56.392434 54.970822 24.888828 23.540758 38.115456 36.666032 30.593782 29.181044 33.477476 32.044513 
2312.000000 42.061468 40.675068 27.671795 26.201615 5.611762 4.201388 25.057316 23.640257 47.034277 45.628352 17.365999 15.890113 12.438196 11.072885 61.949103 60.367457 65.105323 63.608271 35.950648 34.518923 59.027818 57.623777 20.499196 19.100719 37.419748 35.945031 29.963397 28.562391 33.068800 31.646555 
2601.000000 27.243574 25.793144 14.282898 12.738608 4.688378 3.287132 18.996284 17.550748 40.894667 39.469698 20.915734 19.494548 2.137470 0.624954 36.560591 34.965323 54.868765 53.370009 26.951697 25.416229 54.438463 52.965369 28.266766 26.926523 42.596255 41.246120 19.695738 18.206136 40.456974 38.900732 
2606.000000 28.293845 26.868496 24.999539 23.627217 2.901754 1.476215 18.877584 17.429559 33.426211 31.890942 22.042797 20.633600 3.331590 1.825247 36.635101 34.996793 56.883083 55.407427 27.552221 26.003623 52.362256 50.875287 26.138791 24.763695 41.933948 40.577771 28.665113 27.306165 37.555552 35.992566 
2620.000000 22.822872 21.304624 27.398695 26.052566 -1.998968 -3.490674 14.756681 13.248441 35.265048 33.747591 26.923044 25.563902 4.287085 2.787393 44.249319 42.813428 55.764230 54.269890 25.780548 24.216216 52.928705 51.399884 22.708934 21.282388 43.214792 41.875715 35.552903 34.261151 41.392470 39.896489 
2626.000000 23.449093 21.949150 28.152759 26.806586 0.255035 -1.193760 15.069779 13.566369 33.396191 31.849090 27.388006 26.038049 5.080992 3.591423 45.015060 43.594265 55.370109 53.812586 27.163075 25.607034 50.472955 48.915864 20.703194 19.249167 33.779538 32.308944 36.129745 34.846063 39.981571 38.465482 
