# date r[0] j[0] r[1] j[1] r[2] j[2] r[3] j[3] r[4] j[4] r[5] j[5] r[6] j[6] r[7] j[7] r[8] j[8] r[9] j[9] r[10] j[10] r[11] j[11] r[12] j[12] r[13] j[13] r[14] j[14] 
119.000000 23.594877 22.109462 19.583958 18.055327 3.380776 1.979767 10.658638 9.209818 20.255558 18.713979 11.453116 10.112645 29.684028 28.150480 14.355717 12.884390 20.744797 19.256809 20.067199 18.663917 13.916992 12.461778 21.038149 19.602972 28.304764 26.699214 21.874402 20.304158 12.446346 11.081814 
415.000000 18.706866 17.346970 15.065097 13.625980 4.288579 2.924885 16.749703 15.243553 17.982136 16.578741 14.791266 13.430427 29.153774 27.610214 22.155639 20.607105 23.652511 22.128689 24.594412 23.164934 21.490448 19.933791 29.724704 28.230526 21.207069 19.726636 24.907668 23.371215 17.601616 16.148259 
469.000000 28.973133 27.436552 13.246022 11.843018 6.182485 4.795440 18.595039 17.056711 27.144685 25.593363 21.805563 20.313874 28.914517 27.385612 17.316983 15.843324 25.195428 23.660381 27.447230 25.976413 18.369642 16.894298 21.919379 20.531678 22.766500 21.250421 19.245561 17.812730 19.092310 17.614812 
532.000000 23.769458 22.342353 19.421687 17.914263 9.816990 8.362413 17.799198 16.284004 25.197464 23.707081 20.899933 19.427184 29.233378 27.725611 19.750285 18.232198 16.869947 15.501818 26.514214 25.079698 22.420330 20.847843 24.138623 22.712818 18.914995 17.449800 17.407793 15.977642 14.575713 13.175636 
766.000000 27.279063 25.804371 19.148579 17.672714 6.762098 5.361545 10.951386 9.539045 25.634747 24.179851 16.368676 14.991696 25.467196 24.082841 22.535578 20.983718 27.715896 26.209034 32.583668 31.255232 10.962431 9.642712 16.162720 14.845481 23.767582 22.231938 22.315917 20.823031 12.038055 10.675680 
795.000000 27.029946 25.552047 13.240217 11.860442 15.923133 14.345185 20.301705 18.745538 25.797271 24.362416 13.971090 12.637517 32.712261 31.435771 14.116737 12.711982 27.007585 25.515739 28.504267 27.079371 14.946613 13.559197 28.832738 27.274499 15.111153 13.718035 19.759973 18.312434 11.781671 10.423811 
802.000000 31.511051 30.032126 11.999013 10.638221 8.480200 7.054016 20.316865 18.755044 25.587255 24.153045 22.400350 20.906382 32.380872 31.043004 15.488995 14.056049 25.357228 23.894204 28.946536 27.518117 20.424022 18.948356 26.552560 25.038481 25.574040 23.993925 21.577092 20.094423 13.426768 12.044214 
822.000000 25.062575 23.658896 16.305122 14.864127 16.074220 14.517958 11.736642 10.327353 20.932079 19.583073 26.515432 24.971712 27.541670 26.134360 16.991503 15.539513 20.577024 19.189569 27.801096 26.388061 17.259481 15.847448 25.401778 23.926163 17.695378 16.282010 21.811225 20.325866 16.190053 14.741376 
829.000000 25.346686 23.939881 14.652533 13.240495 14.873420 13.338042 8.884400 7.531594 28.274474 26.795348 27.909782 26.341843 32.387488 31.050397 21.885280 20.346446 29.202554 27.656627 32.939204 31.704433 17.875703 16.440194 29.143479 27.600860 18.354121 16.929553 20.816541 19.347872 17.581297 16.110888 
1153.000000 24.620058 23.220779 10.702268 9.320329 5.758175 4.362833 11.908022 10.466151 27.586277 26.148962 22.751037 21.352459 27.796811 26.376260 18.449795 17.030390 28.132067 26.644891 30.929640 29.554428 24.643903 23.152046 18.433308 17.039328 17.784579 16.412263 16.691872 15.225820 20.035482 18.519945 
1154.000000 24.534436 23.138306 11.246501 9.855717 5.595925 4.203639 11.213315 9.783655 27.051079 25.623972 28.841839 27.342658 27.764328 26.343214 17.983747 16.573314 28.111641 26.623532 30.086055 28.706218 25.024781 23.524660 24.561556 23.052348 17.833692 16.462522 17.184054 15.709977 19.844658 18.331769 
1179.000000 33.630136 32.744501 15.166035 13.708672 12.608350 11.077825 13.144501 11.675858 32.314360 30.971541 26.553134 25.104406 32.534952 31.235866 27.267212 25.683038 31.131177 29.614302 33.702629 32.878383 25.210238 23.696736 27.982540 26.426400 19.557147 18.161170 13.584091 12.191127 16.968921 15.520923 
1207.000000 31.112328 29.659918 9.317721 7.952153 5.943183 4.540012 13.336896 11.855772 29.977317 28.538353 31.010667 29.544468 33.480298 32.587395 20.001534 18.534174 25.509196 24.059916 34.323589 34.568240 22.441159 20.989090 19.882174 18.494830 18.965098 17.569545 16.150371 14.718349 13.076416 11.727495 
1866.000000 33.999993 34.228445 23.079135 21.534696 12.735280 11.281056 19.080742 17.566818 26.938278 25.608229 33.171778 32.294715 27.148137 25.760593 18.825725 17.417523 26.025980 24.709711 34.413471 34.551135 30.172309 28.582967 18.689875 17.352849 18.559917 17.148661 20.661989 19.289437 25.423794 23.951268 
1871.000000 32.781646 31.661453 21.745673 20.225237 15.096537 13.597487 18.877704 17.366389 34.095975 34.570038 33.835758 33.818183 27.657896 26.264854 24.538411 23.035635 28.433723 27.078501 34.259586 33.980982 32.005444 30.467964 21.451402 20.055284 21.317592 19.856739 27.182485 25.687313 22.835127 21.406934 
1878.000000 30.561538 29.191985 22.135318 20.610731 16.890292 15.358958 22.612246 21.031851 34.102108 34.563588 33.836567 33.860559 33.931796 33.243620 17.741864 16.362501 26.955078 25.627169 32.220926 30.933521 18.730674 17.335261 20.069619 18.698988 21.970587 20.493587 22.113553 20.715107 25.866214 24.379361 
1882.000000 29.182457 27.810876 20.778722 19.287373 19.683208 18.105657 21.316743 19.760787 34.113313 34.586477 33.933922 34.312912 26.254832 24.895675 19.583571 18.170084 27.590043 26.249417 32.160975 30.870606 19.063816 17.662219 23.182809 21.758813 22.311563 20.828520 20.875748 19.501382 22.691821 21.264655 
1884.000000 28.864996 27.495582 20.475847 18.989022 19.146860 17.579125 17.278895 15.799555 34.116768 34.599229 33.917067 34.195895 26.494252 25.128309 19.324134 17.914059 27.379950 26.041565 30.727104 29.380961 18.812975 17.416185 21.490591 20.095092 22.009156 20.530596 22.241796 20.842072 21.643467 20.234649 
1887.000000 29.229500 27.851955 20.921663 19.430123 18.228078 16.679505 16.866675 15.395813 34.113597 34.587233 33.771162 33.631456 26.026093 24.667974 19.163400 17.756299 27.150630 25.813497 32.324011 31.042104 18.510064 17.121924 21.834519 20.434883 20.410608 18.955379 26.704628 25.231541 18.203798 16.853964 
1890.000000 30.024749 28.648618 20.219870 18.741961 19.330356 17.761821 18.612474 17.111438 34.120559 34.596069 33.625937 33.216406 26.219706 24.859729 21.095254 19.653353 28.369521 27.004566 31.953098 30.640597 24.078198 22.577800 22.890612 21.471515 19.660185 18.218006 26.746386 25.269070 18.885518 17.522808 
1901.000000 31.453565 30.113104 18.304970 16.850080 13.233763 11.779493 20.856929 19.325696 34.065704 34.357464 31.128655 29.829881 32.484232 31.187220 21.143854 19.705695 29.212754 27.833776 34.552965 35.024845 24.962322 23.435928 22.783734 21.380134 21.130173 19.649539 21.175194 19.797189 19.190202 17.823911 
1907.000000 33.224222 32.324000 19.869037 18.373784 11.360621 9.937479 19.976100 18.464308 33.961755 33.905244 32.305160 31.133105 30.540874 29.132102 26.873637 25.328826 26.987505 25.644464 34.551216 35.023602 25.005211 23.477543 22.480027 21.078830 21.440044 19.956131 28.735648 27.222289 17.910922 16.567320 
1908.000000 32.985954 31.948148 19.090924 17.611611 11.312001 9.891205 19.227470 17.730374 33.990100 33.990126 32.674302 31.598624 30.147814 28.737280 27.291783 25.738019 27.727981 26.371451 34.549361 34.994183 24.138499 22.627968 22.922766 21.515022 20.828446 19.356185 29.273648 27.754595 17.927148 16.581970 
