# date r[0] j[0] r[1] j[1] r[2] j[2] r[3] j[3] r[4] j[4] r[5] j[5] r[6] j[6] r[7] j[7] r[8] j[8] r[9] j[9] r[10] j[10] r[11] j[11] r[12] j[12] r[13] j[13] r[14] j[14] 
119.000000 14.894543 13.508383 13.148825 11.750061 11.273115 9.793455 16.844585 15.272890 14.808346 13.385853 14.942740 13.545992 18.411768 17.004211 13.857133 12.407930 15.585113 14.201376 17.184142 15.780148 23.114210 21.482711 16.400883 14.965896 22.961881 21.448542 17.002197 15.516318 15.665386 14.210203 
415.000000 16.578306 15.182151 19.524924 18.054793 17.136629 15.569784 7.347022 6.014181 21.687208 20.179274 16.729808 15.327139 24.756246 23.253308 8.692186 7.340011 17.418561 15.993993 23.470337 21.992952 14.366588 12.862319 21.082652 19.612452 16.364712 15.004698 14.914498 13.490323 16.795881 15.341922 
469.000000 15.795212 14.412095 13.812499 12.428678 13.855284 12.354272 16.311991 14.810423 23.534791 22.000277 19.067937 17.632731 20.784759 19.353244 20.172277 18.636516 24.123571 22.579294 30.924526 29.344223 5.615228 4.277099 21.363484 19.878730 19.731204 18.290808 11.804358 10.436289 17.814556 16.350731 
532.000000 17.354444 15.956841 18.897748 17.443576 14.932426 13.422291 13.500925 12.050590 18.950870 17.483002 21.854229 20.369857 18.453807 17.068532 13.835751 12.404888 16.067628 14.674987 23.637824 22.158407 9.226445 7.811397 16.080500 14.714957 20.916835 19.463567 16.102417 14.657711 18.408041 16.935813 
766.000000 10.001853 8.688453 16.392216 14.953006 11.394362 9.975424 17.065278 15.594553 18.532303 17.055161 21.600282 20.113821 26.215168 24.757501 12.787893 11.387726 23.112797 21.610367 27.764459 26.244689 6.295725 4.976520 20.412438 19.009736 30.487611 28.960677 22.890778 21.341219 21.666288 20.162810 
795.000000 15.454044 14.039230 19.737752 18.234075 8.380258 7.011431 16.304907 14.849284 19.047113 17.562859 22.503582 21.014735 32.580330 31.217767 10.744340 9.391646 20.686389 19.250514 20.753107 19.359868 10.678580 9.276920 27.130298 25.625545 29.212385 27.690239 14.871170 13.471782 21.909663 20.387866 
802.000000 17.662474 16.207296 21.128483 19.597324 15.788780 14.294435 17.923361 16.442537 10.934421 9.598755 20.665721 19.209226 33.022422 31.789378 8.933692 7.613294 21.467303 20.022331 21.251709 19.850315 12.835502 11.397673 26.612799 25.114468 31.597851 30.082628 13.194113 11.825364 22.404086 20.875579 
822.000000 18.769970 17.286053 22.047351 20.498472 18.450415 16.911907 15.758745 14.313680 11.385255 10.037684 15.298237 13.938964 26.318909 24.874048 10.643542 9.295439 25.074682 23.567282 25.887015 24.410159 6.466097 5.151188 25.819825 24.338994 17.353066 16.036546 17.317196 15.874777 23.497753 21.950511 
829.000000 18.153187 16.676505 17.480345 16.016893 15.744478 14.250627 13.746296 12.334914 13.160447 11.782343 14.527678 13.184754 29.121260 27.639844 10.345330 9.001877 25.540766 24.025831 23.692977 22.257759 9.441776 8.074534 24.356996 22.899518 17.178360 15.862337 16.494656 15.064646 18.714683 17.255572 
1153.000000 20.873181 19.349087 25.019472 23.431979 22.265083 20.688069 12.525999 11.112832 22.621452 21.061181 19.447674 18.027715 30.775929 29.301914 21.502797 19.937963 21.026090 19.535925 26.124075 24.637816 10.187983 8.794935 29.110070 27.561893 23.717591 22.279008 18.015317 16.533247 20.081947 18.591727 
